campaign_id,emails_sent,opens_total,unique_opens,open_rate,clicks_total,unique_clicks,click_rate,unsubscribed,bounces
cmp_mrj4luxxu2oq2vge4k58,21,14,12,0.6039,1,1,0.1471,2,0
cmp_ojrhr7uycg5g3yodab8h,41,32,26,0.6535,5,4,0.1636,1,2
cmp_m3x9k7cmzvx5xpdvpgov,60,40,37,0.6219,6,6,0.1788,0,0
cmp_3plw7cpip7ce79nwwxt1,62,32,32,0.5194,6,5,0.1798,2,3
cmp_4v85p4ucrnrmobhhh19d,65,33,26,0.4099,4,3,0.1537,0,2
cmp_w0nx4hgsjhz6trubjx3d,47,36,32,0.6871,1,1,0.0609,0,0
cmp_oycnji8t5s9myfi1cmkg,33,26,21,0.6492,1,1,0.0555,0,3
cmp_8r7qw7izss3lnzl29y2y,52,33,29,0.5734,4,4,0.1595,0,0
cmp_u1ktz4kg7jz3tsx37k92,58,45,38,0.6657,2,2,0.0665,0,3
cmp_r8oyrxxytoxtw01lo79x,0,0,0,0,0,0,0,0,0
cmp_7anr86jcesi8l6lu61lv,0,0,0,0,0,0,0,0,0
cmp_tbob924rpi89wqhm58ef,0,0,0,0,0,0,0,0,0
cmp_ogdkwfmb6paonnmhtctl,0,0,0,0,0,0,0,0,0
cmp_txdi9zbd1sn2a1utghoa,58,41,31,0.5413,4,4,0.1451,2,2
cmp_kxwepjqqrzhtysb96e3f,76,30,30,0.4016,2,2,0.076,0,0
cmp_4xk78lltjef0zinn474r,56,30,29,0.5339,4,3,0.1331,0,0
cmp_wuurilgu4hj5ramieoen,56,35,28,0.5012,4,4,0.1564,1,0
cmp_i474de5icx8fp5jdqkzh,76,44,38,0.5128,7,7,0.1967,0,0
cmp_3kawdcw3xm05my6jq6pq,90,65,49,0.5476,6,6,0.1308,0,0
cmp_oxk9x3lofx17uc3z5la4,76,36,33,0.4378,7,5,0.1766,2,0
cmp_0ole45v050imr5ndnazn,70,43,43,0.6269,6,5,0.1371,1,0
cmp_01m5s3m0ollkmew3m4df,0,0,0,0,0,0,0,0,0
cmp_hi3hdbndp3779o3xcqbq,0,0,0,0,0,0,0,0,0
cmp_ro35s8qt3ue6wyeacsee,1,0,0,0.4874,0,0,0.1169,0,2
cmp_7fzi8jnr9xoej59e4a7x,0,0,0,0,0,0,0,0,0
cmp_lfgm19osu3rfgol6od6m,50,39,29,0.5922,2,2,0.0885,2,0
cmp_nism6nk4trikc82j9nuh,0,0,0,0,0,0,0,0,0
cmp_lqc0snljko7rbv7kl9tu,0,0,0,0,0,0,0,0,0
cmp_1tetycp1ouvq7r8zkkll,0,0,0,0,0,0,0,0,0
cmp_13vqj09a7vzuj4p2mv9f,54,38,32,0.61,6,5,0.1777,0,3
cmp_p2tb2o26nneo5x51en6w,0,0,0,0,0,0,0,0,0
cmp_a77b2kgut6vefss2xhgk,0,0,0,0,0,0,0,0,0
cmp_8xpxk0r9kcz49vbcdcq0,0,0,0,0,0,0,0,0,0
cmp_yp8ie1aqnsdsx3y9ludr,0,0,0,0,0,0,0,0,0
