Date	Meal	Food Item	Serving	Calories	Carbs (g)	Protein (g)	Fat (g)	Purine Level	Notes
2026-02-16	Breakfast	Scrambled eggs, 2 large	2 eggs	182	2	12	13	Low	Cooked in olive oil
2026-02-16	Breakfast	Whole wheat toast	1 slice	81	14	4	1	Low	No butter
2026-02-16	Breakfast	Black coffee	12 oz	4	0	0	0	Low	The one cup
2026-02-16	Snack	Almonds	1 oz (23 nuts)	164	6	6	14	Low	
2026-02-16	Lunch	Chicken breast, grilled	4 oz	187	0	35	4	Moderate	Kept portion modest
2026-02-16	Lunch	Mixed green salad, olive oil	2 cups	110	8	2	8	Low	
2026-02-16	Dinner	Whole wheat pasta with tomato and vegetables	1.5 cups	310	58	11	5	Low	Carol's old pot, my sauce
2026-02-16	Dinner	Water	24 oz	0	0	0	0	Low	Hydration after the flare
2026-02-17	Breakfast	Oatmeal with cinnamon	1 cup cooked	158	27	6	3	Low	Steel cut
2026-02-17	Breakfast	Black coffee	12 oz	4	0	0	0	Low	
2026-02-17	Snack	Celery and hummus	1 cup / 2 tbsp	95	9	3	5	Low	
2026-02-17	Lunch	Egg Harbor Cafe, veggie omelet	1 plate	410	18	24	26	Low	Coffee with Ed, skipped the bacon
2026-02-17	Dinner	Baked cod with lemon	5 oz	139	0	30	1	Moderate	Cod over the higher purine fish
2026-02-17	Dinner	Steamed green beans	1 cup	44	10	2	0	Low	
2026-02-17	Dinner	Brown rice	0.75 cup	164	34	4	1	Low	
2026-02-18	Breakfast	Scrambled eggs, 2 large	2 eggs	182	2	12	13	Low	
2026-02-18	Breakfast	Black coffee	12 oz	4	0	0	0	Low	
2026-02-18	Snack	Dark chocolate, 70 percent	2 squares	110	9	2	8	Low	A little, not a lot
2026-02-18	Lunch	Pho Viet, number 3 chicken pho	1 bowl	480	62	34	8	Moderate	Asked for extra vegetables
2026-02-18	Dinner	Chicken thigh, roasted, skin removed	4 oz	191	0	28	8	Moderate	
2026-02-18	Dinner	Roasted carrots and potatoes	1.5 cups	180	38	3	2	Low	
2026-02-19	Breakfast	Greek yogurt, plain lowfat	1 cup	146	8	20	4	Low	Dr. Ivers suggested more of this
2026-02-19	Breakfast	Blueberries	0.5 cup	42	11	0	0	Low	
2026-02-19	Breakfast	Black coffee	12 oz	4	0	0	0	Low	
2026-02-19	Snack	Almonds	1 oz (23 nuts)	164	6	6	14	Low	
2026-02-19	Lunch	Turkey sandwich on whole wheat	1 sandwich	332	36	24	9	Low	Light mayo
2026-02-19	Dinner	Pasta with grilled chicken and broccoli	2 cups	465	56	36	10	Moderate	Decent pasta, improving
2026-02-20	Breakfast	Oatmeal with walnuts	1 cup cooked	210	28	7	8	Low	
2026-02-20	Breakfast	Black coffee	12 oz	4	0	0	0	Low	
2026-02-20	Snack	Cheese, cheddar	1 oz	114	0	7	9	Low	In moderation
2026-02-20	Lunch	The Station Grill, grilled chicken sandwich	1 sandwich	520	44	38	18	Moderate	The usual, no fries
2026-02-20	Dinner	Vegetable stir fry with tofu	2 cups	320	28	18	16	Low	First try at tofu, verdict pending
2026-02-21	Breakfast	Scrambled eggs, 2 large	2 eggs	182	2	12	13	Low	
2026-02-21	Breakfast	Whole wheat toast	1 slice	81	14	4	1	Low	
2026-02-21	Breakfast	Black coffee	12 oz	4	0	0	0	Low	
2026-02-21	Lunch	Chicken and vegetable soup, homemade	2 cups	240	22	20	7	Moderate	Made a full pot, froze half
2026-02-21	Dinner	Il Forno, grilled fish special	1 plate	540	32	42	22	Moderate	Dinner with Janet
2026-02-21	Dinner	Red wine	1 glass (5 oz)	125	4	0	0	Low	Occasional, with Janet
2026-02-22	Breakfast	Greek yogurt with blueberries	1 cup / 0.5 cup	188	19	20	4	Low	
2026-02-22	Breakfast	Black coffee	12 oz	4	0	0	0	Low	
2026-02-22	Snack	Celery and hummus	1 cup / 2 tbsp	95	9	3	5	Low	
2026-02-22	Dinner	Sunday dinner at Meg's, roast chicken plate	1 plate	610	42	44	24	Moderate	Meg watches the menu for me
2026-02-22	Dinner	Dinner roll	1 roll	87	15	3	2	Low	Just the one
