Activity Date	Activity Name	Activity Type	Start Time	Distance (mi)	Moving Time (min)	Pace (min/mi)	Elevation Gain (ft)	Route	Weather Note
2026-02-01	Morning Walk	Walk	06:42	1.9	38	20.0	12	Riverwalk, Eagle St to Hillside and back	28 F, clear
2026-02-02	Morning Walk	Walk	06:38	2.1	41	19.5	14	Riverwalk full loop	31 F, overcast
2026-02-04	Neighborhood Loop	Walk	07:05	1.6	33	20.6	8	Heatherton Ln to Hobson Rd loop	Sidewalks icy near the park, cut it short
2026-02-09	Morning Walk	Walk	06:55	1.4	30	21.4	6	Neighborhood only	First day back after the flare, taking it easy
2026-02-10	Morning Walk	Walk	06:48	1.7	35	20.6	10	Riverwalk, short loop	Toe holding up fine
2026-02-11	Morning Walk	Walk	06:40	2.0	40	20.0	13	Riverwalk full loop	34 F, calm
2026-02-12	Morning Walk	Walk	06:44	2.1	41	19.5	14	Riverwalk full loop	History podcast, episode on the Pullman strike
2026-02-13	Morning Walk	Walk	06:50	1.8	36	20.0	11	Riverwalk, Eagle St to Hillside and back	37 F, light rain at the end
2026-02-14	Morning Walk	Walk	06:39	2.2	43	19.5	15	Riverwalk full loop plus Centennial Beach spur	40 F, felt like spring for an hour
2026-02-16	Morning Walk	Walk	06:45	2.0	40	20.0	13	Riverwalk full loop	29 F, clear
2026-02-17	Morning Walk	Walk	06:41	1.9	38	20.0	12	Riverwalk, Eagle St to Hillside and back	Before the YMCA class
2026-02-18	Morning Walk	Walk	06:47	2.1	42	20.0	14	Riverwalk full loop	33 F, breezy
2026-02-19	Morning Walk	Walk	06:43	2.0	40	20.0	13	Riverwalk full loop	Audiobook, the Olsen ironworks chapters
2026-02-20	Morning Walk	Walk	06:46	1.8	37	20.6	11	Riverwalk, short loop	26 F, cold snap
2026-02-21	Morning Walk	Walk	06:52	2.2	44	20.0	15	Riverwalk full loop plus Centennial Beach spur	30 F, sunny
2026-02-23	Morning Walk	Walk	06:40	2.0	40	20.0	13	Riverwalk full loop	35 F, fog off the river
2026-02-24	Morning Walk	Walk	06:44	1.9	38	20.0	12	Riverwalk, Eagle St to Hillside and back	Before the YMCA class
2026-02-25	Morning Walk	Walk	06:42	2.1	42	20.0	14	Riverwalk full loop	38 F, mild
2026-02-26	Morning Walk	Walk	06:48	2.0	41	20.5	13	Riverwalk full loop	32 F, clear
2026-02-27	Morning Walk	Walk	06:45	1.7	35	20.6	10	Neighborhood loop	Knees a little stiff, kept it flat
2026-02-28	Morning Walk	Walk	06:41	2.2	44	20.0	15	Riverwalk full loop plus Centennial Beach spur	41 F, February going out gently
