Title	Author	Narrator	Length	Date Added	Status	Notes
The Ironworks of Lake County	Harold Olsen	Marc Vietor	11 hr 40 min	2026-02-08	Listening, chapter 9 of 14	Bought in print at Anderson's too. Listening on the Riverwalk, reading in the armchair, meeting in the middle.
The Wager	David Grann	Dion Graham	8 hr 28 min	2026-01-15	Finished 2026-02-06	Shipwreck, mutiny, and competing reports. Engineers would call it a root cause dispute.
Grant	Ron Chernow	Mark Bramhall	48 hr 2 min	2025-11-12	Finished 2026-01-12	Two months of walks well spent. The man was better than his reputation.
The Splendid and the Vile	Erik Larson	John Lee	17 hr 49 min	2025-10-10	Finished 2025-10-30	Larson never misses. Recommended to Janet, who had already read it, naturally.
The Worst Hard Time	Timothy Egan	Patrick Lawlor	11 hr 31 min	2025-02-18	Finished 2025-02-28	Dust bowl. Made me grateful for Illinois rain, which is not a sentence I say often.
Truman	David McCullough	Nelson Runger	54 hr 12 min	2025-01-20	Finished 2025-02-15	The long ones are the good ones at a walking pace.
The Path Between the Seas	David McCullough	Edward Herrmann	32 hr 51 min	2025-01-14	Finished 2025-02-10	Panama Canal. Engineering against malaria and mud. Tom and I argued locks versus sea level for a month, happily.
Killers of the Flower Moon	David Grann	Will Patton, Ann Marie Lee, Danny Campbell	9 hr 4 min	2024-11-05	Finished 2024-12-02	Hard history, told right.
The Boys in the Boat	Daniel James Brown	Edward Herrmann	14 hr 24 min	2024-10-05	Finished 2024-10-14	Carol had recommended this one years ago. She was right, as the record consistently shows.
A Walk in the Woods	Bill Bryson	Rob McQuay	9 hr 44 min	2024-02-25	Finished 2024-02-28	Funny enough that other walkers on the Riverwalk gave me looks.
The Guns of August	Barbara Tuchman	John Lee	19 hr 11 min	2024-02-10	Finished 2024-02-20	A re-read, or re-listen. Still the standard.
Empire of the Summer Moon	S. C. Gwynne	David Drummond	15 hr 4 min	2024-01-15	Finished 2024-01-28	Quanah Parker. Filed under reasons to take the train through the Southwest.
Membership	Audible 1 credit per month, $14.95	NA	NA	2023-11-15	Active	Renews monthly, billed to BMO checking. See budget, subscriptions line.
