tableId,id,name,type
tblSampleTracker,fldSample,sample_id,singleLineText
tblSampleTracker,fldSite,site,singleLineText
tblSampleTracker,fldDate,sample_date,date
tblSampleTracker,fldPH,pH,number
tblSampleTracker,fldDO,DO_mg_L,number
tblSampleTracker,fldNTU,NTU,number
tblSampleTracker,fldCFU,CFU_100mL,number
tblSampleTracker,fldSource,source,singleSelect
tblSampleTracker,fldCOC,chain_of_custody,singleLineText
tblSampleTracker,fldNotes,revision_notes,longText
tblSampleTracker,fldLastMod,last_modified,lastModifiedTime
tblBatchLog,fldBatchId,batch_id,singleLineText
tblBatchLog,fldBatchDate,batch_date,date
tblBatchLog,fldBatchCluster,cluster,singleSelect
tblBatchLog,fldBatchOperator,operator,singleLineText
tblClients,fldClientName,client_name,singleLineText
tblClients,fldClientType,client_type,singleSelect
tblCoopPlots,fldPlotId,plot_id,singleLineText
tblCoopPlots,fldPlotLocation,location,singleLineText
