"media_id","impressions","reach","engagement","saves","shares","profile_visits","follows"
"m_0001","370","26533","1834","86","132","63","41"
"m_0002","49964","1738","3629","485","133","99","36"
"m_0003","25291","23461","565","245","134","92","48"
"m_0004","15474","26174","1238","339","34","47","42"
"m_0005","3903","19651","863","402","94","92","23"
"m_0006","29745","7567","1310","91","37","23","15"
"m_0007","46150","4471","3301","452","9","11","29"
"m_0008","23621","9426","1188","201","159","93","45"
"m_0009","34889","17109","1698","85","15","78","36"
"m_0010","41457","2671","1124","139","38","26","19"
"m_0011","36297","6222","318","368","107","10","45"
"m_0012","33973","8920","2728","207","178","90","30"
"m_0013","9515","14416","4196","179","122","25","1"
"m_0014","8868","23223","1730","338","190","75","18"
"m_0015","36642","9594","3942","357","113","10","17"
"m_0016","25918","15476","1924","105","165","75","46"
"m_0017","47573","1640","1270","62","62","95","28"
"m_0018","2700","3737","4286","108","40","62","16"
"m_0019","829","29859","1596","499","29","55","37"
"m_0020","19040","20978","3924","408","68","30","16"
"m_0021","5729","17685","4357","56","194","96","23"
"m_0022","41557","14688","3522","426","172","97","23"
"m_0023","5541","12298","508","72","24","65","25"
"m_0024","17187","11213","4992","286","35","11","36"
"m_0025","19947","3884","2999","43","121","52","48"
"m_0026","16227","16815","3356","45","141","83","39"
"m_0027","1876","18028","2877","154","2","80","50"
"m_0028","14714","29094","514","99","36","45","14"
"m_0029","24352","10622","2713","302","154","92","23"
"m_0030","12939","19627","3688","92","2","98","45"
"m_0031","49289","22927","2668","417","105","2","0"
"m_0032","41775","13735","2417","435","35","0","38"
"m_0033","11468","27980","1174","434","92","72","31"
"m_0034","16274","20305","3406","237","12","57","5"
"m_0035","2898","12801","190","479","25","95","48"
"m_0036","5697","23093","1915","323","1","28","8"
"m_0037","10730","6967","1316","127","90","90","19"
"m_0038","14765","6564","4056","369","66","40","13"
"m_0039","28261","23043","2754","204","9","17","24"
"m_0040","31267","23144","2564","451","25","22","5"
"m_0041","26016","7274","4173","84","64","40","37"
"m_0042","25183","6164","1383","488","58","79","40"
"m_0043","32067","4739","2290","353","137","33","13"
"m_0044","37596","14063","414","305","150","48","44"
"m_0045","3652","26115","3767","298","48","74","5"
"m_0046","367","11514","793","180","161","3","47"
"m_0047","30228","2335","499","479","135","9","26"
"m_0048","49742","27147","3044","102","176","43","36"
"m_0049","46346","21700","4374","185","187","84","4"
"m_0050","24035","21132","1657","320","39","7","45"
"m_0051","40538","5641","4584","116","167","47","15"
"m_0052","17937","4991","2263","327","154","42","0"
"m_0053","46264","2673","2625","488","43","91","46"
"m_0054","44836","17497","129","27","186","53","16"
"m_0055","34651","13452","1010","487","160","40","28"
"m_0056","43224","15014","4835","297","54","86","11"
"m_0057","17668","13251","3288","352","68","77","10"
"m_0058","34393","19359","3560","102","196","67","39"
"m_0059","42705","18483","4740","210","130","1","6"
"m_0060","12208","23329","3461","193","145","92","39"
"m_0061","12725","27302","453","17","81","39","28"
"m_0062","26499","9213","1392","378","73","79","17"
"m_0063","20215","4700","4616","91","138","11","32"
"m_0064","12664","5115","2773","186","21","20","24"
"m_0065","26005","25968","4876","33","123","82","34"
"m_0066","12025","27637","3605","80","155","58","11"
"m_0067","7469","7886","3563","315","176","2","35"
"m_0068","25924","14076","168","86","33","75","25"
"m_0069","15098","2478","3372","182","12","14","45"
"m_0070","11938","9063","498","151","170","1","47"
"m_0071","44542","6894","2566","460","24","61","26"
"m_0072","364","21835","4008","58","51","63","30"
"m_0073","31579","27667","1784","266","96","38","1"
"m_0074","17254","15309","260","139","38","5","42"
"m_0075","35727","27890","3481","410","103","92","19"
"m_0076","32449","24399","4361","214","48","46","44"
"m_0077","38999","22532","2206","127","3","89","44"
"m_0078","5077","26121","1227","66","99","77","19"
"m_0079","7824","10679","2008","336","82","32","12"
"m_0080","8076","16578","3868","414","3","82","41"
"m_0081","22820","24708","339","317","140","20","9"
"m_0082","4378","24759","3341","442","35","92","23"
"m_0083","40791","28428","1828","88","46","35","0"
"m_0084","46396","25608","4274","429","75","81","1"
"m_0085","42605","16367","2423","293","50","67","15"
"m_0086","17466","29152","665","208","35","31","48"
"m_0087","9636","10547","1098","261","127","35","19"
"m_0088","1784","4644","4674","57","50","26","8"
"m_0089","10051","15730","3475","438","5","26","37"
"m_0090","11915","26123","1018","288","26","52","20"
"m_0091","32901","24743","319","198","66","27","40"
"m_0092","33650","12217","2727","379","16","17","39"
"m_0093","38233","16664","3485","206","179","30","7"
"m_0094","33971","22419","257","165","130","31","0"
"m_0095","40330","14843","3210","299","7","100","42"
"m_0096","19511","12359","1649","428","80","2","31"
"m_0097","31149","7672","905","280","137","43","39"
"m_0098","15561","28246","3842","235","92","30","13"
"m_0099","23125","19548","2121","326","11","72","20"
"m_0100","42983","29670","2008","465","49","21","41"
"m_0101","17520","22311","2039","100","184","41","1"
"m_0102","25870","18919","4320","395","74","38","15"
"m_0103","14392","24014","4249","317","5","20","20"
"m_0104","17517","16401","742","339","45","60","34"
"m_0105","413","27162","3234","193","64","96","19"
"m_0106","36269","12008","3341","415","123","70","44"
"m_0107","24796","16931","4905","87","101","95","32"
"m_0108","23476","23488","2598","56","37","61","49"
"m_0109","3559","24297","790","52","135","91","13"
"m_0110","27695","1884","3249","486","57","92","31"
"m_0111","886","25817","2635","172","78","45","26"
"m_0112","46680","11086","861","171","69","80","5"
"m_0113","18338","5814","1817","357","137","53","4"
"m_0114","20150","10373","185","311","78","15","14"
"m_0115","41909","21426","4556","87","39","45","49"
"m_0116","33831","2156","2199","364","8","10","40"
"m_0117","701","3624","1004","295","6","44","2"
"m_0118","43619","9969","2532","375","43","85","34"
"m_0119","6768","13801","2508","488","81","64","44"
"m_0120","47230","1195","4333","55","8","81","46"
"m_0121","26113","22996","1865","465","84","45","6"
"m_0122","38043","16131","1183","204","48","37","45"
"m_0123","17974","11756","2618","213","95","70","10"
"m_0124","19128","16240","3431","285","34","88","46"
"m_0125","20826","17563","2085","182","150","63","8"
"m_0126","9866","1621","3045","22","30","87","5"
"m_0127","25230","760","193","71","109","66","19"
"m_0128","44307","19215","3584","243","117","63","27"
"m_0129","48667","4026","4794","90","12","16","37"
"m_0130","30637","13215","2038","225","114","43","22"
"m_0131","23776","21790","3637","318","76","92","14"
"m_0132","6895","22333","4896","96","98","48","28"
"m_0133","6139","3051","3289","84","91","25","21"
"m_0134","11827","4480","4980","420","58","97","35"
"m_0135","26169","5518","4715","332","20","68","30"
"m_0136","41884","19214","1656","452","168","94","41"
"m_0137","44967","27006","3835","174","155","98","15"
"m_0138","41092","14928","1084","244","90","12","13"
"m_0139","5197","25597","2689","266","189","48","9"
"m_0140","1622","15509","603","499","52","67","36"
"m_0141","16609","15646","3826","498","171","70","21"
"m_0142","19724","20907","434","227","149","33","22"
"m_0143","16229","20208","1748","140","21","13","11"
"m_0144","14407","28873","3352","153","104","88","11"
"m_0145","42487","26838","4459","165","12","48","36"
"m_0146","26253","15000","1285","368","1","50","48"
"m_0147","17515","15142","2529","2","182","43","23"
"m_0148","46504","578","1842","243","80","1","7"
"m_0149","48344","13463","10","165","93","62","47"
"m_0150","2943","9147","3945","260","114","85","4"
