item,category,vendor,cost,cadence,type,necessity,notes
Portfolio site plan,Site,Webflow,276,annual,recurring,required,CMS plan billed yearly
Domain registration,Site,Registrar,18,annual,recurring,required,practice domain
Business registration LLC filing,Legal,Ohio Secretary of State,99,one-time,one-time,required,single-member LLC
Registered agent service,Legal,Agent service,49,annual,recurring,optional,can self-serve to save
Professional E&O insurance,Insurance,Hartwell Mutual,540,annual,recurring,required,"quoted, see insurance quote PDF"
Analytics tooling subscription,Tools,Dashboard vendor,180,annual,recurring,required,client dashboards
E-signature service,Tools,DocuSign,180,annual,recurring,required,contracts and proposals
Invoicing and payment processing,Tools,Stripe,0,per-transaction,recurring,required,approx 2.9 percent plus 0.30 per charge
Email and scheduling add-on,Tools,Workspace add-on,72,annual,recurring,optional,booking flow
Brand and logo design,Brand,Freelance designer,250,one-time,one-time,optional,simple wordmark
Business cards and print,Brand,Print shop,60,one-time,one-time,optional,low priority
Bookkeeping software,Tools,Xero,150,annual,recurring,required,clean separate books
Accountant setup consult,Legal,CPA,120,one-time,one-time,optional,one hour to set structure
Stock imagery for site,Brand,Stock library,29,one-time,one-time,optional,2-3 images
Client proposal software,Tools,Proposal tool,180,annual,recurring,optional,templated proposals
Password manager,Tools,1Password,36,annual,recurring,optional,client credential hygiene
Google Workspace seat,Tools,Google Workspace,144,annual,recurring,required,practice email and drive
Laptop upgrade reserve,Equipment,Self,900,one-time,one-time,optional,only if current one struggles
GA4 certification renewal,Professional,Vendor,150,annual,recurring,optional,keep skills current
Local business license,Legal,City of Westerville,50,annual,recurring,required,municipal
Launch advertising push,Marketing,Meta and Google,300,one-time,one-time,optional,small initial ads
