business_name,city,category,listed_contact,listed_owner,rating,review_count,years_open,website,notes
Bexley Bikes Co,Bexley,Bicycle Shop,info@bexleybikes.com,,4.3,212,11,bexleybikes.com,"busy weekends, listing owner blank"
Harvest Table Catering,Westerville,Caterer,hello@harvesttablecatering.com,Mark Feld,4.7,88,6,harvesttablecatering.com,strong reviews
Clintonville Coffee Roasters,Columbus,Coffee Roaster,info@clintonvilleroasters.com,,4.6,340,4,clintonvilleroasters.com,new second location
Grandview Auto Care,Grandview Heights,Auto Repair,service@grandviewauto.com,Luis Ortega,4.5,156,15,grandviewauto.com,
Worthington Wellness Studio,Worthington,Wellness Center,info@worthingtonwellness.com,Kara Vint,4.8,121,5,worthingtonwellness.com,
Powell Pediatrics,Powell,Pediatrician,info@powellpeds.com,,4.4,64,9,powellpeds.com,
Sunbury Smokehouse,Sunbury,BBQ Restaurant,eat@sunburysmokehouse.com,,4.2,97,2,sunburysmokehouse.com,newer spot
Westerville Bike & Board,Westerville,Bicycle Shop,info@wbandb.com,,4.1,73,8,wbandb.com,not same as Bexley Bikes
German Village Bakehouse,Columbus,Bakery,hi@gvbakehouse.com,,4.7,289,12,gvbakehouse.com,
Dublin Wine Cellar,Dublin,Wine Shop,info@dublinwinecellar.com,,4.5,134,7,dublinwinecellar.com,overlaps pipeline
Hilliard Family Dental,Hilliard,Dentist,front@hilliardfamilydental.com,,4.3,58,10,hilliardfamilydental.com,not Dublin Dental
Grove City Hardware,Grove City,Hardware Store,info@grovecityhardware.com,,4.4,112,20,grovecityhardware.com,
Pickerington Pet Spa,Pickerington,Pet Groomer,book@pickeringtonpetspa.com,,4.6,81,4,pickeringtonpetspa.com,
Clintonville Coffee Roasters LLC,Columbus,Cafe,info@clintonvilleroasters.com,Theo Marsh,4.6,340,4,clintonvilleroasters.com,same entity as CCR listing
Whetstone Physical Therapy,Columbus,Physical Therapy,info@whetstonept.com,,4.5,47,6,whetstonept.com,
Dublin Dental Partners,Dublin,Dentist,frontdesk@dublindentalpartners.com,,4.6,103,13,dublindentalpartners.com,
Grandview Auto,Grandview Heights,Auto Repair,info@grandviewauto.com,,4.5,156,15,grandviewauto.com,duplicate of Grandview Auto Care
New Albany Pet Clinic,New Albany,Veterinarian,office@newalbanypet.com,,4.7,176,10,newalbanypet.com,
Gahanna Garden Center,Gahanna,Garden Center,info@gahannagarden.com,,4.4,92,18,gahannagarden.com,
Polaris Boutique Fitness,Columbus,Fitness Studio,hello@polarisfit.com,,4.3,68,3,polarisfit.com,
Bexley Booksellers,Bexley,Bookstore,info@bexleybooks.com,,4.6,145,9,bexleybooks.com,overlaps pipeline
Powell Family Eyecare,Powell,Optometrist,info@powelleyecare.com,,4.5,72,11,powelleyecare.com,overlaps pipeline and network
Short North Coffee,Columbus,Coffee Shop,info@shortnorthcoffee.com,,4.7,410,5,shortnorthcoffee.com,overlaps pipeline
Westerville Kitchen Co,Westerville,Kitchen Store,info@westervillekitchen.com,,4.4,66,7,westervillekitchen.com,overlaps pipeline
Hilliard Auto Body,Hilliard,Auto Body Shop,info@hilliardautobody.com,,4.5,98,12,hilliardautobody.com,overlaps pipeline
Clintonville Pet Supply,Columbus,Pet Store,info@clintonvillepet.com,,4.6,133,6,clintonvillepet.com,overlaps pipeline
Dublin Bagel Co,Dublin,Bakery,hi@dublinbagel.com,,4.3,88,4,dublinbagel.com,unique local
Gahanna Ice Cream,Gahanna,Ice Cream Shop,info@gahannaicecream.com,,4.8,210,16,gahannaicecream.com,unique
Powell Sushi House,Powell,Restaurant,eat@powellsushi.com,,4.2,156,8,powellsushi.com,unique
Delaware Coffee Roasters,Delaware,Coffee Roaster,info@delawareroasters.com,,4.5,77,3,delawareroasters.com,not Clintonville roasters
Worthington Yoga House,Worthington,Yoga Studio,info@worthingtonyogahouse.com,,4.4,54,5,worthingtonyogahouse.com,not Worthington Wellness
Grove City Family Vet,Grove City,Veterinarian,office@grovecityvet.com,,4.7,119,10,grovecityvet.com,overlaps pipeline
Upper Arlington Yoga,Upper Arlington,Yoga Studio,info@uayoga.com,,4.6,63,4,uayoga.com,overlaps pipeline
