Date	Type	Num	Name	Account	Memo	Amount
2026-01-03	Bill Payment	1042	Talas Inc	Conservation Supplies	Crepeline and silk thread	-264.50
2026-01-05	Expense	CARD	American Institute for Conservation	Dues and Subscriptions	Annual membership	-195.00
2026-01-08	Invoice	PTC-INV-2026-013	Peabody Essex Museum	Conservation Income	Survey deposit, project PTC-2025-008	2200.00
2026-01-10	Expense	CARD	University Products	Conservation Supplies	Archival board and tissue	-312.10
2026-01-12	Deposit	DEP	Stephen Hartwell	Conservation Income	Progress payment, project PTC-2025-014	2500.00
2026-01-14	Check	2031	Samuel Okafor	Contract Labor	Studio assistant, Dec hours	-1440.00
2026-01-15	Invoice	PTC-INV-2026-014	Museum of Fine Arts, Boston	Conservation Income	Ottoman suite, phase 2	7850.00
2026-01-20	Expense	ACH	New England Studio Insurance	Insurance	Studio BOP, monthly	-142.00
2026-01-22	Expense	ACH	JP Utility Services	Utilities	Studio gas and electric	-118.40
2026-01-24	Deposit	DEP	Harborside Historical Society	Teaching Income	Textile handling workshop fee	450.00
2026-01-26	Expense	ACH	Adobe	Dues and Subscriptions	Creative Cloud	-59.99
2026-01-28	Transfer	TR	Tax Reserve	Transfer	Set aside 30 percent	-3000.00
2026-01-31	Expense	ACH	Intuit QuickBooks	Dues and Subscriptions	Bookkeeping subscription	-30.00
