campaign_id,emails_sent,opens_total,unique_opens,open_rate,clicks_total,unique_clicks,click_rate,unsubscribed,bounces
CAMP_22add2f0,11,11,11,16.00,11,11,16.00,11,11
CAMP_9f9d9127,28,28,28,33.31,28,28,33.31,28,28
CAMP_f468e651,45,45,45,50.62,45,45,50.62,45,45
CAMP_c1c3e4b4,62,62,62,67.93,62,62,67.93,62,62
CAMP_656e5a15,79,79,79,84.24,79,79,84.24,79,79
CAMP_77b72596,96,96,96,101.55,96,96,101.55,96,96
CAMP_9873ad6d,113,113,113,118.86,113,113,118.86,113,113
CAMP_572027c2,130,130,130,135.17,130,130,135.17,130,130
CAMP_3a859066,147,147,147,152.48,147,147,152.48,147,147
CAMP_53511938,164,164,164,169.79,164,164,169.79,164,164
CAMP_4a1e0cad,181,181,181,186.10,181,181,186.10,181,181
CAMP_51a03777,198,198,198,203.41,198,198,203.41,198,198
CAMP_4252dbeb,215,215,215,220.72,215,215,220.72,215,215
CAMP_81c01b54,232,232,232,237.03,232,232,237.03,232,232
CAMP_a9c43af4,249,249,249,254.34,249,249,254.34,249,249
CAMP_4129b184,266,266,266,271.65,266,266,271.65,266,266
CAMP_d2b9d618,283,283,283,288.96,283,283,288.96,283,283
CAMP_1bc99f48,300,300,300,305.27,300,300,305.27,300,300
CAMP_4557860a,317,317,317,322.58,317,317,322.58,317,317
CAMP_5e0a29b6,334,334,334,339.89,334,334,339.89,334,334
CAMP_1a818f0b,351,351,351,356.20,351,351,356.20,351,351
CAMP_50f99909,368,368,368,373.51,368,368,373.51,368,368
CAMP_6fab15ec,385,385,385,390.82,385,385,390.82,385,385
CAMP_5759143a,402,402,402,407.13,402,402,407.13,402,402
CAMP_08168549,419,419,419,424.44,419,419,424.44,419,419
CAMP_d5914d5f,436,436,436,441.75,436,436,441.75,436,436
CAMP_131675aa,453,453,453,458.06,453,453,458.06,453,453
CAMP_f18af0ec,470,470,470,475.37,470,470,475.37,470,470
CAMP_c1f8d5c6,487,487,487,492.68,487,487,492.68,487,487
CAMP_cfd98f02,504,504,504,13.99,504,504,13.99,504,504
CAMP_eda6c715,521,521,521,30.30,521,521,30.30,521,521
CAMP_53ba94dc,538,538,538,47.61,538,538,47.61,538,538
CAMP_88ada320,555,555,555,64.92,555,555,64.92,555,555
CAMP_64aaddb2,572,572,572,81.23,572,572,81.23,572,572
CAMP_589e1c69,589,589,589,98.54,589,589,98.54,589,589
CAMP_1c8133fc,606,606,606,115.85,606,606,115.85,606,606
CAMP_41867a7e,623,623,623,132.16,623,623,132.16,623,623
CAMP_2b5f1434,640,640,640,149.47,640,640,149.47,640,640
CAMP_b714d426,657,657,657,166.78,657,657,166.78,657,657
CAMP_98063000,674,674,674,183.09,674,674,183.09,674,674
CAMP_f48cb9e9,691,691,691,200.40,691,691,200.40,691,691
CAMP_a51c5006,708,708,708,217.71,708,708,217.71,708,708
CAMP_11516011,725,725,725,234.02,725,725,234.02,725,725
CAMP_81fd9f92,742,742,742,251.33,742,742,251.33,742,742
CAMP_b482f0eb,759,759,759,268.64,759,759,268.64,759,759
CAMP_24f573ad,776,776,776,285.95,776,776,285.95,776,776
CAMP_ccc0e268,793,793,793,302.26,793,793,302.26,793,793
CAMP_93dc0bbe,810,810,810,319.57,810,810,319.57,810,810
CAMP_52705316,827,827,827,336.88,827,827,336.88,827,827
CAMP_37c7faec,844,844,844,353.19,844,844,353.19,844,844
CAMP_7c486bfa,861,861,861,370.50,861,861,370.50,861,861
CAMP_9e6781c2,878,878,878,387.81,878,878,387.81,878,878
CAMP_ebd65c41,895,895,895,404.12,895,895,404.12,895,895
CAMP_27393723,912,912,912,421.43,912,912,421.43,912,912
CAMP_d381a138,929,929,929,438.74,929,929,438.74,929,929
CAMP_647a21eb,946,946,946,455.05,946,946,455.05,946,946
CAMP_8a43d19b,963,963,963,472.36,963,963,472.36,963,963
CAMP_2246b293,980,980,980,489.67,980,980,489.67,980,980
CAMP_b3fbda17,997,997,997,10.98,997,997,10.98,997,997
CAMP_1678a15f,1014,1014,1014,27.29,1014,1014,27.29,1014,1014
CAMP_ba0198b3,1031,1031,1031,44.60,1031,1031,44.60,1031,1031
CAMP_5ac88349,1048,1048,1048,61.91,1048,1048,61.91,1048,1048
CAMP_5a7adfc6,1065,1065,1065,78.22,1065,1065,78.22,1065,1065
CAMP_80dbefc5,1082,1082,1082,95.53,1082,1082,95.53,1082,1082
CAMP_f4c04e4a,1099,1099,1099,112.84,1099,1099,112.84,1099,1099
CAMP_ef67de55,1116,1116,1116,129.15,1116,1116,129.15,1116,1116
CAMP_8eb637db,1133,1133,1133,146.46,1133,1133,146.46,1133,1133
CAMP_cc3f3c13,1150,1150,1150,163.77,1150,1150,163.77,1150,1150
CAMP_5009250e,1167,1167,1167,180.08,1167,1167,180.08,1167,1167
CAMP_dbe63c19,1184,1184,1184,197.39,1184,1184,197.39,1184,1184
CAMP_98475fdf,1201,1201,1201,214.70,1201,1201,214.70,1201,1201
CAMP_8e84828e,1218,1218,1218,231.01,1218,1218,231.01,1218,1218
CAMP_55f8f642,1235,1235,1235,248.32,1235,1235,248.32,1235,1235
CAMP_0e3cc2d6,1252,1252,1252,265.63,1252,1252,265.63,1252,1252
CAMP_34deee22,1269,1269,1269,282.94,1269,1269,282.94,1269,1269
CAMP_2dd149dc,1286,1286,1286,299.25,1286,1286,299.25,1286,1286
CAMP_2be7a886,1303,1303,1303,316.56,1303,1303,316.56,1303,1303
CAMP_098cb2b6,1320,1320,1320,333.87,1320,1320,333.87,1320,1320
CAMP_63587db8,1337,1337,1337,350.18,1337,1337,350.18,1337,1337
CAMP_57069c24,1354,1354,1354,367.49,1354,1354,367.49,1354,1354
