Id,Name,AccountId,StageName,Amount,Probability,CloseDate,Type
006000000000000,Opportunity 0,001000000000000,Proposal,44505,100,2026-06-01,New Business
006000000000001,Opportunity 1,001000000000001,Prospecting,52556,10,2026-06-02,New Business
006000000000002,Opportunity 2,001000000000002,Closed Won,71196,100,2026-06-03,New Business
006000000000003,Opportunity 3,001000000000003,Closed Lost,79260,40,2026-06-04,New Business
006000000000004,Opportunity 4,001000000000004,Prospecting,30454,10,2026-06-05,New Business
006000000000005,Opportunity 5,001000000000005,Closed Won,5747,100,2026-06-06,New Business
006000000000006,Opportunity 6,001000000000006,Prospecting,36066,40,2026-06-07,New Business
006000000000007,Opportunity 7,001000000000007,Closed Lost,11568,70,2026-06-08,New Business
006000000000008,Opportunity 8,001000000000008,Closed Won,65145,100,2026-06-09,New Business
006000000000009,Opportunity 9,001000000000009,Closed Won,45888,100,2026-06-10,New Business
006000000000010,Opportunity 10,001000000000010,Proposal,8602,40,2026-06-11,New Business
006000000000011,Opportunity 11,001000000000011,Prospecting,39839,10,2026-06-12,New Business
006000000000012,Opportunity 12,001000000000012,Proposal,84255,10,2026-06-13,New Business
006000000000013,Opportunity 13,001000000000013,Prospecting,60410,10,2026-06-14,New Business
006000000000014,Opportunity 14,001000000000014,Prospecting,12737,100,2026-06-15,New Business
006000000000015,Opportunity 15,001000000000015,Closed Lost,72492,10,2026-06-16,New Business
006000000000016,Opportunity 16,001000000000016,Prospecting,58802,70,2026-06-17,New Business
006000000000017,Opportunity 17,001000000000017,Prospecting,52081,10,2026-06-18,New Business
006000000000018,Opportunity 18,001000000000018,Proposal,33905,10,2026-06-19,New Business
006000000000019,Opportunity 19,001000000000019,Proposal,80767,40,2026-06-20,New Business
006000000000020,Opportunity 20,001000000000020,Prospecting,27009,10,2026-06-21,New Business
006000000000021,Opportunity 21,001000000000021,Prospecting,13259,40,2026-06-22,New Business
006000000000022,Opportunity 22,001000000000022,Closed Won,10932,70,2026-06-23,New Business
006000000000023,Opportunity 23,001000000000023,Closed Lost,44720,100,2026-06-24,New Business
006000000000024,Opportunity 24,001000000000024,Closed Won,41829,70,2026-06-25,New Business
006000000000025,Opportunity 25,001000000000025,Closed Lost,14274,100,2026-06-26,New Business
006000000000026,Opportunity 26,001000000000026,Prospecting,55261,10,2026-06-27,New Business
006000000000027,Opportunity 27,001000000000027,Prospecting,40832,70,2026-06-28,New Business
006000000000028,Opportunity 28,001000000000028,Closed Won,85663,40,2026-06-29,New Business
006000000000029,Opportunity 29,001000000000029,Closed Lost,70973,40,2026-06-30,New Business
006000000000030,Opportunity 30,001000000000030,Prospecting,43046,10,2026-07-01,New Business
006000000000031,Opportunity 31,001000000000031,Closed Won,12610,100,2026-07-02,New Business
006000000000032,Opportunity 32,001000000000032,Closed Won,51895,10,2026-07-03,New Business
006000000000033,Opportunity 33,001000000000033,Prospecting,89991,70,2026-07-04,New Business
006000000000034,Opportunity 34,001000000000034,Proposal,16237,100,2026-07-05,New Business
006000000000035,Opportunity 35,001000000000035,Proposal,77035,10,2026-07-06,New Business
006000000000036,Opportunity 36,001000000000036,Proposal,5877,10,2026-07-07,New Business
006000000000037,Opportunity 37,001000000000037,Closed Lost,20447,70,2026-07-08,New Business
006000000000038,Opportunity 38,001000000000038,Closed Won,81713,100,2026-07-09,New Business
006000000000039,Opportunity 39,001000000000039,Closed Lost,84801,70,2026-07-10,New Business
006000000000040,Opportunity 40,001000000000040,Prospecting,80508,70,2026-07-11,New Business
006000000000041,Opportunity 41,001000000000041,Prospecting,7718,40,2026-07-12,New Business
006000000000042,Opportunity 42,001000000000042,Proposal,70603,40,2026-07-13,New Business
006000000000043,Opportunity 43,001000000000043,Prospecting,22089,70,2026-07-14,New Business
006000000000044,Opportunity 44,001000000000044,Closed Lost,28920,10,2026-07-15,New Business
006000000000045,Opportunity 45,001000000000045,Proposal,31338,40,2026-07-16,New Business
006000000000046,Opportunity 46,001000000000046,Proposal,6232,100,2026-07-17,New Business
006000000000047,Opportunity 47,001000000000047,Proposal,55650,100,2026-07-18,New Business
006000000000048,Opportunity 48,001000000000048,Closed Won,5231,100,2026-07-19,New Business
006000000000049,Opportunity 49,001000000000049,Closed Lost,20813,70,2026-07-20,New Business
006000000000050,Opportunity 50,001000000000050,Closed Lost,61231,10,2026-07-21,New Business
006000000000051,Opportunity 51,001000000000051,Proposal,59645,40,2026-07-22,New Business
006000000000052,Opportunity 52,001000000000052,Prospecting,58639,70,2026-07-23,New Business
006000000000053,Opportunity 53,001000000000053,Prospecting,39695,10,2026-07-24,New Business
006000000000054,Opportunity 54,001000000000054,Closed Lost,40059,70,2026-07-25,New Business
006000000000055,Opportunity 55,001000000000055,Closed Won,39932,70,2026-07-26,New Business
006000000000056,Opportunity 56,001000000000056,Proposal,75623,40,2026-07-27,New Business
006000000000057,Opportunity 57,001000000000057,Closed Lost,83835,70,2026-07-28,New Business
006000000000058,Opportunity 58,001000000000058,Proposal,33808,100,2026-07-29,New Business
006000000000059,Opportunity 59,001000000000059,Closed Lost,10403,100,2026-07-30,New Business
006000000000060,Opportunity 60,001000000000060,Proposal,78580,100,2026-07-31,New Business
006000000000061,Opportunity 61,001000000000061,Proposal,42623,70,2026-08-01,New Business
006000000000062,Opportunity 62,001000000000062,Proposal,85040,40,2026-08-02,New Business
006000000000063,Opportunity 63,001000000000063,Closed Lost,16486,70,2026-08-03,New Business
006000000000064,Opportunity 64,001000000000064,Closed Lost,16074,40,2026-08-04,New Business
006000000000065,Opportunity 65,001000000000065,Prospecting,74555,10,2026-08-05,New Business
006000000000066,Opportunity 66,001000000000066,Closed Lost,64536,40,2026-08-06,New Business
006000000000067,Opportunity 67,001000000000067,Prospecting,75391,100,2026-08-07,New Business
006000000000068,Opportunity 68,001000000000068,Closed Lost,15905,40,2026-08-08,New Business
006000000000069,Opportunity 69,001000000000069,Closed Lost,69694,10,2026-08-09,New Business
006000000000070,Opportunity 70,001000000000070,Closed Won,66648,100,2026-08-10,New Business
006000000000071,Opportunity 71,001000000000071,Closed Won,81392,10,2026-08-11,New Business
006000000000072,Opportunity 72,001000000000072,Prospecting,75127,100,2026-08-12,New Business
006000000000073,Opportunity 73,001000000000073,Closed Won,53993,70,2026-08-13,New Business
006000000000074,Opportunity 74,001000000000074,Proposal,10028,10,2026-08-14,New Business
006000000000075,Opportunity 75,001000000000075,Closed Lost,9227,100,2026-08-15,New Business
006000000000076,Opportunity 76,001000000000076,Closed Won,15562,40,2026-08-16,New Business
006000000000077,Opportunity 77,001000000000077,Proposal,6021,10,2026-08-17,New Business
006000000000078,Opportunity 78,001000000000078,Closed Lost,84793,40,2026-08-18,New Business
006000000000079,Opportunity 79,001000000000079,Proposal,48795,40,2026-08-19,New Business
006000000000080,Opportunity 80,001000000000080,Prospecting,62791,70,2026-08-20,New Business
006000000000081,Opportunity 81,001000000000081,Closed Lost,8085,40,2026-08-21,New Business
006000000000082,Opportunity 82,001000000000082,Prospecting,40565,100,2026-08-22,New Business
006000000000083,Opportunity 83,001000000000083,Prospecting,30244,40,2026-08-23,New Business
006000000000084,Opportunity 84,001000000000084,Prospecting,20570,100,2026-08-24,New Business
006000000000085,Opportunity 85,001000000000085,Closed Won,47687,100,2026-08-25,New Business
006000000000086,Opportunity 86,001000000000086,Prospecting,21563,70,2026-08-26,New Business
006000000000087,Opportunity 87,001000000000087,Prospecting,77221,40,2026-08-27,New Business
006000000000088,Opportunity 88,001000000000088,Closed Won,60129,100,2026-08-28,New Business
006000000000089,Opportunity 89,001000000000089,Closed Won,39064,10,2026-08-29,New Business
006000000000090,Opportunity 90,001000000000090,Proposal,59835,10,2026-08-30,New Business
006000000000091,Opportunity 91,001000000000091,Prospecting,15662,70,2026-08-31,New Business
006000000000092,Opportunity 92,001000000000092,Prospecting,25592,100,2026-09-01,New Business
006000000000093,Opportunity 93,001000000000093,Prospecting,64612,100,2026-09-02,New Business
006000000000094,Opportunity 94,001000000000094,Proposal,75200,40,2026-09-03,New Business
006000000000095,Opportunity 95,001000000000095,Proposal,31547,100,2026-09-04,New Business
006000000000096,Opportunity 96,001000000000096,Closed Won,70612,40,2026-09-05,New Business
006000000000097,Opportunity 97,001000000000097,Closed Won,42029,10,2026-09-06,New Business
006000000000098,Opportunity 98,001000000000098,Closed Won,22955,100,2026-09-07,New Business
006000000000099,Opportunity 99,001000000000099,Proposal,34076,100,2026-09-08,New Business
006000000000100,Opportunity 100,001000000000100,Proposal,7858,70,2026-09-09,New Business
006000000000101,Opportunity 101,001000000000101,Closed Lost,7979,70,2026-09-10,New Business
006000000000102,Opportunity 102,001000000000102,Closed Won,24147,40,2026-09-11,New Business
006000000000103,Opportunity 103,001000000000103,Proposal,11662,70,2026-09-12,New Business
006000000000104,Opportunity 104,001000000000104,Closed Won,46820,100,2026-09-13,New Business
006000000000105,Opportunity 105,001000000000105,Prospecting,17928,70,2026-09-14,New Business
006000000000106,Opportunity 106,001000000000106,Proposal,24207,40,2026-09-15,New Business
006000000000107,Opportunity 107,001000000000107,Closed Won,61111,100,2026-09-16,New Business
006000000000108,Opportunity 108,001000000000108,Proposal,41086,100,2026-09-17,New Business
006000000000109,Opportunity 109,001000000000109,Proposal,45454,70,2026-09-18,New Business
