id,name,city,state,country,postal_code,address,latitude,longitude
ven-d01,Mission Ballroom,Denver,CO,US,80216,4242 Wynkoop St,39.7699,-104.9782
ven-d02,Red Rocks Amphitheatre,Morrison,CO,US,80465,18300 W Alameda Pkwy,39.6655,-105.2053
ven-d03,Ogden Theatre,Denver,CO,US,80206,935 E Colfax Ave,39.7405,-104.9709
ven-s01,Majestic Theatre,San Antonio,TX,US,78205,224 E Houston St,29.4256,-98.4881
ven-s02,Tobin Center,San Antonio,TX,US,78205,100 Auditorium Cir,29.4290,-98.4820
ven-s02-x1,Red Rocks Amphitheatre-x1,Denver,CO,US,80206,935 E Colfax Ave,39.7405,-104.9709
ven-s02-x2,Tobin Center-x2,Denver,CO,US,80206,935 E Colfax Ave,39.7405,-104.9709
ven-s02-x3,Mission Ballroom-x3,Denver,CO,US,80216,4242 Wynkoop St,39.7699,-104.9782
ven-s02-x4,Majestic Theatre-x4,Morrison,CO,US,80465,18300 W Alameda Pkwy,39.6655,-105.2053
ven-d02-x5,Majestic Theatre-x5,Denver,CO,US,80206,935 E Colfax Ave,39.7405,-104.9709
ven-d03-x6,Mission Ballroom-x6,Denver,CO,US,80206,935 E Colfax Ave,39.7405,-104.9709
ven-s01-x7,Red Rocks Amphitheatre-x7,Morrison,CO,US,80465,18300 W Alameda Pkwy,39.6655,-105.2053
ven-s02-x8,Majestic Theatre-x8,San Antonio,TX,US,78205,224 E Houston St,29.4256,-98.4881
ven-d02-x9,Red Rocks Amphitheatre-x9,Morrison,CO,US,80465,18300 W Alameda Pkwy,39.6655,-105.2053
ven-d03-x10,Mission Ballroom-x10,Morrison,CO,US,80465,18300 W Alameda Pkwy,39.6655,-105.2053
ven-s02-x11,Red Rocks Amphitheatre-x11,San Antonio,TX,US,78205,100 Auditorium Cir,29.4290,-98.4820
ven-d01-x12,Red Rocks Amphitheatre-x12,Denver,CO,US,80206,935 E Colfax Ave,39.7405,-104.9709
ven-d02-x13,Mission Ballroom-x13,San Antonio,TX,US,78205,224 E Houston St,29.4256,-98.4881
ven-d02-x14,Red Rocks Amphitheatre-x14,Denver,CO,US,80216,4242 Wynkoop St,39.7699,-104.9782
ven-d01-x15,Ogden Theatre-x15,Morrison,CO,US,80465,18300 W Alameda Pkwy,39.6655,-105.2053
ven-d03-x16,Majestic Theatre-x16,Morrison,CO,US,80465,18300 W Alameda Pkwy,39.6655,-105.2053
ven-d02-x17,Majestic Theatre-x17,San Antonio,TX,US,78205,100 Auditorium Cir,29.4290,-98.4820
ven-s01-x18,Ogden Theatre-x18,Denver,CO,US,80216,4242 Wynkoop St,39.7699,-104.9782
ven-d03-x19,Ogden Theatre-x19,Denver,CO,US,80206,935 E Colfax Ave,39.7405,-104.9709
ven-s01-x20,Ogden Theatre-x20,Denver,CO,US,80206,935 E Colfax Ave,39.7405,-104.9709
ven-d01-x21,Mission Ballroom-x21,Denver,CO,US,80206,935 E Colfax Ave,39.7405,-104.9709
