id,name,classification_id,venue_id,attraction_id,start_datetime,status,price_min,price_max,currency
evt-d101,Natalia Lafourcade Live,cls-music-latin,ven-d01,att-d01,2026-11-14T20:00:00Z,onsale,65.00,150.00,USD
evt-d102,Rosalia Motomami Tour,cls-music-latin,ven-d02,att-d03,2027-06-20T20:00:00Z,onsale,89.00,240.00,USD
evt-d103,Mariachi Vargas de Tecalitlan,cls-music-latin,ven-s01,att-d04,2026-12-05T19:30:00Z,onsale,45.00,120.00,USD
evt-d104,Bad Bunny Denver,cls-music-latin,ven-d01,att-d02,2027-03-15T20:00:00Z,offsale,120.00,400.00,USD
evt-d105,Denver Symphony Holiday,cls-music-classical,ven-d03,att-d05,2026-12-18T19:00:00Z,onsale,35.00,95.00,USD
evt-d106,Rosalia San Antonio,cls-music-latin,ven-s02,att-d03,2027-06-25T20:00:00Z,onsale,89.00,240.00,USD
evt-d107,Rosalia Motomami Tour-x1,cls-music-latin,ven-d02,att-d03,2027-01-29T07:03:05Z,onsale,89.00,240.00,USD
evt-d108,Rosalia San Antonio-x2,cls-music-latin,ven-s02,att-d03,2027-06-18T05:42:23Z,onsale,89.00,240.00,USD
evt-d109,Rosalia Motomami Tour-x3,cls-music-latin,ven-s02,att-d03,2027-04-25T11:16:24Z,onsale,89.00,240.00,USD
evt-d110,Natalia Lafourcade Live-x4,cls-music-classical,ven-d03,att-d05,2026-12-31T09:12:38Z,onsale,35.00,95.00,USD
evt-d111,Rosalia Motomami Tour-x5,cls-music-latin,ven-s02,att-d03,2027-06-07T00:18:23Z,onsale,89.00,240.00,USD
evt-d112,Natalia Lafourcade Live-x6,cls-music-latin,ven-d02,att-d03,2026-12-07T04:15:00Z,onsale,89.00,240.00,USD
evt-d113,Denver Symphony Holiday-x7,cls-music-latin,ven-d01,att-d02,2027-04-16T21:31:41Z,offsale,120.00,400.00,USD
evt-d114,Mariachi Vargas de Tecalitlan-x8,cls-music-latin,ven-s02,att-d03,2026-12-23T00:47:21Z,onsale,89.00,240.00,USD
evt-d115,Natalia Lafourcade Live-x9,cls-music-latin,ven-d01,att-d01,2026-11-17T15:58:48Z,onsale,65.00,150.00,USD
evt-d116,Rosalia Motomami Tour-x10,cls-music-latin,ven-s02,att-d03,2027-03-29T03:38:46Z,onsale,89.00,240.00,USD
evt-d117,Rosalia Motomami Tour-x11,cls-music-classical,ven-d03,att-d05,2027-03-10T19:43:03Z,onsale,35.00,95.00,USD
evt-d118,Bad Bunny Denver-x12,cls-music-latin,ven-s01,att-d04,2027-03-18T11:04:52Z,onsale,45.00,120.00,USD
evt-d119,Rosalia Motomami Tour-x13,cls-music-latin,ven-d02,att-d03,2027-04-03T01:36:01Z,onsale,89.00,240.00,USD
evt-d120,Bad Bunny Denver-x14,cls-music-latin,ven-s01,att-d04,2027-01-19T23:18:40Z,onsale,45.00,120.00,USD
evt-d121,Natalia Lafourcade Live-x15,cls-music-latin,ven-d01,att-d02,2027-01-25T22:37:12Z,offsale,120.00,400.00,USD
evt-d122,Rosalia San Antonio-x16,cls-music-latin,ven-d01,att-d02,2026-12-03T07:34:28Z,offsale,120.00,400.00,USD
evt-d123,Natalia Lafourcade Live-x17,cls-music-latin,ven-d01,att-d01,2027-04-10T06:11:23Z,onsale,65.00,150.00,USD
evt-d124,Bad Bunny Denver-x18,cls-music-latin,ven-s02,att-d03,2027-04-11T10:02:00Z,onsale,89.00,240.00,USD
evt-d125,Mariachi Vargas de Tecalitlan-x19,cls-music-latin,ven-d02,att-d03,2027-05-03T15:21:24Z,onsale,89.00,240.00,USD
evt-d126,Mariachi Vargas de Tecalitlan-x20,cls-music-latin,ven-s02,att-d03,2027-06-25T17:21:42Z,onsale,89.00,240.00,USD
evt-d127,Natalia Lafourcade Live-x21,cls-music-classical,ven-d03,att-d05,2027-02-12T18:51:06Z,onsale,35.00,95.00,USD
evt-d128,Bad Bunny Denver-x22,cls-music-latin,ven-s01,att-d04,2026-12-21T07:52:37Z,onsale,45.00,120.00,USD
evt-d129,Natalia Lafourcade Live-x23,cls-music-latin,ven-d01,att-d01,2026-12-07T14:17:48Z,onsale,65.00,150.00,USD
evt-d130,Rosalia San Antonio-x24,cls-music-latin,ven-d01,att-d02,2027-01-18T17:57:54Z,offsale,120.00,400.00,USD
evt-d131,Bad Bunny Denver-x25,cls-music-latin,ven-d01,att-d01,2027-01-23T09:29:55Z,onsale,65.00,150.00,USD
evt-d132,Denver Symphony Holiday-x26,cls-music-classical,ven-d03,att-d05,2027-05-21T00:20:40Z,onsale,35.00,95.00,USD
evt-d133,Bad Bunny Denver-x27,cls-music-latin,ven-d02,att-d03,2027-01-30T04:02:49Z,onsale,89.00,240.00,USD
