id,name,type,segment,genre,upcoming_events
att-d01,Natalia Lafourcade,artist,Music,Latin,2
att-d02,Bad Bunny,artist,Music,Latin Urban,4
att-d03,Rosalia,artist,Music,Latin Pop,3
att-d04,Mariachi Vargas,artist,Music,Regional Mexican,1
att-d05,Denver Symphony,orchestra,Music,Classical,5
att-d06,Natalia Lafourcade-x1,artist,Music,Latin Urban,4
att-d07,Mariachi Vargas-x2,artist,Music,Latin Urban,4
att-d08,Denver Symphony-x3,artist,Music,Latin,2
att-d09,Natalia Lafourcade-x4,artist,Music,Regional Mexican,1
att-d10,Mariachi Vargas-x5,artist,Music,Latin,2
att-d11,Rosalia-x6,artist,Music,Latin,2
att-d12,Rosalia-x7,artist,Music,Latin Urban,4
att-d13,Natalia Lafourcade-x8,artist,Music,Latin Pop,3
att-d14,Natalia Lafourcade-x9,orchestra,Music,Classical,5
att-d15,Natalia Lafourcade-x10,artist,Music,Latin,2
att-d16,Bad Bunny-x11,artist,Music,Latin Pop,3
att-d17,Mariachi Vargas-x12,artist,Music,Latin Urban,4
att-d18,Rosalia-x13,artist,Music,Latin,2
att-d19,Mariachi Vargas-x14,artist,Music,Latin Urban,4
att-d20,Bad Bunny-x15,artist,Music,Regional Mexican,1
att-d21,Bad Bunny-x16,artist,Music,Latin Urban,4
att-d22,Mariachi Vargas-x17,artist,Music,Latin Pop,3
att-d23,Rosalia-x18,orchestra,Music,Classical,5
att-d24,Denver Symphony-x19,artist,Music,Latin,2
att-d25,Mariachi Vargas-x20,artist,Music,Latin Pop,3
att-d26,Denver Symphony-x21,artist,Music,Latin,2
att-d27,Natalia Lafourcade-x22,orchestra,Music,Classical,5
att-d28,Denver Symphony-x23,artist,Music,Latin Urban,4
att-d29,Mariachi Vargas-x24,orchestra,Music,Classical,5
att-d30,Denver Symphony-x25,artist,Music,Latin Pop,3
att-d31,Natalia Lafourcade-x26,artist,Music,Regional Mexican,1
att-d32,Rosalia-x27,artist,Music,Latin Pop,3
att-d33,Natalia Lafourcade-x28,artist,Music,Latin Pop,3
att-d34,Denver Symphony-x29,artist,Music,Latin,2
att-d35,Rosalia-x30,orchestra,Music,Classical,5
att-d36,Denver Symphony-x31,artist,Music,Latin,2
att-d37,Denver Symphony-x32,artist,Music,Latin Pop,3
att-d38,Natalia Lafourcade-x33,artist,Music,Regional Mexican,1
att-d39,Natalia Lafourcade-x34,artist,Music,Latin,2
att-d40,Mariachi Vargas-x35,artist,Music,Latin Pop,3
att-d41,Denver Symphony-x36,artist,Music,Regional Mexican,1
att-d42,Rosalia-x37,artist,Music,Latin Urban,4
att-d43,Denver Symphony-x38,orchestra,Music,Classical,5
att-d44,Bad Bunny-x39,artist,Music,Latin Urban,4
att-d45,Rosalia-x40,artist,Music,Latin,2
att-d46,Mariachi Vargas-x41,artist,Music,Latin,2
att-d47,Denver Symphony-x42,artist,Music,Regional Mexican,1
att-d48,Mariachi Vargas-x43,orchestra,Music,Classical,5
att-d49,Denver Symphony-x44,orchestra,Music,Classical,5
att-d50,Mariachi Vargas-x45,artist,Music,Latin Urban,4
att-d51,Bad Bunny-x46,artist,Music,Latin,2
att-d52,Denver Symphony-x47,artist,Music,Latin Urban,4
att-d53,Mariachi Vargas-x48,artist,Music,Latin Urban,4
att-d54,Denver Symphony-x49,artist,Music,Latin Urban,4
att-d55,Natalia Lafourcade-x50,artist,Music,Latin Pop,3
att-d56,Rosalia-x51,artist,Music,Latin Urban,4
att-d57,Natalia Lafourcade-x52,orchestra,Music,Classical,5
att-d58,Mariachi Vargas-x53,artist,Music,Latin Urban,4
att-d59,Natalia Lafourcade-x54,orchestra,Music,Classical,5
att-d60,Denver Symphony-x55,artist,Music,Latin Pop,3
att-d61,Bad Bunny-x56,artist,Music,Latin Pop,3
att-d62,Rosalia-x57,artist,Music,Regional Mexican,1
att-d63,Denver Symphony-x58,artist,Music,Latin Pop,3
att-d64,Rosalia-x59,artist,Music,Regional Mexican,1
att-d65,Rosalia-x60,artist,Music,Latin Pop,3
att-d66,Rosalia-x61,artist,Music,Regional Mexican,1
att-d67,Denver Symphony-x62,artist,Music,Regional Mexican,1
att-d68,Bad Bunny-x63,artist,Music,Latin,2
att-d69,Denver Symphony-x64,artist,Music,Latin Pop,3
att-d70,Rosalia-x65,artist,Music,Latin Urban,4
att-d71,Natalia Lafourcade-x66,artist,Music,Latin,2
att-d72,Bad Bunny-x67,artist,Music,Regional Mexican,1
att-d73,Natalia Lafourcade-x68,orchestra,Music,Classical,5
att-d74,Natalia Lafourcade-x69,orchestra,Music,Classical,5
att-d75,Rosalia-x70,artist,Music,Regional Mexican,1
att-d76,Denver Symphony-x71,artist,Music,Latin,2
att-d77,Mariachi Vargas-x72,orchestra,Music,Classical,5
att-d78,Bad Bunny-x73,artist,Music,Latin Urban,4
att-d79,Rosalia-x74,orchestra,Music,Classical,5
att-d80,Natalia Lafourcade-x75,artist,Music,Latin Urban,4
att-d81,Denver Symphony-x76,artist,Music,Latin Pop,3
att-d82,Bad Bunny-x77,artist,Music,Latin Pop,3
att-d83,Denver Symphony-x78,artist,Music,Regional Mexican,1
att-d84,Rosalia-x79,artist,Music,Latin Pop,3
att-d85,Mariachi Vargas-x80,orchestra,Music,Classical,5
att-d86,Rosalia-x81,artist,Music,Latin,2
att-d87,Denver Symphony-x82,artist,Music,Latin Urban,4
att-d88,Mariachi Vargas-x83,artist,Music,Latin Urban,4
att-d89,Rosalia-x84,orchestra,Music,Classical,5
att-d90,Denver Symphony-x85,artist,Music,Latin Pop,3
att-d91,Natalia Lafourcade-x86,orchestra,Music,Classical,5
att-d92,Bad Bunny-x87,artist,Music,Latin Urban,4
att-d93,Denver Symphony-x88,artist,Music,Latin,2
att-d94,Denver Symphony-x89,artist,Music,Regional Mexican,1
att-d95,Denver Symphony-x90,artist,Music,Latin Urban,4
att-d96,Bad Bunny-x91,artist,Music,Regional Mexican,1
att-d97,Mariachi Vargas-x92,artist,Music,Latin Urban,4
att-d98,Rosalia-x93,artist,Music,Latin Pop,3
att-d99,Denver Symphony-x94,artist,Music,Latin Urban,4
att-d100,Bad Bunny-x95,artist,Music,Latin Pop,3
att-d101,Denver Symphony-x96,artist,Music,Latin Urban,4
att-d102,Rosalia-x97,orchestra,Music,Classical,5
att-d103,Bad Bunny-x98,artist,Music,Latin,2
