order_id,product_id,quantity,unit_price,line_total,replacement_for
order-dawn-01,prod-milk-01,2,4.99,9.98,
order-dawn-01,prod-eggs-02,1,6.49,6.49,
order-dawn-01,prod-bread-03,2,5.29,10.58,
order-dawn-01,prod-apples-04,3,3.99,11.97,
order-dawn-01,prod-yogurt-05,4,4.49,17.96,
order-dawn-01,prod-chicken-06,1,22.50,22.50,
order-dawn-01,prod-veggies-07,1,18.75,18.75,
order-dawn-01,prod-pasta-08,3,3.29,9.87,
order-dawn-01,prod-oatmeal-09,2,5.99,11.98,
order-dawn-01,prod-crackers-10,2,6.49,12.98,
order-dawn-01,prod-honey-11,1,8.99,8.99,
order-dawn-01,prod-berries-12,2,3.35,6.70,
order-dawn-02,prod-brie-13,3,12.99,38.97,
order-dawn-02,prod-crackers-10,2,6.49,12.98,
order-dawn-02,prod-honey-11,2,8.99,17.98,
order-dawn-02,prod-grapes-14,1,17.49,17.49,
