Date	Items donated	Estimated trays	Estimated value	Received by
2025-11-03	Lentil soup, rice, bread	8	120	Imam Faruk Ozturk
2025-11-10	Mixed grill leftovers, pilav	6	140	Mosque volunteer
2025-11-17	Lahmacun, salad	7	110	Mosque volunteer
2025-11-24	Chicken and rice, soup	9	160	Imam Faruk Ozturk
2025-12-01	Pide, lentil soup	6	100	Mosque volunteer
2025-12-08	Mixed grill, bulgur pilav	8	150	Mosque volunteer
2025-12-15	Soup, bread, rice	7	115	Imam Faruk Ozturk
2025-12-22	Iskender, salad, soup	10	185	Mosque volunteer
2026-01-05	Lentil soup, rice	6	105	Mosque volunteer
2026-01-12	Chicken kebab, pilav	8	145	Imam Faruk Ozturk
2026-01-19	Mixed leftovers, bread	7	120	Mosque volunteer
2026-01-26	Soup, rice, salad	6	100	Mosque volunteer
