Title	Author	Year_Published	Status	Rating_Out_of_5	Personal_Notes
The E-Myth Revisited	Michael E. Gerber	1995	Read	5	Changed how I think about building systems in the shop
Profit First	Mike Michalowicz	2014	Read	4	Using a version of this for the shop accounts
Never Split the Difference	Chris Voss	2016	Read	5	Vendor negotiations with Pinnacle especially
Good to Great	Jim Collins	2001	Read	4	Level 5 leadership chapter stays with me
The Lean Startup	Eric Ries	2011	Read	3	Written for tech but the MVP concept translates
$100M Offers	Alex Hormozi	2021	Reading		Halfway through, pricing ideas for the McNichols launch
Buy Back Your Time	Dan Martell	2023	Reading		Darius recommended this one
Start with Why	Simon Sinek	2009	Read	4	Used the framework in the McNichols pitch deck
Atomic Habits	James Clear	2018	Read	5	Applied the habit stacking idea to Ty's training plan
The Hard Thing About Hard Things	Ben Horowitz	2014	Read	4	Honest about the parts of ownership nobody talks about
Rich Dad Poor Dad	Robert Kiyosaki	1997	Read	3	Read it in my twenties, kept some of it
Barbershop Blueprint	A.D. Thompson	2019	Read	5	The book that made me finally write my business plan
