Tool	Type or Detail	Quantity	Condition	Estimated Value
Bench chisels, 1/4 to 1 inch	Forged, four piece set	1	Good	95.00
Block plane	Low angle, adjustable mouth	1	Excellent	185.00
Smoothing plane	No. 4 size, restored	1	Good	75.00
Card scrapers	Hardened, three piece	1	Excellent	40.00
Scraper burnisher	Carbide rod	1	Excellent	35.00
Dovetail saw	Rip filed, fine tooth	1	Good	95.00
Crosscut hand saw	Hardpoint	1	Fair	25.00
Combination square, 12 inch	Machinist grade	1	Excellent	120.00
Marking gauge	Wheel type	1	Good	65.00
Marking knife	Brass and steel	1	Good	45.00
Wooden mallet	Shop made	1	Good	0.00
Cordless drill driver	20V, cordless	1	Good	110.00
Random orbital sander	5 inch, corded	1	Good	75.00
Tape measure, 25 ft	Wide blade	2	Good	30.00
Bar clamps, 24 inch	Parallel jaw	4	Good	140.00
Honing guide and stones	With waterstones	1	Good	130.00
Total				1265.00
