Playlist Name	Platform	Songs	Mood	When I Listen	Favorite Track
Morning Commute (Bike)	Spotify	42	Energetic, uplifting	Cycling to work	Feist - 1234
Deep Work	Spotify	28	Ambient, minimal	At the office, planning mode	Brian Eno - Music for Airports 1/1
Saturday Market	Spotify	35	Light, acoustic	Jean-Talon Market morning	Iron & Wine - Naked As We Came
Running (Canal)	Spotify	30	Rhythmic, driving	Running along Lachine Canal	Bon Iver - Holocene
Sunday Cooking	Spotify	50	Jazz standards, relaxed	Cooking Sunday dinner	Bill Evans - Waltz for Debby
Emile's Bedtime	Spotify	15	Gentle, acoustic	Reading to Emile before sleep	Feist - La Même Histoire
Rainy Day Reading	Spotify	25	Indie folk, contemplative	Balcony reading, rainy afternoons	Iron & Wine - Flightless Bird, American Mouth
Marc & Ruth Date Night	Spotify	20	Jazz, bossa nova	Friday evenings after Emile sleeps	Chet Baker - Almost Blue
Conference Travel	Spotify	38	Mixed indie folk + podcasts	Airport, train, hotel	Bon Iver - Skinny Love
Winter Hygge	Spotify	30	Warm, cozy, piano	December-February evenings	Nils Frahm - Says
