delivery_id,sent_date,channel,provider,recipient_language,recipient_ward,message_type,status,bounce_reason,retry_count
EML-0501933,2026-04-06,email,mailgun,fr,Jeanne-Mance,consultation_reminder,delivered,,0
EML-0502044,2026-04-06,email,mailgun,vi,Plateau-Mont-Royal,consultation_reminder,delivered,,0
EML-0502062,2026-04-06,email,mailgun,fr,Milton-Parc,translated_summary,delivered,,0
EML-0502490,2026-04-06,email,sendgrid,fr,Mile End,translated_summary,delivered,,0
EML-0502604,2026-04-06,email,sendgrid,fr,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0500160,2026-04-06,sms,twilio,fr,Jeanne-Mance,translated_summary,delivered,,0
SMS-0500241,2026-04-06,sms,twilio,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500266,2026-04-06,sms,twilio,fr,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0500663,2026-04-06,sms,twilio,en,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0500725,2026-04-06,sms,twilio,en,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500963,2026-04-06,sms,twilio,fr,Mile End,consultation_reminder,delivered,,0
SMS-0501411,2026-04-06,sms,twilio,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
EML-0501958,2026-04-07,email,mailgun,vi,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500020,2026-04-07,sms,twilio,fr,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0500049,2026-04-07,sms,twilio,fr,Mile End,consultation_reminder,delivered,,0
SMS-0500592,2026-04-07,sms,twilio,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500848,2026-04-07,sms,twilio,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500879,2026-04-07,sms,twilio,fr,Mile End,follow_up,delivered,,0
SMS-0501050,2026-04-07,sms,twilio,fr,Mile End,consultation_reminder,delivered,,0
SMS-0501479,2026-04-07,sms,twilio,ar,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0501500,2026-04-07,sms,twilio,ur,Plateau-Mont-Royal,consultation_reminder,delivered,,0
EML-0501942,2026-04-08,email,mailgun,ar,Milton-Parc,translated_summary,delivered,,0
EML-0501974,2026-04-08,email,mailgun,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
EML-0502090,2026-04-08,email,mailgun,fr,Mile End,consultation_reminder,delivered,,0
EML-0502575,2026-04-08,email,sendgrid,fr,Jeanne-Mance,meeting_invite,delivered,,0
SMS-0500050,2026-04-08,sms,twilio,vi,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500278,2026-04-08,sms,twilio,fr,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0500370,2026-04-08,sms,twilio,en,Milton-Parc,survey_link,delivered,,0
SMS-0500533,2026-04-08,sms,twilio,fr,Mile End,survey_link,delivered,,0
SMS-0500698,2026-04-08,sms,twilio,ar,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500959,2026-04-08,sms,twilio,vi,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0501087,2026-04-08,sms,twilio,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0501332,2026-04-08,sms,twilio,fr,Mile End,meeting_invite,delivered,,0
EML-0501951,2026-04-09,email,mailgun,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
EML-0502070,2026-04-09,email,mailgun,fr,Jeanne-Mance,consultation_reminder,delivered,,0
EML-0502177,2026-04-09,email,mailgun,fr,Mile End,survey_link,delivered,,0
EML-0502199,2026-04-09,email,mailgun,en,Plateau-Mont-Royal,consultation_reminder,delivered,,0
EML-0502211,2026-04-09,email,mailgun,fr,Plateau-Mont-Royal,survey_link,delivered,,0
EML-0502714,2026-04-09,email,sendgrid,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500259,2026-04-09,sms,twilio,en,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0500319,2026-04-09,sms,twilio,en,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500562,2026-04-09,sms,twilio,en,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500719,2026-04-09,sms,twilio,fr,Mile End,meeting_invite,delivered,,0
SMS-0500770,2026-04-09,sms,twilio,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0501239,2026-04-09,sms,twilio,ar,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0501261,2026-04-09,sms,twilio,ar,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0501275,2026-04-09,sms,twilio,en,Mile End,translated_summary,delivered,,0
