Date Listened,Podcast,Episode,Duration,Rating,Key Takeaway
2026-09-02,Cityscapes Podcast,Ep 87: Amsterdam's Car-Free City Centre,42 min,5/5,Referendum approach to removing cars. Community buy-in is everything.
2026-09-05,Streets for People,Ep 134: Protected Bike Lanes Save Lives (data review),38 min,4/5,Meta-analysis showing 44% reduction in cyclist injuries. Useful for reports.
2026-09-10,The History Hour,Ep 201: The Great Fire of London and Modern Urban Planning,55 min,4/5,Fascinating how disaster drives planning reform. Parallels to post-flood Montreal.
2026-09-15,Cityscapes Podcast,Ep 88: Bogotá's TransMilenio at 25,48 min,5/5,BRT as equitable transit. Relevant to REM discussions in Montreal.
2026-09-18,Streets for People,Ep 135: School Streets Movement,35 min,5/5,Closing streets around schools during drop-off/pickup. Want to propose for Emile's school.
2026-09-22,The War on Cars,Ep 112: The Parking Problem Nobody Talks About,52 min,4/5,Minimum parking requirements as hidden subsidy for car culture. Eye-opening data.
2026-09-28,Cityscapes Podcast,Ep 89: Seoul's Cheonggyecheon Stream Restoration,45 min,5/5,Tearing down a highway to restore a stream. The before/after photos are stunning.
2026-10-02,Streets for People,Ep 136: Tactical Urbanism That Stuck,40 min,4/5,Temporary interventions becoming permanent. Directly relevant to pilot projects.
2026-10-06,The History Hour,Ep 203: Haussmann's Paris: Progress or Destruction?,58 min,5/5,Both. The tension between grand planning and community displacement. Timeless.
2026-10-10,99% Invisible,Ep 578: The Power Broker (Robert Moses reexamination),62 min,5/5,"New scholarship on Moses. Less villain, more 'system that enabled him.' Nuanced."
