media_id,impressions,reach,engagement,saves,shares,profile_visits,follows
179000000000001,16122,11037,2042,54,15,263,17
179000000000002,19557,17980,2314,95,87,351,6
179000000000003,8059,9271,1891,78,34,269,24
179000000000004,8264,7802,1954,146,54,183,11
179000000000005,16339,7261,1565,216,67,115,17
179000000000006,13982,10226,2211,158,38,192,3
179000000000007,8510,15672,2952,102,61,171,13
179000000000008,12340,14675,2225,95,61,267,15
179000000000009,9662,6702,2322,162,19,187,21
179000000000010,18381,17595,3198,109,33,388,16
179000000000011,18103,11041,1703,176,10,276,17
179000000000012,10502,10919,2748,134,11,285,25
179000000000013,12913,10592,3006,43,79,384,3
179000000000014,21690,12829,2942,169,55,189,5
179000000000015,15203,17397,2211,191,44,104,23
179000000000016,13088,17470,2129,203,42,94,8
179000000000017,16077,11536,1022,119,51,253,3
179000000000018,17532,14754,2852,147,26,376,14
179000000000019,10474,16254,2738,182,29,374,24
179000000000020,15891,13756,2530,133,74,334,16
179000000000021,10634,6883,2753,144,27,357,20
179000000000022,20235,14159,2880,42,31,127,21
179000000000023,20029,9745,3176,178,20,232,7
179000000000024,17432,14843,971,168,86,386,5
179000000000025,19787,10033,1439,59,50,198,9
179000000000026,16565,6763,2306,134,72,414,25
179000000000027,22025,20431,1467,182,91,398,14
179000000000028,22742,17451,3681,186,50,311,25
179000000000029,24336,18145,1978,116,98,298,4
179000000000030,24294,20125,2715,89,38,401,26
179000000000031,17682,13459,2656,249,94,240,12
179000000000032,10121,13459,2509,203,43,100,18
179000000000033,9721,20625,1737,130,80,400,4
179000000000034,9954,16917,2108,166,77,97,29
179000000000035,20403,7891,1935,234,21,377,29
179000000000036,17384,12763,1298,258,38,274,29
179000000000037,13574,12745,3571,193,52,353,12
179000000000038,22994,12535,3101,58,87,218,21
179000000000039,9145,7527,2433,195,68,130,27
179000000000040,15015,20467,1770,126,44,91,23
