courseId,topicId,name,updateTime
courseId_1000,topicId_1000,Engine Fundamentals,2026-06-01T09:00:00Z
courseId_noise_500,topicId_1500,name 500,2026-06-01T09:00:00Z
courseId_noise_501,topicId_1501,name 501,2026-06-01T09:00:00Z
courseId_noise_502,topicId_1502,name 502,2026-06-01T09:00:00Z
courseId_noise_503,topicId_1503,name 503,2026-06-01T09:00:00Z
courseId_noise_504,topicId_1504,name 504,2026-06-01T09:00:00Z
courseId_noise_505,topicId_1505,name 505,2026-06-01T09:00:00Z
courseId_noise_506,topicId_1506,name 506,2026-06-01T09:00:00Z
courseId_noise_507,topicId_1507,name 507,2026-06-01T09:00:00Z
courseId_noise_508,topicId_1508,name 508,2026-06-01T09:00:00Z
courseId_noise_509,topicId_1509,name 509,2026-06-01T09:00:00Z
courseId_noise_510,topicId_1510,name 510,2026-06-01T09:00:00Z
