SKU	Item	Category	On Hand	Reorder At	Unit	Last Restock	Supplier
SUP-001	Therapy putty, medium	Hand strength	14	6	container	2026-01-15	Therapro
SUP-002	Kinetic sand, 5 lb	Tactile	5	3	box	2026-01-15	Amazon Business
SUP-003	Playdough, assorted	Tactile	22	10	tub	2026-02-02	Discount School Supply
SUP-004	Pom poms, bulk	Fine motor	3	2	bag	2025-12-10	Discount School Supply
SUP-005	Tweezers, child	Fine motor	18	8	each	2026-01-15	Therapro
SUP-006	Lacing cards set	Bilateral	6	3	set	2025-11-20	Lakeshore
SUP-007	Watercolor paper pad	Visual motor	4	3	pad	2026-02-02	Blick Art
SUP-008	Therapy ball, 55 cm	Core	2	2	each	2025-10-05	Gopher
SUP-009	Weighted lap pad	Regulation	3	2	each	2025-12-10	Fun and Function
SUP-010	Resistance bands, light	Hand strength	9	4	each	2026-01-15	Amazon Business
SUP-011	Safety scissors	Scissor skills	12	6	each	2026-02-02	Lakeshore
SUP-012	Clothespins, jumbo	Pincer	30	12	each	2026-01-15	Discount School Supply
NOTE	Monthly supply budget 200.00 USD						
