stop_id,interstate,exit,state,chain,anthony_rating,shower_quality,parking_notes,food_notes,last_updated
TS001,I-65,308,TN,TA,5,excellent,120 spots always room,Popeyes inside solid,2021-06
TS002,I-65,281,TN,Pilot,4,good,90 spots fills by 7 PM,decent grill,2022-03
TS003,I-65,265,TN,Love's,5,excellent,150 spots reliable,Chesters chicken hot,2019-11
TS004,I-65,231,AL,TA,4,good,100 spots tight winter,Popeyes decent,2020-04
TS005,I-65,208,AL,Pilot,3,fair,80 spots noisy,gas station food,2023-09
TS006,I-65,181,AL,Independent,2,poor,60 spots sketchy after dark,limited,2022-01
TS007,I-65,164,AL,Love's,5,excellent,140 spots clean lot,Arbys inside,2024-05
TS008,I-65,146,AL,TA,4,good,110 spots reliable,Country Pride diner,2021-08
TS009,I-65,128,AL,Pilot,4,good,95 spots decent,Wendys inside,2023-02
TS010,I-65,89,AL,Flying J,5,excellent,160 spots easy in easy out,Denny's connected,2024-07
TS011,I-20,168,GA,TA,4,good,105 spots winter room,Popeyes reliable,2022-11
TS012,I-20,144,GA,Pilot,3,fair,85 spots tight,gas station food only,2020-06
TS013,I-20,113,GA,Love's,5,excellent,130 spots always room,Godfather Pizza good,2024-03
TS014,I-20,85,AL,TA,4,good,95 spots fills late,Country Pride solid,2023-05
TS015,I-20,62,AL,Independent,1,poor,40 spots avoid,none,2019-04
TS016,I-20,45,AL,Pilot,4,good,110 spots decent,Subway inside,2022-08
TS017,I-20,32,AL,Flying J,5,excellent,145 spots easy access,Denny's connected,2024-01
TS018,I-75,373,TN,TA,4,good,100 spots winter tight,Popeyes decent,2021-10
TS019,I-75,341,TN,Pilot,5,excellent,135 spots always room,Wendys good,2023-11
TS020,I-75,318,TN,Love's,4,good,120 spots decent,Chesters chicken solid,2022-05
TS021,I-75,296,GA,Independent,2,poor,50 spots sketchy,limited food,2020-09
TS022,I-75,271,GA,TA,5,excellent,140 spots reliable,Country Pride excellent,2024-06
TS023,I-75,251,GA,Pilot,4,good,95 spots decent,Subway inside,2023-04
TS024,I-75,222,GA,Love's,3,fair,80 spots tight winter,gas station food,2019-08
TS025,I-75,201,GA,Flying J,5,excellent,155 spots easy in,Denny's connected,2024-09
TS026,I-40,447,TN,TA,5,excellent,130 spots always room,Popeyes reliable,2023-01
TS027,I-40,421,TN,Pilot,4,good,105 spots decent,Wendys inside,2022-07
TS028,I-40,398,TN,Love's,5,excellent,140 spots always open,Chesters chicken hot,2024-02
TS029,I-40,367,TN,Independent,2,poor,55 spots avoid dark,limited,2020-12
TS030,I-40,341,TN,TA,4,good,110 spots winter tight,Country Pride decent,2021-05
TS031,I-40,318,TN,Pilot,5,excellent,145 spots always room,Popeyes solid,2024-04
TS032,I-40,283,TN,Love's,4,good,120 spots decent,Godfather Pizza good,2023-07
TS033,I-40,251,TN,Flying J,5,excellent,150 spots easy access,Denny's connected,2024-08
TS034,I-40,182,TN,TA,4,good,105 spots decent,Country Pride reliable,2022-04
TS035,I-40,143,TN,Pilot,4,good,110 spots winter tight,Wendys inside,2023-08
TS036,I-40,80,TN,TA,5,excellent,140 spots always room,Popeyes and diner,2022-02
TS037,I-40,56,TN,Love's,3,fair,90 spots tight,gas station food,2020-03
TS038,I-40,42,AR,Pilot,4,good,100 spots decent,Subway inside,2023-11
TS039,I-40,25,AR,Independent,1,poor,35 spots avoid,none,2019-02
TS040,I-40,12,AR,Flying J,5,excellent,155 spots easy in easy out,Denny's connected,2024-10
