playlist_item_id,playlistId,videoId,channelId,title,position,publishedAt
pli-0000,pl-0000,vid-0000,yt-jhc,TAVR Procedure Live Demonstration - ACC 2026,17,2026-02-21T09:00:00Z
pli-0001,pl-0001,vid-0001,yt-jhc,Complex PCI: Chronic Total Occlusion Case,23,2026-06-04T09:00:00Z
pli-0002,pl-0002,vid-0002,yt-jhc,Structural Heart Interventions: State of the Art,5,2026-08-26T09:00:00Z
pli-0003,pl-0003,vid-0003,yt-jhc,Chopin Nocturne Op. 9 No. 2 - Full Performance,9,2026-04-16T09:00:00Z
pli-0004,pl-0004,vid-0004,yt-jhc,Debussy Clair de Lune - Piano Cover,14,2026-06-22T09:00:00Z
pli-0005,pl-0005,vid-0005,yt-jhc,Bruce Springsteen 'Born to Run' - Live 1978,13,2026-07-27T09:00:00Z
pli-0006,pl-0006,vid-0006,yt-jhc,John Mellencamp 'Small Town' - Farm Aid,16,2026-01-28T09:00:00Z
pli-0007,pl-0007,vid-0007,yt-jhc,Sicilian Defense: Najdorf Variation Explained,20,2026-03-14T09:00:00Z
pli-0008,pl-0008,vid-0008,yt-jhc,Sicilian Defense: Sveshnikov Complete Guide,11,2026-02-15T09:00:00Z
pli-0009,pl-0009,vid-0009,yt-jhc,Chess.com Rapid Chess Highlights - Under 1800,8,2026-01-17T09:00:00Z
pli-0010,pl-0010,vid-0010,yt-jhc,Interventional Cardiology Grand Rounds - Duke,7,2026-03-26T09:00:00Z
pli-0011,pl-0011,vid-0011,yt-jhc,Heart Team Approach for TAVR Patient Selection,11,2026-07-01T09:00:00Z
pli-0012,pl-0012,vid-0012,yt-jhc,Transradial Access Techniques for Complex PCI,15,2026-07-03T09:00:00Z
pli-0013,pl-0013,vid-0013,yt-jhc,IVUS-Guided PCI: Best Practices,23,2026-08-10T09:00:00Z
pli-0014,pl-0014,vid-0014,yt-jhc,FFR in Multi-Vessel Disease,14,2026-06-27T09:00:00Z
