comment_id,videoId,channelId,parentId,authorDisplayName,authorChannelId,textDisplay,likeCount,publishedAt,updatedAt,moderationStatus
cmt-0000,vid-0000,yt-jhc,root,Dr. Sarah Chen,ch-000,Great explanation of the STS score approach.,10,2026-08-24T09:00:00Z,2026-07-19T09:00:00Z,published
cmt-0001,vid-0001,yt-jhc,root,Dr. Ravi Hussain,ch-001,This is exactly what we needed for our fellowship.,49,2026-05-08T09:00:00Z,2026-04-15T09:00:00Z,published
cmt-0002,vid-0002,yt-jhc,root,Dr. Lisa Brennan,ch-002,Beautifully played - the ornaments at 2:34 are incredible.,9,2026-02-19T09:00:00Z,2026-08-13T09:00:00Z,published
cmt-0003,vid-0003,yt-jhc,UgxYt0001,Dr. Priya Nair,ch-003,Bruce still crushes it - what an anthem.,15,2026-03-14T09:00:00Z,2026-06-04T09:00:00Z,published
cmt-0004,vid-0004,yt-jhc,root,Amanda Torres,ch-004,Wong Kar-wai references make this even better.,15,2026-06-08T09:00:00Z,2026-07-26T09:00:00Z,published
cmt-0005,vid-0005,yt-jhc,UgxYt0003,Dr. James Whitfield,ch-005,The IVUS approach on this case was flawless.,50,2026-01-13T09:00:00Z,2026-02-27T09:00:00Z,published
cmt-0006,vid-0006,yt-jhc,UgxYt0004,Kim Adams,ch-006,Please make a follow-up on FFR in real-world cases.,1,2026-07-24T09:00:00Z,2026-04-01T09:00:00Z,published
cmt-0007,vid-0007,yt-jhc,UgxYt0005,Robert Thompson,ch-007,Watching this before my TAVR fellowship interview.,12,2026-02-05T09:00:00Z,2026-01-07T09:00:00Z,published
cmt-0008,vid-0008,yt-jhc,root,Daniel Baker,ch-008,This case reminds me of Dr. Whitfield's teaching.,5,2026-01-14T09:00:00Z,2026-02-26T09:00:00Z,published
cmt-0009,vid-0009,yt-jhc,UgxYt0007,Michelle Wilson,ch-009,The bifurcation strategy is textbook - well done.,34,2026-08-20T09:00:00Z,2026-02-18T09:00:00Z,published
cmt-0010,vid-0010,yt-jhc,UgxYt0008,Grace Garcia,ch-010,Debussy is so difficult - your voicing is exceptional.,28,2026-07-02T09:00:00Z,2026-03-04T09:00:00Z,published
