video_id,title,description,publishedAt,channelId,categoryId,tags,duration,dimension,definition,privacyStatus,publishAt,embeddable,viewCount,likeCount,dislikeCount,commentCount,thumbnailUrl,liveBroadcastContent,defaultLanguage,defaultAudioLanguage
vid-0000,TAVR Procedure Live Demonstration - ACC 2026,A step-by-step live demonstration of TAVR procedure at ACC 2026 from the Coastal Cardiology team.,2026-07-12T09:00:00Z,yt-jhc,vc-00,"cardiology,education",PT31M,2d,hd,public,2026-10-01T14:00:00Z,True,48189,1652,0,273,https://youtube.com/thumb/vid-0000.jpg,none,en,en
vid-0001,Complex PCI: Chronic Total Occlusion Case Study,Complex PCI case featuring chronic total occlusion (CTO) revascularization strategy.,2026-01-12T09:00:00Z,yt-jhc,vc-01,"cardiology,education",PT22M,2d,hd,public,2026-01-12T09:00:00Z,True,31250,4671,0,338,https://youtube.com/thumb/vid-0001.jpg,none,en,en
vid-0002,Structural Heart Interventions - State of the Art,State-of-the-art review of structural heart interventions from the Journal of Interventional Practice.,2026-06-05T09:00:00Z,yt-jhc,vc-02,"cardiology,education",PT38M,2d,hd,public,2026-06-05T09:00:00Z,True,30747,1338,0,46,https://youtube.com/thumb/vid-0002.jpg,none,en,en
vid-0003,Chopin Nocturne Op. 9 No. 2 - Full Piano Performance,"Full piano performance of Chopin Nocturne Op. 9 No. 2, recorded live on Yamaha CLP-785.",2026-03-10T09:00:00Z,yt-jhc,vc-03,"cardiology,education",PT58M,2d,hd,unlisted,2026-03-10T09:00:00Z,True,48197,989,0,445,https://youtube.com/thumb/vid-0003.jpg,none,en,en
vid-0004,Debussy Clair de Lune - Complete Version,Complete Debussy Clair de Lune with expressive dynamics.,2026-03-28T09:00:00Z,yt-jhc,vc-04,"cardiology,education",PT60M,2d,hd,unlisted,2026-10-05T14:00:00Z,True,8570,3730,0,12,https://youtube.com/thumb/vid-0004.jpg,none,en,en
vid-0005,Bruce Springsteen 'Born to Run' - Live 1978,Iconic Bruce Springsteen live performance of Born to Run from 1978.,2026-05-27T09:00:00Z,yt-jhc,vc-05,"cardiology,education",PT18M,2d,hd,public,2026-05-27T09:00:00Z,True,6405,4304,0,293,https://youtube.com/thumb/vid-0005.jpg,none,en,en
vid-0006,John Mellencamp 'Small Town' - Farm Aid Performance,John Mellencamp singing Small Town at Farm Aid.,2026-04-26T09:00:00Z,yt-jhc,vc-06,"cardiology,education",PT6M,2d,hd,private,2026-04-26T09:00:00Z,True,8466,428,0,74,https://youtube.com/thumb/vid-0006.jpg,none,en,en
vid-0007,Sicilian Defense: Najdorf Variation Explained,Detailed opening theory for Sicilian Defense Najdorf variation.,2026-03-02T09:00:00Z,yt-jhc,vc-07,"cardiology,education",PT29M,2d,hd,public,2026-03-02T09:00:00Z,True,2919,754,0,373,https://youtube.com/thumb/vid-0007.jpg,none,en,en
vid-0008,Sicilian Defense: Sveshnikov Complete Guide,Complete tactical guide for the Sicilian Sveshnikov.,2026-07-27T09:00:00Z,yt-jhc,vc-08,"cardiology,education",PT51M,2d,hd,unlisted,2026-10-09T14:00:00Z,True,1780,473,0,163,https://youtube.com/thumb/vid-0008.jpg,none,en,en
vid-0009,Chess.com Rapid Highlights - Under 1800 Rating,Chess.com rapid game highlights showing tactical themes for players 1500-1800 rating.,2026-01-13T09:00:00Z,yt-jhc,vc-09,"cardiology,education",PT26M,2d,hd,public,2026-01-13T09:00:00Z,True,44133,4574,0,211,https://youtube.com/thumb/vid-0009.jpg,none,en,en
vid-0010,Interventional Cardiology Grand Rounds - Duke University,Grand Rounds presentation from Duke Cardiology on multi-vessel PCI.,2026-01-03T09:00:00Z,yt-jhc,vc-10,"cardiology,education",PT29M,2d,hd,private,2026-01-03T09:00:00Z,True,10812,926,0,218,https://youtube.com/thumb/vid-0010.jpg,none,en,en
vid-0011,Heart Team Approach for TAVR Patient Selection,Multidisciplinary Heart Team approach for TAVR candidate evaluation.,2026-02-16T09:00:00Z,yt-jhc,vc-11,"cardiology,education",PT51M,2d,hd,unlisted,2026-02-16T09:00:00Z,True,16939,946,0,235,https://youtube.com/thumb/vid-0011.jpg,none,en,en
