chat_id,user_id,status
7001,9001,member
7001,9002,creator
7003,9003,creator
7004,9004,member
7005,9005,administrator
7006,9006,creator
7007,9007,member
7008,9008,administrator
7009,9009,creator
7010,9010,member
7011,9011,administrator
7012,9012,creator
7013,9013,member
7014,9014,administrator
7001,9015,creator
7002,9016,member
7003,9001,administrator
7004,9002,creator
7005,9003,member
7006,9004,administrator
7007,9005,creator
7008,9006,member
7009,9007,administrator
7010,9008,creator
7011,9009,member
7012,9010,administrator
7013,9011,creator
7014,9012,member
7001,9013,administrator
7002,9014,creator
7003,9015,member
7004,9016,administrator
7005,9001,creator
7006,9002,member
7007,9003,administrator
7008,9004,creator
7009,9005,member
7010,9006,administrator
7011,9007,creator
7012,9008,member
