date	route	distance_mi	time_min	avg_pace	notes
2025-10-04	River trail loop	3.2	29	9:04	cool morning
2025-10-09	River trail loop	3.4	31	9:07	steady
2025-11-02	Hill route	4.0	38	9:30	added the hill
2025-11-19	River trail loop	3.2	29	9:02	fast finish
2025-12-07	Short recovery	2.5	24	9:36	post shift legs heavy
2026-01-11	River trail loop	3.4	31	9:08	new year base
2026-02-08	Hill route	4.1	39	9:31	cold, layered up
2026-02-22	River trail loop	3.3	30	9:05	good week
2026-10-18	Long base	5.0	47	9:24	building back
2026-11-08	River trail loop	3.5	32	9:09	crisp
