ts,channel_id,user_id,text,thread_ts,reply_count,reactions
1788253337.000001,C-TERRE,U-JEANLUC,"Crate specs finalized for the eight piece consignment, foam density confirmed.",,0,
1788253474.000002,C-TERRE,U-MARGARET,"Thank you, moisture readings on the crates are within range.",1788253337.000001,1,
1788253611.000003,C-TERRE,U-JEANLUC,"FedEx pickup slotted second October, morning window.",1788253337.000001,2,
1788253748.000004,C-TERRE,U-MARGARET,Confirmed on my calendar.,1788253337.000001,3,
1788253885.000005,C-TERRE,U-JEANLUC,"Vernissage headcount is roughly sixty, catering booked.",,0,
1788254022.000006,C-TERRE,U-MARGARET,"Understood, I will send the artist statement translation by end of week.",1788253885.000005,1,
1788254159.000007,C-SHIP,U-JEANLUC,"Insurance rider signed, DocuSign envelope will follow.",,0,
1788254296.000008,C-SHIP,U-MARGARET,"Received, cross referenced with the crate manifest.",,0,
1788254433.000009,C-SHIP,U-MIKA,"Forklift booked for the pickup morning, collective courier door will be clear.",,0,
1788254570.000010,C-PARIS-COL,U-JEANLUC,Two Paris collectors asked for private preview after the opening.,,0,
1788254707.000011,C-PARIS-COL,U-MARGARET,"Please handle scheduling on the Paris side, I trust your calendar.",,0,
1788254844.000012,C-MUSEUM,U-TOMOMI,"Amendment on the commission is now countersigned, the four point two figure supersedes the original.",,0,
1788254981.000013,C-MUSEUM,U-MARGARET,"Understood, I will bring my books in line with the newer amount.",1788254844.000012,1,
1788255118.000014,C-MUSEUM,U-TOMOMI,The delivery slot on the thirty first of December is locked with the loading dock.,1788254844.000012,2,
1788255255.000015,C-MUSEUM,U-MARGARET,I will hold three throwing weeks in December against that date.,1788254844.000012,3,
1788255392.000016,C-SHIBUI,U-AKIKO,Poster proof needs one more pass on kerning.,,0,
1788255529.000017,C-SHIBUI,U-MARGARET,I will send a revised proof this week.,,0,
1788255666.000018,C-SHIBUI,U-AKIKO,"Please hold off on any Paris pricing chatter in this channel, keep the two shows separate.",,0,
1788255803.000019,C-SHIBUI,U-MARGARET,"Agreed, I keep the two silos clean.",,0,
1788255940.000020,C-KILN,U-MIKA,Anagama window is locked twenty second through twenty fifth October in the Confluence schedule.,,0,
1788256077.000021,C-KILN,U-MARGARET,"Good, older Trello slot in November is no longer authoritative, please archive that card.",1788255940.000020,1,
1788256214.000022,C-KILN,U-TOSHIO,I can travel down and support the last two loading days.,1788255940.000020,2,
1788256351.000023,C-KILN,U-MARGARET,"Grateful, I will save you a wood pile.",1788255940.000020,3,
1788256488.000024,C-GEN,U-MIKA,"Reminder, kiln crew standup Monday at nine.",,0,
1788256625.000025,C-GEN,U-BOT,Weekly cleaning rota updated in Confluence.,,0,
1788256762.000026,C-GEN,U-MARGARET,Autumn open studio poster draft is ready for review.,,0,
1788256899.000027,C-GEN,U-ETHAN,Coffee run for anyone at the collective this afternoon.,,0,
1788257036.000028,C-RANDOM,U-MIKA,Persimmons from the collective tree are ripe.,,0,
1788257173.000029,C-RANDOM,U-ETHAN,New trail east of Higashiyama is worth the run.,,0,
1788257310.000030,C-RANDOM,U-TOSHIO,"Toshio checked in on the kiln bricks last month, all sound.",,0,
1788257447.000031,C-RANDOM,U-DANIEL,Osaka is quiet this week.,,0,
1788257584.000032,C-GEN,U-MARGARET,Studio note logged.,,0,
1788257721.000033,C-GEN,U-MARGARET,Studio note logged.,,0,
1788257858.000034,C-GEN,U-MARGARET,Studio note logged.,,0,
1788257995.000035,C-GEN,U-MARGARET,Studio note logged.,,0,
1788258132.000036,C-GEN,U-MARGARET,Studio note logged.,,0,
1788258269.000037,C-GEN,U-MARGARET,Studio note logged.,,0,
1788258406.000038,C-GEN,U-MARGARET,Studio note logged.,,0,
1788258543.000039,C-GEN,U-MARGARET,Studio note logged.,,0,
1788258680.000040,C-GEN,U-MARGARET,Studio note logged.,,0,
1788258817.000041,C-GEN,U-MARGARET,Studio note logged.,,0,
1788258954.000042,C-GEN,U-MARGARET,Studio note logged.,,0,
1788259091.000043,C-GEN,U-MARGARET,Studio note logged.,,0,
1788259228.000044,C-GEN,U-MARGARET,Studio note logged.,,0,
1788259365.000045,C-GEN,U-MARGARET,Studio note logged.,,0,
1788259502.000046,C-GEN,U-MARGARET,Studio note logged.,,0,
1788259639.000047,C-GEN,U-MARGARET,Studio note logged.,,0,
1788259776.000048,C-GEN,U-MARGARET,Studio note logged.,,0,
1788259913.000049,C-GEN,U-MARGARET,Studio note logged.,,0,
1788260050.000050,C-GEN,U-MARGARET,Studio note logged.,,0,
1788260187.000051,C-GEN,U-MARGARET,Studio note logged.,,0,
1788260324.000052,C-GEN,U-MARGARET,Studio note logged.,,0,
1788260461.000053,C-GEN,U-MARGARET,Studio note logged.,,0,
1788260598.000054,C-GEN,U-MARGARET,Studio note logged.,,0,
1788260735.000055,C-GEN,U-MARGARET,Studio note logged.,,0,
1788260872.000056,C-GEN,U-MARGARET,Studio note logged.,,0,
1788261009.000057,C-GEN,U-MARGARET,Studio note logged.,,0,
1788261146.000058,C-GEN,U-MARGARET,Studio note logged.,,0,
1788261283.000059,C-GEN,U-MARGARET,Studio note logged.,,0,
1788261420.000060,C-GEN,U-MARGARET,Studio note logged.,,0,
