tableId,id,name,type
tbl-commit,fld-item,Item,singleLineText
tbl-commit,fld-cat,Category,singleSelect
tbl-commit,fld-status,Status,singleSelect
tbl-commit,fld-committed,Committed,number
tbl-commit,fld-delivered,Delivered,number
tbl-partner,fld-pitem,Partner,singleLineText
tbl-partner,fld-pstatus,Status,singleSelect
tbl-partner,fld-pref,PartnershipRef,singleLineText
tbl-commit,fld-ext-8,Attribute 8,number
tbl-partner,fld-ext-9,Attribute 9,singleLineText
tbl-commit,fld-ext-10,Attribute 10,number
tbl-partner,fld-ext-11,Attribute 11,singleSelect
tbl-partner,fld-ext-12,Attribute 12,number
tbl-commit,fld-ext-13,Attribute 13,number
tbl-partner,fld-ext-14,Attribute 14,number
tbl-partner,fld-ext-15,Attribute 15,checkbox
tbl-partner,fld-ext-16,Attribute 16,checkbox
tbl-commit,fld-ext-17,Attribute 17,singleLineText
tbl-commit,fld-ext-18,Attribute 18,checkbox
tbl-partner,fld-ext-19,Attribute 19,singleLineText
tbl-partner,fld-ext-20,Attribute 20,singleLineText
tbl-commit,fld-ext-21,Attribute 21,number
tbl-partner,fld-ext-22,Attribute 22,singleSelect
tbl-partner,fld-ext-23,Attribute 23,singleLineText
tbl-commit,fld-ext-24,Attribute 24,singleSelect
tbl-partner,fld-ext-25,Attribute 25,number
tbl-commit,fld-ext-26,Attribute 26,singleLineText
tbl-commit,fld-ext-27,Attribute 27,checkbox
tbl-partner,fld-ext-28,Attribute 28,singleLineText
tbl-partner,fld-ext-29,Attribute 29,singleSelect
tbl-partner,fld-ext-30,Attribute 30,number
tbl-commit,fld-ext-31,Attribute 31,singleSelect
tbl-commit,fld-ext-32,Attribute 32,checkbox
tbl-commit,fld-ext-33,Attribute 33,singleSelect
tbl-commit,fld-ext-34,Attribute 34,number
tbl-commit,fld-ext-35,Attribute 35,number
tbl-commit,fld-ext-36,Attribute 36,singleSelect
tbl-partner,fld-ext-37,Attribute 37,singleLineText
tbl-commit,fld-ext-38,Attribute 38,number
tbl-partner,fld-ext-39,Attribute 39,singleLineText
tbl-commit,fld-ext-40,Attribute 40,checkbox
tbl-partner,fld-ext-41,Attribute 41,singleLineText
tbl-partner,fld-ext-42,Attribute 42,singleLineText
tbl-partner,fld-ext-43,Attribute 43,singleSelect
tbl-partner,fld-ext-44,Attribute 44,singleSelect
tbl-partner,fld-ext-45,Attribute 45,checkbox
tbl-commit,fld-ext-46,Attribute 46,checkbox
tbl-partner,fld-ext-47,Attribute 47,number
tbl-partner,fld-ext-48,Attribute 48,checkbox
tbl-partner,fld-ext-49,Attribute 49,number
tbl-commit,fld-ext-50,Attribute 50,singleSelect
tbl-partner,fld-ext-51,Attribute 51,number
tbl-partner,fld-ext-52,Attribute 52,singleLineText
tbl-partner,fld-ext-53,Attribute 53,singleLineText
tbl-commit,fld-ext-54,Attribute 54,number
tbl-commit,fld-ext-55,Attribute 55,number
tbl-commit,fld-ext-56,Attribute 56,singleSelect
tbl-partner,fld-ext-57,Attribute 57,number
tbl-commit,fld-ext-58,Attribute 58,singleSelect
tbl-commit,fld-ext-59,Attribute 59,number
tbl-partner,fld-ext-60,Attribute 60,singleLineText
tbl-commit,fld-ext-61,Attribute 61,number
tbl-partner,fld-ext-62,Attribute 62,singleSelect
tbl-commit,fld-ext-63,Attribute 63,singleSelect
tbl-partner,fld-ext-64,Attribute 64,number
tbl-commit,fld-ext-65,Attribute 65,singleLineText
tbl-commit,fld-ext-66,Attribute 66,singleSelect
tbl-partner,fld-ext-67,Attribute 67,checkbox
tbl-commit,fld-ext-68,Attribute 68,singleLineText
tbl-commit,fld-ext-69,Attribute 69,singleLineText
tbl-partner,fld-ext-70,Attribute 70,singleSelect
tbl-commit,fld-ext-71,Attribute 71,singleLineText
tbl-partner,fld-ext-72,Attribute 72,singleSelect
tbl-commit,fld-ext-73,Attribute 73,singleLineText
tbl-partner,fld-ext-74,Attribute 74,singleLineText
tbl-partner,fld-ext-75,Attribute 75,singleSelect
tbl-commit,fld-ext-76,Attribute 76,checkbox
tbl-commit,fld-ext-77,Attribute 77,singleLineText
tbl-commit,fld-ext-78,Attribute 78,checkbox
tbl-commit,fld-ext-79,Attribute 79,number
tbl-commit,fld-ext-80,Attribute 80,singleSelect
tbl-partner,fld-ext-81,Attribute 81,checkbox
tbl-commit,fld-ext-82,Attribute 82,singleLineText
tbl-commit,fld-ext-83,Attribute 83,singleLineText
tbl-commit,fld-ext-84,Attribute 84,singleLineText
tbl-commit,fld-ext-85,Attribute 85,checkbox
tbl-commit,fld-ext-86,Attribute 86,number
tbl-partner,fld-ext-87,Attribute 87,number
tbl-partner,fld-ext-88,Attribute 88,singleSelect
tbl-partner,fld-ext-89,Attribute 89,singleLineText
tbl-partner,fld-ext-90,Attribute 90,singleSelect
tbl-commit,fld-ext-91,Attribute 91,number
tbl-partner,fld-ext-92,Attribute 92,singleLineText
tbl-commit,fld-ext-93,Attribute 93,singleSelect
tbl-partner,fld-ext-94,Attribute 94,checkbox
tbl-partner,fld-ext-95,Attribute 95,checkbox
tbl-commit,fld-ext-96,Attribute 96,number
tbl-partner,fld-ext-97,Attribute 97,number
tbl-partner,fld-ext-98,Attribute 98,singleLineText
tbl-commit,fld-ext-99,Attribute 99,checkbox
tbl-partner,fld-ext-100,Attribute 100,singleSelect
tbl-commit,fld-ext-101,Attribute 101,singleLineText
tbl-partner,fld-ext-102,Attribute 102,singleLineText
tbl-partner,fld-ext-103,Attribute 103,checkbox
tbl-commit,fld-ext-104,Attribute 104,singleSelect
