month,term,impressions,clicks,ctr,favorites,orders,notes
2025-01,brooklyn kitchen print,1838,66,3.59%,12,2,Bedford morning light pulls consistently
2025-01,food photography print,1281,41,3.20%,8,1,Lower CTR; long-tail buyers
2025-01,minimalist food art,3488,132,3.78%,24,3,Top performer for Jan; matches Pinterest traffic
2025-02,brooklyn kitchen print,875,57,6.51%,11,2,Valentine's bump driven by Etsy ad spend $40
2025-02,food photography print,2453,89,3.63%,15,3,Stable
2025-02,minimalist food art,1242,52,4.19%,9,1,Cooled vs Jan
2025-03,coffee print,1094,88,8.04%,18,4,Spring lift; coffee category rotates in
2025-03,brooklyn kitchen print,3601,192,5.33%,32,5,Best month of the quarter
2025-03,food photography print,963,39,4.05%,7,1,Long-tail
2025-04,coffee print,829,54,6.51%,12,2,Tapering
2025-04,food photography print,2477,80,3.23%,18,3,Steady
2025-04,minimalist food art,1117,40,3.58%,9,1,Cool spring
2025-05,coffee print,4234,122,2.88%,28,4,Mother's Day spike; ad spend $60
2025-05,brooklyn kitchen print,2212,92,4.16%,19,3,Solid
2025-05,minimalist food art,1411,75,5.32%,14,2,Inbound from a Domino feature
2025-06,coffee print,2860,98,3.43%,21,3,Summer slump starts
2025-06,brooklyn kitchen print,1843,80,4.34%,16,2,Steady
2025-06,greenmarket print,1896,57,3.01%,11,1,New SKU listing; Bedford farmers' market
2025-07,coffee print,1281,49,3.82%,10,1,July soft as expected
2025-07,brooklyn kitchen print,2332,79,3.39%,16,2,Stable
2025-07,greenmarket print,1463,53,3.62%,12,2,Picking up
2025-08,brooklyn kitchen print,595,42,7.06%,8,1,Quiet
2025-08,coffee print,1313,44,3.35%,9,1,Off-season
2025-08,minimalist food art,860,28,3.26%,7,1,Off-season
2025-09,brooklyn kitchen print,3995,142,3.55%,28,4,Fall ramp begins; gift-season impressions climbing
2025-09,late autumn print,339,24,7.08%,9,2,Brand new SKU, soft launch
2025-09,morning bedford print,907,35,3.86%,12,2,New, paired with Reels promo
2025-10,brooklyn kitchen print,4858,170,3.50%,34,6,Strong Etsy ad spend $80
2025-10,late autumn print,1577,68,4.31%,18,3,SKU finding its audience
2025-10,greenmarket print,2107,72,3.42%,17,3,Holiday gift queries
2025-11,brooklyn kitchen print,6488,238,3.67%,44,9,Black Friday/Cyber lift
2025-11,late autumn print,2841,103,3.63%,22,4,Strong
2025-11,morning bedford print,3199,114,3.56%,24,5,Strong
2025-11,late summer print,1207,40,3.31%,12,2,Late-summer SKU; lukewarm seasonally
2025-12,brooklyn kitchen print,5012,184,3.67%,38,7,Holiday shoulder
2025-12,morning bedford print,2877,103,3.58%,21,4,Steady
2025-12,greenmarket print,1809,68,3.76%,16,3,Steady
