date,followers,delta,post_count,top_post_likes,top_post_type,notes
2025-01-04,38420,+38,2,612,reel,New Year Bedford morning carousel
2025-01-18,38510,+90,3,887,reel,Lotus Flow Studio collaboration reel; first viral lift of year
2025-02-02,38622,+112,4,734,carousel,Tangerine winter editorial behind-the-scenes
2025-02-18,38740,+118,3,621,carousel,Estrela bacalhau tease; Ana reposted to restaurant story
2025-03-05,38860,+120,4,945,reel,Bedford morning light study reel; saved 2.1k times
2025-03-23,38995,+135,4,812,carousel,Cookbook progress tease (Salt+Press allowed)
2025-04-06,39140,+145,3,701,carousel,Greenmarket rooftop shoot
2025-04-27,39305,+165,5,1180,reel,Brooklyn Grange feature; got a Domino DM
2025-05-08,39470,+165,4,892,carousel,Profoto B10X test setup; gear-curious audience
2025-05-22,39620,+150,3,748,carousel,Estrela seasonal menu, expedited turnaround highlight
2025-06-08,39795,+175,4,1040,reel,Saul Leiter mood board; cross-posted to Threads
2025-06-25,39950,+155,3,694,carousel,Oatly retainer launch post (Sophie reposted)
2025-07-07,40110,+160,4,915,carousel,Oatly hero plate 1 reveal
2025-07-21,40280,+170,4,820,carousel,Oatly hero plate 2 reveal
2025-08-04,40445,+165,3,733,reel,Salt+Press cookbook M2 milestone tease
2025-08-19,40610,+165,4,902,carousel,Hatch Beverages cold-brew pitch shots
2025-08-31,40750,+140,3,654,carousel,Late summer SKU drop tease
2025-09-12,40920,+170,4,1110,reel,Late autumn light study reel; very strong saves
2025-09-28,41085,+165,3,780,carousel,Bedford morning print SKU launch
2025-10-10,41250,+165,4,945,carousel,Tangerine fall editorial behind-the-scenes
2025-10-26,41435,+185,5,1320,reel,Estrela night shoot reel; biggest engagement of Q4
2025-11-08,41620,+185,4,1015,carousel,Salt+Press cookbook progress; Almeida reposted
2025-11-24,41815,+195,4,1240,reel,Holiday shoulder content; Etsy SKU lift
2025-12-06,42010,+195,3,932,carousel,Greenmarket print holiday push
2025-12-20,42210,+200,4,1100,carousel,Year-end summary; biggest reach of December
2025-12-28,42355,+145,2,684,carousel,Family Flushing dim sum (Linda + Mateo + parents); muted to keep personal/professional separation
