template_id,name,category,owner,created,last_used,notes
tpl_001,Shoot Prep  -  Editorial,shoot,Jesse,2023-04-12,2026-09-02,Standard editorial day; sections for client brief, shot list, lighting plan, crew + call times, gear pull, post-prod ETA
tpl_002,Shoot Prep  -  Cookbook,shoot,Jesse,2024-01-08,2026-11-14,Multi-day cookbook variant; recipe-keyed shot list; ties to Salt+Press production calendar
tpl_003,Shoot Prep  -  Restaurant,shoot,Jesse,2023-06-22,2026-12-04,Tighter version for Estrela-style nights; quick-turn delivery field
tpl_004,Client Brief Intake,client,Jesse,2023-03-10,2026-10-22,New-client kickoff; usage rights, deliverables, day rate, retoucher, expedite fee, payment terms
tpl_005,Estimate + Treatment,client,Jesse,2023-05-18,2026-09-30,Pitch-stage doc; cover image, treatment paragraph, deliverables, budget line items, terms
tpl_006,Invoice Memo,finance,Jesse,2023-02-01,2026-12-20,Stripe invoice memo template; references contract; client + project + day rate + expedite + retoucher itemized
tpl_007,Quarterly Tax Worksheet,finance,Jesse,2023-04-01,2026-09-13,Ravi-aligned; gross / commission netting / Q estimate / state + city split
tpl_008,Weekly Review,personal,Jesse,2023-01-05,2026-12-21,Sunday cadence; what shipped / what slipped / commitments / health / Mateo time / one Linda check-in
tpl_009,Daily Triage,personal,Jesse,2023-01-05,2026-12-22,5-bullet morning triage; one job task, one personal task, one Mateo task, dim sum / food log, mood
tpl_010,Cookbook Recipe Card,cookbook,Jesse,2024-02-04,2026-11-18,Single-recipe shoot card; references Estrela seasonal menu lineage if applicable
tpl_011,Q3 Quarterly Review,reviews,Jesse,2023-09-30,2026-09-29,Looks at YTD revenue against rolling band; flags overcommit; Tomas commission reconciliation reminder
tpl_012,Q4 Year-End Review,reviews,Jesse,2023-12-15,2025-12-30,Year close; new SKUs / lapsed clients / cookbook milestone position / Mateo holidays
tpl_013,Travel Day Prep,travel,Jesse,2023-07-11,2026-10-12,Lisbon / Tomas trip variant; gear pull, insurance rider, customs carnet check
tpl_014,Reunion / Family Event Prep,personal,Jesse,2024-05-01,2025-05-10,Prattfield reunion prep; family dim sum prep; gift list cross-ref
tpl_015,Mateo Birthday Brainstorm,personal,Jesse,2024-11-01,2026-11-30,Annual Dec 18 gift brainstorm; budget cap; family pool coordination; ask Linda Sun
tpl_016,Bedford Studio Maintenance,studio,Jesse,2024-02-20,2026-10-08,Quarterly cyc retouch / 220V breaker check / Profoto firmware / Backblaze quota review
tpl_017,Etsy Listing Refresh,storefront,Jesse,2024-06-04,2026-12-11,SKU rotation cadence; Q4 holiday push; keyword variants per print line
tpl_018,Newsletter Issue,marketing,Jesse,2024-09-15,2026-12-15,Studio newsletter; once / quarter; behind-the-scenes + new SKUs + booking window
tpl_019,Shoot Day Postmortem,shoot,Jesse,2023-08-08,2026-12-04,Same-day postmortem; what worked / what to change / client temperature / followups
tpl_020,Lapse Recovery Outreach,client,Jesse,2024-03-22,2026-11-06,Template for re-engaging dormant clients (Premix Brunch / 8x Catering / Hatch); kept warm without leading
tpl_021,Press / Feature Pitch,marketing,Jesse,2024-05-14,2026-09-21,Pitch to Cherry Bombe / Eater / Bon Appetit; project-keyed; one paragraph + 3 images
tpl_022,Tomas Sync Notes,reps,Jesse,2024-04-01,2026-12-19,Bi-weekly Tomas call notes; pipeline / commissions due / Lisbon trip planning
tpl_023,Ravi Sync Notes,finance,Jesse,2023-04-10,2026-12-15,Quarterly Ravi call notes; estimate / accruals / studio depreciation / i401(k)
tpl_024,Cookbook Milestone Tracker,cookbook,Jesse,2024-02-04,2026-12-22,M1 (advance) / M2 (delivery) / M3 (release) tracker; Rebecca Almeida + Salt+Press progress sync
tpl_025,Health / Doctor Visit Log,personal,Jesse,2023-04-04,2026-11-19,Dr Park annual; eye strain followup; dental cleaning; Mateo pediatric (Dr Lee)
tpl_026,Holiday Card List Builder,personal,Jesse,2024-10-15,2025-12-10,Annual Dec card list build; family + close friends + 6-8 client touchpoints
tpl_027,Lotus Flow Studio Session,personal,Jesse,2024-08-04,2026-12-21,Linda's yoga studio; once / week; muted from work calendar
tpl_028,Backblaze Integrity Check,studio,Jesse,2023-11-01,2026-12-08,Quarterly TSV review; mark drift; Salt+Press Q3 progress shoot integrity status
