shot_id	captured_at	session	dish_or_subject	rating	color_label	flag	notes
JPP_Q4_0001	2025-10-02T08:15:00Z	Bedford_Morning_Study	Late autumn cyc test	4	green	pick	Window light + cyc bounce; print SKU candidate
JPP_Q4_0002	2025-10-04T11:40:00Z	Tangerine_Fall_Editorial	Squash + sage hero	5	green	pick	Cover candidate; Priya approved
JPP_Q4_0003	2025-10-06T09:20:00Z	Tangerine_Fall_Editorial	Squash + sage alt angle	4	green	pick	Spread B
JPP_Q4_0004	2025-10-07T10:00:00Z	Tangerine_Fall_Editorial	Bread + butter still life	3	yellow	second_pass	Backup
JPP_Q4_0005	2025-10-08T11:30:00Z	Estrela_Oct_Menu	Bacalhau a bras Q4 reshoot	5	green	pick	Ana approved; expedited 48h
JPP_Q4_0006	2025-10-11T15:00:00Z	Estrela_Oct_Menu	Caldo verde wide	4	green	pick	Steam motion captured
JPP_Q4_0007	2025-10-12T16:00:00Z	Estrela_Oct_Menu	Polvo a lagareiro vertical	5	green	pick	Hero
JPP_Q4_0008	2025-10-14T14:00:00Z	Salt_Press_Cookbook_M2	Bacalhau com natas pulled	2	red	reject	Pulled per dairy-free segmentation
JPP_Q4_0009	2025-10-15T12:30:00Z	Salt_Press_Cookbook_M2	Pastéis de nata hero	5	green	pick	M2 milestone hero
JPP_Q4_0010	2025-10-22T13:00:00Z	Oatly_Retainer_Hero4	Oatly hero plate 4	5	green	pick	Sophie approved; no lactose framing on caption
JPP_Q4_0011	2025-10-27T11:15:00Z	Bedford_Morning_Study	Morning bedford print v3	5	green	pick	Print SKU finalized
JPP_Q4_0012	2025-11-02T10:45:00Z	Tangerine_Fall_Editorial	Persimmon + walnut	4	green	pick	Spread C
JPP_Q4_0013	2025-11-05T17:30:00Z	Estrela_Nov_Tasting	Sopa de pedra night	5	green	pick	Night shoot; biggest reel of Q4
JPP_Q4_0014	2025-11-06T09:00:00Z	Salt_Press_Cookbook_M2	Açorda alentejana	4	green	pick	Cookbook hero
JPP_Q4_0015	2025-11-10T12:00:00Z	Salt_Press_Cookbook_M2	Arroz de pato vertical	5	green	pick	Cookbook hero
JPP_Q4_0016	2025-11-15T11:30:00Z	Oatly_Retainer_Hero5	Oatly hero plate 5	4	green	pick	Sophie approved; minor color note
JPP_Q4_0017	2025-11-18T10:00:00Z	Print_Storefront_Refresh	Greenmarket print v2	5	green	pick	Etsy SKU refresh
JPP_Q4_0018	2025-11-22T14:00:00Z	Personal_Bedford_Sunday	Linda + Lotus Flow Studio	3	purple	second_pass	Personal; muted from work
JPP_Q4_0019	2025-11-23T16:15:00Z	Salt_Press_Cookbook_M2	Migas + pan-fry hero	4	green	pick	Cookbook
JPP_Q4_0020	2025-11-24T12:00:00Z	Hatch_Beverages_Pitch	Cold brew tasting still	3	yellow	second_pass	Hatch cold pitch; Tomas managing
JPP_Q4_0021	2025-12-03T10:00:00Z	Estrela_Dec_Holiday	Bacalhau Christmas plate	5	green	pick	Hero
JPP_Q4_0022	2025-12-07T14:30:00Z	Salt_Press_Cookbook_M2	Bolinhos hero	4	green	pick	Cookbook
JPP_Q4_0023	2025-12-11T11:00:00Z	Tangerine_Winter_Editorial	Cocoa + clementine	4	green	pick	Tangerine winter
JPP_Q4_0024	2025-12-12T16:00:00Z	Tangerine_Winter_Editorial	Cocoa + clementine alt	3	yellow	second_pass	Backup
JPP_Q4_0025	2025-12-14T13:00:00Z	Print_Storefront_Refresh	Late autumn print refresh	5	green	pick	Etsy SKU
JPP_Q4_0026	2025-12-22T11:00:00Z	Personal_Mateo_Birthday	Mateo + Linda + parents	5	purple	pick	Personal; no usage; for family album only
JPP_Q4_0027	2025-12-23T15:00:00Z	Estrela_Dec_Holiday	Pão alentejano + olive oil	4	green	pick	Hero
JPP_Q4_0028	2025-12-24T10:00:00Z	Personal_Family_Flushing	Christmas Eve dim sum	5	purple	pick	Personal; family dim sum; not for storefront
JPP_Q4_0029	2025-12-27T12:00:00Z	Personal_Bedford_Year_End	Bedford morning year-end	4	purple	pick	Print candidate; reviewing in Q1 2026
JPP_Q4_0030	2025-12-30T14:00:00Z	Salt_Press_Cookbook_M2	Pão alentejano cookbook crop	5	green	pick	Final M2 milestone shot
