file	collection	tag	rating	color_label	modified	notes
2024_01_06_tangerine_winter_001.cr3	Tangerine_Winter_2024	editorial	5	green	2024-01-08	Hero plate; cover candidate
2024_01_06_tangerine_winter_002.cr3	Tangerine_Winter_2024	editorial	4	green	2024-01-08	Alt angle
2024_01_06_tangerine_winter_003.cr3	Tangerine_Winter_2024	editorial	3	yellow	2024-01-08	Backup
2024_01_12_estrela_bacalhau_001.cr3	Estrela_Jan_2024	restaurant	5	green	2024-01-13	Bacalhau a bras hero
2024_01_12_estrela_bacalhau_002.cr3	Estrela_Jan_2024	restaurant	4	green	2024-01-13	Steam motion
2024_01_24_personal_bedford_morning.cr3	Bedford_Light_Study	personal	5	purple	2024-01-25	Cyc + window light test; later became print SKU
2024_02_03_studio_buildout_progress.cr3	Studio_Buildout_2024	studio	3	red	2024-02-04	Pre-cyc photo; for Ravi tax basis
2024_02_18_salt_press_almeida_intro.cr3	Cookbook_Year_One	cookbook	5	green	2024-02-19	First meeting with Rebecca Almeida
2024_02_27_tangerine_winter_revised.cr3	Tangerine_Winter_2024	editorial	5	green	2024-02-28	Revised for spread layout
2024_03_04_estrela_seasonal_menu_001.cr3	Estrela_Mar_2024	restaurant	5	green	2024-03-05	Seasonal menu launch
2024_03_18_personal_lotus_flow.cr3	Personal_2024	personal	4	purple	2024-03-19	Linda's studio test shots
2024_04_25_oatly_pitch_test_001.cr3	Oatly_Pitch_2024	pitch	4	yellow	2024-04-26	Pre-Tomas pitch tests; Sophie outreach not yet started
2024_05_15_estrela_easter_special.cr3	Estrela_May_2024	restaurant	4	green	2024-05-16	One-off Easter dish
2024_05_24_personal_bedford_dawn.cr3	Bedford_Light_Study	personal	5	purple	2024-05-25	Print candidate
2024_05_28_tangerine_summer_001.cr3	Tangerine_Summer_2024	editorial	4	green	2024-05-29	Summer issue
2024_06_05_salt_press_milestone1.cr3	Cookbook_Year_One	cookbook	3	yellow	2024-06-06	M1 advance shoot; loose
2024_06_23_tangerine_summer_revised.cr3	Tangerine_Summer_2024	editorial	5	green	2024-06-24	Revised after Priya feedback
2024_06_24_personal_brooklyn_grange.cr3	Personal_2024	personal	3	purple	2024-06-25	Rooftop visit
2024_07_14_estrela_summer_polvo.cr3	Estrela_Jul_2024	restaurant	5	green	2024-07-15	Polvo a lagareiro
2024_07_20_personal_bedford_evening.cr3	Bedford_Light_Study	personal	5	purple	2024-07-21	Golden hour cyc test
2024_07_20_salt_press_kitchen_session.cr3	Cookbook_Year_One	cookbook	4	green	2024-07-21	M1.5 kitchen scene
2024_08_16_oatly_cold_outreach_001.cr3	Oatly_Cold_Pitch_2024	pitch	4	yellow	2024-08-17	Tomas cold outreach started Oct; this is pre-pitch test
2024_09_03_estrela_fall_menu.cr3	Estrela_Sep_2024	restaurant	3	yellow	2024-09-04	Fall menu first pass
2024_09_27_tangerine_fall_001.cr3	Tangerine_Fall_2024	editorial	3	yellow	2024-09-28	Fall issue
2024_09_28_personal_greenmarket.cr3	Personal_2024	personal	5	purple	2024-09-29	Greenmarket print candidate
2024_10_04_hatch_cold_intro.cr3	Hatch_Cold_Pitch_2024	pitch	3	yellow	2024-10-05	Hatch Beverages cold introduction (Tomas)
2024_10_10_tangerine_fall_revised.cr3	Tangerine_Fall_2024	editorial	5	green	2024-10-11	Revised cover
2024_10_15_personal_late_autumn.cr3	Bedford_Light_Study	personal	5	purple	2024-10-16	Late autumn SKU candidate
2024_10_26_estrela_birthday_dinner.cr3	Estrela_Oct_2024	restaurant	5	green	2024-10-27	Family celebration; no usage rights
2024_11_04_personal_holiday_card_test.cr3	Personal_2024	personal	5	purple	2024-11-05	Holiday card lead image
2024_11_19_oatly_sophie_first_call.cr3	Oatly_Jan_2025	pitch	3	red	2024-11-20	First call notes shoot; archival
2024_12_04_salt_press_cookbook_progress.cr3	Cookbook_Year_One	cookbook	5	green	2024-12-05	M1 advance close; Rebecca approved
