tracking_number,status_code,status_description,carrier_code,service_name,ship_date,estimated_delivery,latest_event,latest_event_location,latest_event_time
8034-7521-4210,DL,Delivered,FDXE,FedEx International Priority,2026-09-28,2026-09-30,Delivered signed by Rodrigues,Manhica MZ,2026-09-30T18:00:00+02:00
8034-7521-4211,DL,Delivered,FDXE,FedEx International Priority,2026-09-28,2026-09-30,Delivered signed by Osei-Adu,Kintampo GH,2026-09-30T15:30:00+00:00
8034-7521-4212,DL,Delivered,FDXE,FedEx International Priority,2026-09-28,2026-10-01,Delivered signed by Wanjiku,Kilifi KE,2026-10-01T09:15:00+03:00
8034-7521-4213,IT,In transit,FDXE,FedEx 2Day,2026-10-13,2026-10-15,Departed Atlanta hub,Atlanta GA,2026-10-14T04:00:00-04:00
8034-1304-3288,IT,In Transit,FDXE,FEDEX_GROUND,2026-08-15,2026-09-05,In Transit,Atlanta GA,2026-08-16T10:00:00Z
8034-7904-5032,IT,In Transit,FDXE,FEDEX_STANDARD_OVERNIGHT,2026-06-15,2026-07-05,In Transit,Atlanta GA,2026-06-16T10:00:00Z
8034-9374-6319,DL,Delivered,FDXE,FEDEX_2_DAY,2026-03-15,2026-04-05,Delivered,Atlanta GA,2026-03-16T10:00:00Z
8034-3808-8239,DL,Delivered,FDXE,FEDEX_2_DAY,2026-07-15,2026-08-05,Delivered,Atlanta GA,2026-07-16T10:00:00Z
8034-3182-1366,IT,In Transit,FDXE,FEDEX_EXPRESS_SAVER,2026-08-15,2026-09-05,In Transit,Atlanta GA,2026-08-16T10:00:00Z
8034-8219-2700,DL,Delivered,FDXE,FEDEX_STANDARD_OVERNIGHT,2026-07-15,2026-08-05,Delivered,Atlanta GA,2026-07-16T10:00:00Z
8034-4156-1347,OD,Out for Delivery,FDXE,FEDEX_STANDARD_OVERNIGHT,2026-08-15,2026-09-05,Out for Delivery,Atlanta GA,2026-08-16T10:00:00Z
8034-8137-3087,DL,Delivered,FDXE,FEDEX_2_DAY,2026-04-15,2026-05-05,Delivered,Atlanta GA,2026-04-16T10:00:00Z
8034-1210-5963,PU,Picked Up,FDXE,FEDEX_INTERNATIONAL_PRIORITY,2026-01-15,2026-02-05,Picked Up,Atlanta GA,2026-01-16T10:00:00Z
8034-1307-1299,PU,Picked Up,FDXE,FEDEX_STANDARD_OVERNIGHT,2026-08-15,2026-09-05,Picked Up,Atlanta GA,2026-08-16T10:00:00Z
8034-9366-1127,OD,Out for Delivery,FDXE,FEDEX_INTERNATIONAL_ECONOMY,2026-06-15,2026-07-05,Out for Delivery,Atlanta GA,2026-06-16T10:00:00Z
8034-5541-6330,PU,Picked Up,FDXE,FEDEX_2_DAY,2026-01-15,2026-02-05,Picked Up,Atlanta GA,2026-01-16T10:00:00Z
8034-6708-5662,PU,Picked Up,FDXE,FEDEX_2_DAY,2026-04-15,2026-05-05,Picked Up,Atlanta GA,2026-04-16T10:00:00Z
8034-2234-1298,OD,Out for Delivery,FDXE,FEDEX_STANDARD_OVERNIGHT,2026-03-15,2026-04-05,Out for Delivery,Atlanta GA,2026-03-16T10:00:00Z
8034-6375-7485,OD,Out for Delivery,FDXE,FEDEX_2_DAY,2026-07-15,2026-08-05,Out for Delivery,Atlanta GA,2026-07-16T10:00:00Z
8034-5632-6976,IT,In Transit,FDXE,FEDEX_INTERNATIONAL_ECONOMY,2026-02-15,2026-03-05,In Transit,Atlanta GA,2026-02-16T10:00:00Z
8034-7284-7442,OD,Out for Delivery,FDXE,FEDEX_EXPRESS_SAVER,2026-06-15,2026-07-05,Out for Delivery,Atlanta GA,2026-06-16T10:00:00Z
8034-6789-4794,OD,Out for Delivery,FDXE,FEDEX_GROUND,2026-09-15,2026-10-05,Out for Delivery,Atlanta GA,2026-09-16T10:00:00Z
8034-4071-4669,PU,Picked Up,FDXE,FEDEX_EXPRESS_SAVER,2026-08-15,2026-09-05,Picked Up,Atlanta GA,2026-08-16T10:00:00Z
8034-5135-8747,IT,In Transit,FDXE,FEDEX_2_DAY,2026-03-15,2026-04-05,In Transit,Atlanta GA,2026-03-16T10:00:00Z
8034-5432-3190,PU,Picked Up,FDXE,FEDEX_INTERNATIONAL_ECONOMY,2026-06-15,2026-07-05,Picked Up,Atlanta GA,2026-06-16T10:00:00Z
8034-6535-8756,OD,Out for Delivery,FDXE,FEDEX_INTERNATIONAL_ECONOMY,2026-07-15,2026-08-05,Out for Delivery,Atlanta GA,2026-07-16T10:00:00Z
8034-9130-8182,OD,Out for Delivery,FDXE,FEDEX_EXPRESS_SAVER,2026-06-15,2026-07-05,Out for Delivery,Atlanta GA,2026-06-16T10:00:00Z
8034-1292-1746,DL,Delivered,FDXE,FEDEX_INTERNATIONAL_PRIORITY,2026-07-15,2026-08-05,Delivered,Atlanta GA,2026-07-16T10:00:00Z
8034-3349-8431,PU,Picked Up,FDXE,FEDEX_EXPRESS_SAVER,2026-02-15,2026-03-05,Picked Up,Atlanta GA,2026-02-16T10:00:00Z
8034-3668-7115,IT,In Transit,FDXE,FEDEX_INTERNATIONAL_ECONOMY,2026-06-15,2026-07-05,In Transit,Atlanta GA,2026-06-16T10:00:00Z
8034-6217-1469,OD,Out for Delivery,FDXE,FEDEX_INTERNATIONAL_ECONOMY,2026-09-15,2026-10-05,Out for Delivery,Atlanta GA,2026-09-16T10:00:00Z
8034-4256-7224,DL,Delivered,FDXE,FEDEX_STANDARD_OVERNIGHT,2026-05-15,2026-06-05,Delivered,Atlanta GA,2026-05-16T10:00:00Z
8034-2635-8071,DL,Delivered,FDXE,FEDEX_GROUND,2026-05-15,2026-06-05,Delivered,Atlanta GA,2026-05-16T10:00:00Z
