tracking_number,service_type,service_name,ship_date,origin_zip,dest_zip,weight_lb,currency,net_charge,label_url
8034-7521-4210,FEDEX_INTERNATIONAL_PRIORITY,FedEx International Priority,2026-09-28,30030,00-Mozambique,15,USD,428.20,https://fedex.example/labels/8034-7521-4210
8034-7521-4211,FEDEX_INTERNATIONAL_PRIORITY,FedEx International Priority,2026-09-28,30030,00-Ghana,15,USD,382.40,https://fedex.example/labels/8034-7521-4211
8034-7521-4212,FEDEX_INTERNATIONAL_PRIORITY,FedEx International Priority,2026-09-28,30030,00-Kenya,15,USD,412.80,https://fedex.example/labels/8034-7521-4212
8034-7521-4213,FEDEX_2_DAY,FedEx 2Day,2026-10-13,30030,20001,3,USD,42.80,https://fedex.example/labels/8034-7521-4213-DC-hotel-poster
8034-3569-2742,FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,2026-09-24,30030,20001,3,USD,25,https://fedex.example/labels/8034-3569-2742
8034-2902-2352,FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,2026-08-03,30030,98101,10,USD,60,https://fedex.example/labels/8034-2902-2352
8034-4314-7250,FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,2026-07-10,30030,30310,1,USD,15,https://fedex.example/labels/8034-4314-7250
8034-6339-2486,FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,2026-08-23,30030,94110,15,USD,85,https://fedex.example/labels/8034-6339-2486
8034-3008-4005,FEDEX_STANDARD_OVERNIGHT,FEDEX_STANDARD_OVERNIGHT,2026-03-05,30030,94110,5,USD,35,https://fedex.example/labels/8034-3008-4005
8034-3447-3698,FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,2026-04-13,30030,10001,1,USD,15,https://fedex.example/labels/8034-3447-3698
8034-3940-1449,FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,2026-06-18,30030,30330,15,USD,85,https://fedex.example/labels/8034-3940-1449
8034-8955-6787,FEDEX_GROUND,FEDEX_GROUND,2026-04-18,30030,94110,5,USD,35,https://fedex.example/labels/8034-8955-6787
8034-8314-6749,FEDEX_2_DAY,FEDEX_2_DAY,2026-01-14,30030,10001,1,USD,15,https://fedex.example/labels/8034-8314-6749
8034-9694-3313,FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,2026-01-22,30030,00-Nigeria,1,USD,170,https://fedex.example/labels/8034-9694-3313
8034-1371-7169,FEDEX_GROUND,FEDEX_GROUND,2026-08-17,30030,00-Nigeria,1,USD,170,https://fedex.example/labels/8034-1371-7169
8034-2813-4161,FEDEX_STANDARD_OVERNIGHT,FEDEX_STANDARD_OVERNIGHT,2026-04-15,30030,00-South Africa,10,USD,350,https://fedex.example/labels/8034-2813-4161
8034-5285-9649,FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,2026-06-19,30030,00-Kenya,3,USD,210,https://fedex.example/labels/8034-5285-9649
8034-8622-7425,FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,2026-06-13,30030,00-Ethiopia,3,USD,210,https://fedex.example/labels/8034-8622-7425
8034-9370-8761,FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,2026-03-04,30030,00-Mozambique,1,USD,170,https://fedex.example/labels/8034-9370-8761
8034-1436-3537,FEDEX_STANDARD_OVERNIGHT,FEDEX_STANDARD_OVERNIGHT,2026-04-24,30030,60601,15,USD,85,https://fedex.example/labels/8034-1436-3537
8034-7888-5452,FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,2026-07-02,30030,00-Mozambique,15,USD,450,https://fedex.example/labels/8034-7888-5452
8034-2235-7190,FEDEX_GROUND,FEDEX_GROUND,2026-09-25,30030,30322,15,USD,85,https://fedex.example/labels/8034-2235-7190
8034-2441-3333,FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,2026-03-13,30030,00-Ethiopia,5,USD,250,https://fedex.example/labels/8034-2441-3333
8034-7946-6203,FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,2026-02-04,30030,30330,1,USD,15,https://fedex.example/labels/8034-7946-6203
8034-6134-3544,FEDEX_2_DAY,FEDEX_2_DAY,2026-07-07,30030,30030,1,USD,15,https://fedex.example/labels/8034-6134-3544
8034-6536-7287,FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,2026-05-04,30030,30322,3,USD,25,https://fedex.example/labels/8034-6536-7287
8034-2171-6438,FEDEX_STANDARD_OVERNIGHT,FEDEX_STANDARD_OVERNIGHT,2026-05-06,30030,94110,15,USD,85,https://fedex.example/labels/8034-2171-6438
8034-1257-4991,FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,2026-08-23,30030,00-Uganda,15,USD,450,https://fedex.example/labels/8034-1257-4991
8034-4211-9601,FEDEX_STANDARD_OVERNIGHT,FEDEX_STANDARD_OVERNIGHT,2026-01-22,30030,00-Nigeria,15,USD,450,https://fedex.example/labels/8034-4211-9601
8034-2228-6871,FEDEX_2_DAY,FEDEX_2_DAY,2026-08-21,30030,30330,15,USD,85,https://fedex.example/labels/8034-2228-6871
8034-7928-2692,FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,2026-09-23,30030,00-Nigeria,15,USD,450,https://fedex.example/labels/8034-7928-2692
8034-2235-3313,FEDEX_GROUND,FEDEX_GROUND,2026-02-04,30030,30330,5,USD,35,https://fedex.example/labels/8034-2235-3313
8034-1558-2668,FEDEX_STANDARD_OVERNIGHT,FEDEX_STANDARD_OVERNIGHT,2026-05-02,30030,30310,10,USD,60,https://fedex.example/labels/8034-1558-2668
8034-1778-1915,FEDEX_2_DAY,FEDEX_2_DAY,2026-07-24,30030,00-South Africa,1,USD,170,https://fedex.example/labels/8034-1778-1915
8034-4918-8365,FEDEX_2_DAY,FEDEX_2_DAY,2026-05-15,30030,00-Ghana,1,USD,170,https://fedex.example/labels/8034-4918-8365
8034-7638-3426,FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,2026-07-02,30030,30030,15,USD,85,https://fedex.example/labels/8034-7638-3426
8034-5144-1560,FEDEX_2_DAY,FEDEX_2_DAY,2026-05-25,30030,94110,5,USD,35,https://fedex.example/labels/8034-5144-1560
8034-4097-1272,FEDEX_GROUND,FEDEX_GROUND,2026-09-20,30030,60601,3,USD,25,https://fedex.example/labels/8034-4097-1272
8034-2896-7816,FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,2026-09-05,30030,00-Uganda,1,USD,170,https://fedex.example/labels/8034-2896-7816
8034-2010-7868,FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,2026-09-14,30030,10001,1,USD,15,https://fedex.example/labels/8034-2010-7868
8034-3096-9960,FEDEX_2_DAY,FEDEX_2_DAY,2026-09-22,30030,98101,5,USD,35,https://fedex.example/labels/8034-3096-9960
8034-8511-8978,FEDEX_GROUND,FEDEX_GROUND,2026-08-16,30030,10001,3,USD,25,https://fedex.example/labels/8034-8511-8978
8034-4918-3016,FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,2026-03-06,30030,00-Nigeria,10,USD,350,https://fedex.example/labels/8034-4918-3016
8034-8585-3855,FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,2026-09-03,30030,75201,15,USD,85,https://fedex.example/labels/8034-8585-3855
8034-1941-8505,FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,2026-09-23,30030,98101,3,USD,25,https://fedex.example/labels/8034-1941-8505
8034-9590-6492,FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,2026-09-20,30030,75201,10,USD,60,https://fedex.example/labels/8034-9590-6492
8034-8943-5249,FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,2026-05-02,30030,75201,1,USD,15,https://fedex.example/labels/8034-8943-5249
8034-5491-5201,FEDEX_GROUND,FEDEX_GROUND,2026-03-02,30030,00-Ghana,10,USD,350,https://fedex.example/labels/8034-5491-5201
8034-1186-6939,FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,2026-08-09,30030,30030,10,USD,60,https://fedex.example/labels/8034-1186-6939
