service_type,service_name,origin_zip,dest_zip,weight_lb,currency,net_charge,transit_days,delivery_day
FEDEX_INTERNATIONAL_PRIORITY,FedEx International Priority,30030,00-Ghana,15,USD,382.40,3,Wednesday
FEDEX_INTERNATIONAL_PRIORITY,FedEx International Priority,30030,00-Kenya,15,USD,412.80,3,Wednesday
FEDEX_INTERNATIONAL_PRIORITY,FedEx International Priority,30030,00-Mozambique,15,USD,428.20,4,Thursday
FEDEX_INTERNATIONAL_PRIORITY,FedEx International Priority,30030,00-Burkina Faso,15,USD,442.10,4,Thursday
FEDEX_INTERNATIONAL_PRIORITY,FedEx International Priority,30030,00-Tanzania,15,USD,418.90,3,Wednesday
FEDEX_2_DAY,FedEx 2Day,30030,20001,3,USD,42.80,2,Wednesday
FEDEX_GROUND,FEDEX_GROUND,30030,75201,10,USD,60,3,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,94110,15,USD,85,1,Reference
FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,30030,00-Ethiopia,25,USD,650,4,Reference
FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,30030,60601,15,USD,85,2,Reference
FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,30030,00-South Africa,1,USD,170,3,Reference
FEDEX_2_DAY,FEDEX_2_DAY,30030,30322,25,USD,135,2,Reference
FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,30030,00-Burkina Faso,5,USD,250,3,Reference
FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,30030,30310,5,USD,35,3,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,98101,3,USD,25,1,Reference
FEDEX_STANDARD_OVERNIGHT,FEDEX_STANDARD_OVERNIGHT,30030,98101,1,USD,15,3,Reference
FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,30030,00-Nigeria,3,USD,210,5,Reference
FEDEX_STANDARD_OVERNIGHT,FEDEX_STANDARD_OVERNIGHT,30030,75201,5,USD,35,1,Reference
FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,30030,00-South Africa,3,USD,210,5,Reference
FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,30030,00-South Africa,10,USD,350,3,Reference
FEDEX_2_DAY,FEDEX_2_DAY,30030,00-Mozambique,25,USD,650,3,Reference
FEDEX_2_DAY,FEDEX_2_DAY,30030,00-Mozambique,15,USD,450,5,Reference
FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,30030,00-Ethiopia,25,USD,650,4,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,00-Tanzania,10,USD,350,3,Reference
FEDEX_STANDARD_OVERNIGHT,FEDEX_STANDARD_OVERNIGHT,30030,00-Tanzania,10,USD,350,3,Reference
FEDEX_2_DAY,FEDEX_2_DAY,30030,00-Mozambique,5,USD,250,4,Reference
FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,30030,00-Uganda,25,USD,650,4,Reference
FEDEX_GROUND,FEDEX_GROUND,30030,75201,1,USD,15,2,Reference
FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,30030,30322,25,USD,135,1,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,10001,5,USD,35,2,Reference
FEDEX_2_DAY,FEDEX_2_DAY,30030,30322,15,USD,85,1,Reference
FEDEX_STANDARD_OVERNIGHT,FEDEX_STANDARD_OVERNIGHT,30030,00-Kenya,10,USD,350,3,Reference
FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,30030,00-Burkina Faso,1,USD,170,3,Reference
FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,30030,30310,25,USD,135,3,Reference
FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,30030,98101,3,USD,25,2,Reference
FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,30030,75201,1,USD,15,3,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,30310,15,USD,85,2,Reference
FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,30030,10001,10,USD,60,1,Reference
FEDEX_STANDARD_OVERNIGHT,FEDEX_STANDARD_OVERNIGHT,30030,00-Nigeria,15,USD,450,4,Reference
FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,30030,33101,5,USD,35,3,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,33101,5,USD,35,2,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,00-South Africa,5,USD,250,3,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,00-Kenya,3,USD,210,3,Reference
FEDEX_STANDARD_OVERNIGHT,FEDEX_STANDARD_OVERNIGHT,30030,00-Burkina Faso,3,USD,210,4,Reference
FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,30030,00-South Africa,15,USD,450,5,Reference
FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,30030,33101,10,USD,60,3,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,33101,3,USD,25,1,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,30310,1,USD,15,1,Reference
FEDEX_2_DAY,FEDEX_2_DAY,30030,60601,5,USD,35,3,Reference
FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,30030,60601,1,USD,15,3,Reference
FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,30030,60601,5,USD,35,3,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,00-Burkina Faso,3,USD,210,5,Reference
FEDEX_GROUND,FEDEX_GROUND,30030,98101,5,USD,35,3,Reference
FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,30030,30030,15,USD,85,3,Reference
FEDEX_INTERNATIONAL_PRIORITY,FEDEX_INTERNATIONAL_PRIORITY,30030,33101,10,USD,60,1,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,30330,5,USD,35,3,Reference
FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,30030,98101,3,USD,25,3,Reference
FEDEX_STANDARD_OVERNIGHT,FEDEX_STANDARD_OVERNIGHT,30030,00-Mozambique,25,USD,650,3,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,75201,1,USD,15,3,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,33101,3,USD,25,1,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,00-Burkina Faso,1,USD,170,5,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,33101,5,USD,35,1,Reference
FEDEX_INTERNATIONAL_ECONOMY,FEDEX_INTERNATIONAL_ECONOMY,30030,00-Uganda,1,USD,170,4,Reference
FEDEX_EXPRESS_SAVER,FEDEX_EXPRESS_SAVER,30030,00-Mozambique,1,USD,170,5,Reference
