task	timeline	category	responsible
Order specialty protein (andouille, chicken, shrimp)	3 days before class	supplies	Jake
Review and confirm Calendly enrollment list	2 days before class	admin	Jake
Source fresh produce at DeKalb Farmers Market	1 day before class	produce	Jake
Check pantry staples (rice, oil, spices, butter, stock)	1 day before class	supplies	Jake
Print recipe cards for each enrolled student	1 day before class	materials	Jake
Set prep island layout and label student stations	morning of class	setup	Jake
Mise en place for instructor demo dish	2 hours before class	cooking	Jake
Test range burners and oven preheat to verify temp	1 hour before class	equipment	Jake
Send day-of reminder message to all enrolled students	morning of class	comms	Jake
Stage cutting boards, chef knives, and aprons per station	1 hour before class	setup	Jake
Prepare welcome snack and water station at island	30 min before class	hospitality	Jake
Take class photo at start for Instagram	start of class	marketing	Jake
