pair,time,open,high,low,close,vwap,volume,count
XXBTZUSD,1747008000,66980.20,67340.10,66810.00,67120.40,67050.80,142.41201000,3120
XXBTZUSD,1747011600,67120.40,67510.60,67010.20,67388.90,67280.10,98.55120000,2410
XXBTZUSD,1747015200,67388.90,67620.00,67210.40,67249.50,67410.20,110.20114000,2685
XETHZUSD,1747008000,3690.55,3742.10,3675.20,3712.40,3708.10,1842.21000000,1840
XETHZUSD,1747011600,3712.40,3760.00,3700.10,3735.60,3728.40,1620.10500000,1612
XETHZUSD,1747015200,3735.60,3780.40,3702.00,3712.10,3744.20,1710.41200000,1701
SOLUSD,1747008000,165.70,169.40,164.10,167.80,166.90,4120.18000000,920
SOLUSD,1747011600,167.80,171.20,166.50,168.36,168.10,3880.55000000,884
ADAUSD,1747008000,0.4455,0.4530,0.4420,0.4498,0.4480,420114.21000000,610
ADAUSD,1747011600,0.4498,0.4600,0.4470,0.4519,0.4540,388044.10000000,588
