Kiln maintenance log - shared gas reduction kiln
Higashiyama Craft Collective. Whoever does the work writes it down. Margaret and Mika do most of it.

Date	Who	Work done	Reason	Note
2024-03-20	Margaret	Checked back left corner, found a tired element	F-24-04 fired cool in that corner, cone 9 not down	Logged, ordered element
2024-04-10	Margaret + Mika	Replaced back left element	Cool corner	Better but not fully even yet
2024-11-15	Margaret	Full element check, swapped two more	F-24-11 still slightly cool back left	This fixed it, even since
2025-02-01	Mika	Cleaned burner ports, checked gas pressure	Routine before the busy spring	Pressure fine
2025-05-02	Margaret + collective	Anagama firebox repair, re-bricked two spots	Spring wood firing prep	Done before F-25-04
2025-09-05	Margaret	Replaced a cracked kiln shelf	Shelf cracked on cooling, glaze run pooled under a bowl	One shelf still cracked, on the order list
2026-01-15	Mika	Thermocouple check and recalibrate	Year start, readings drifting a touch	Within tolerance now
2026-03-01	Margaret	Damper and chimney clean	Routine before the spring run	Draw is good
2026-05-02	Margaret + collective	Anagama firebox check and clean	Prep for F-26-05, the big one	Front stack bricks sound

Open item: one cracked bisque shelf still to replace, see studio inventory. Order with the next clay run.
