id,name,domain,industry,city,state,numberofemployees,annualrevenue,createdate
hs-company-001,Nwosu Family Office,nwosufamilyoffice.com,Financial Services,Lagos,,15,,2024-04-10T09:00:00Z
hs-company-002,Balogun Distribution,balogundistribution.ng,Distribution,Abuja,,45,,2024-08-01T09:00:00Z
hs-company-003,BrauKon GmbH,braukon.de,Brewing Equipment,Seeon-Seebruck,,180,,2026-04-20T09:00:00Z
hs-company-004,CGET Equipment,cget-brewing.cn,Brewing Equipment,Jinan,,320,,2026-05-15T09:00:00Z
hs-company-005,Greenfield Academy,greenfieldacademy.ng,Education,Lagos,,,,2024-09-01T09:00:00Z
hs-company-006,Imperial College London,imperial.ac.uk,Higher Education,London,,,,2026-11-05T11:15:00Z
hs-company-007,BITS Pilani,bits-pilani.ac.in,Higher Education,Pilani,,,,2026-11-08T06:22:00Z
hs-company-008,Caltech,caltech.edu,Higher Education,Pasadena,,,,2026-11-06T18:30:00Z
hs-company-009,University of Waterloo,uwaterloo.ca,Higher Education,Waterloo,,,,2026-11-08T21:00:00Z
hs-company-010,Purdue University,purdue.edu,Higher Education,West Lafayette,,,,2026-11-14T22:00:00Z
hs-company-011,University of Lagos,unilag.edu.ng,Higher Education,Lagos,,,,2026-10-08T09:00:00Z
hs-company-012,IIT Madras,iitm.ac.in,Higher Education,Chennai,,,,2026-10-10T09:00:00Z
