date	temp_low_f	conditions	walked	route
2026-09-01	61	humid	yes	regular loop
2026-09-02	68	overcast	yes	half loop
2026-09-03	58	humid	no	half loop
2026-09-04	65	overcast	yes	regular loop
2026-09-05	65	clear	yes	extended
2026-09-06	63	partly cloudy	no	regular loop
2026-09-07	58	light drizzle	yes	regular loop
2026-09-08	56	clear	yes	regular loop
2026-09-09	61	partly cloudy	yes	regular loop
2026-09-10	61	light drizzle	no	extended
2026-09-11	65	partly cloudy	no	regular loop
2026-09-12	63	overcast	yes	extended
2026-09-13	70	clear	no	regular loop
2026-09-14	56	light drizzle	yes	extended
2026-09-15	68	clear	yes	half loop
2026-09-16	61	humid	no	regular loop
2026-09-17	68	light drizzle	yes	regular loop
2026-09-18	56	clear	yes	half loop
2026-09-19	59	humid	yes	extended
2026-09-20	62	humid	yes	extended
2026-09-21	62	clear	yes	regular loop
2026-09-22	58	clear	yes	regular loop
2026-09-23	56	clear	yes	regular loop
2026-09-24	59	clear	yes	extended
2026-09-25	61	overcast	yes	half loop
2026-09-26	70	overcast	yes	regular loop
2026-09-27	70	overcast	yes	regular loop
2026-09-28	64	light drizzle	yes	extended
2026-09-29	70	partly cloudy	no	half loop
2026-09-30	70	humid	no	extended
