week_of	branch	pr_or_mr_id	summary	author	status
2026-07-13	digitize/batch-1	!101	OCR retry pass on archival batch 1	digitization-vendor-bot	merged
2026-07-13	audio/normalize-pass-2	!102	Audio level normalization sweep, batch 2	digitization-vendor-bot	merged
2026-07-13	metadata/cleanup-3	!103	Dublin Core metadata cleanup batch 3	digitization-vendor-bot	merged
2026-07-13	backup/quota-4	!104	Backup quota check pass 4	digitization-vendor-bot	merged
2026-07-13	calibration/drift-5	!105	Scanner calibration drift check 5	digitization-vendor-bot	merged
2026-07-20	audio/normalize-pass-6	!106	Audio level normalization sweep, batch 6	digitization-vendor-bot	merged
2026-07-20	metadata/cleanup-7	!107	Dublin Core metadata cleanup batch 7	digitization-vendor-bot	merged
2026-07-20	backup/quota-8	!108	Backup quota check pass 8	digitization-vendor-bot	merged
2026-07-20	calibration/drift-9	!109	Scanner calibration drift check 9	digitization-vendor-bot	merged
2026-07-20	dependency/sync-10	!110	Dependency lock sync batch 10	digitization-vendor-bot	merged
2026-07-27	metadata/cleanup-11	!111	Dublin Core metadata cleanup batch 11	digitization-vendor-bot	merged
2026-07-27	backup/quota-12	!112	Backup quota check pass 12	digitization-vendor-bot	merged
2026-07-27	calibration/drift-13	!113	Scanner calibration drift check 13	digitization-vendor-bot	merged
2026-07-27	dependency/sync-14	!114	Dependency lock sync batch 14	digitization-vendor-bot	merged
2026-07-27	archive/checksum-15	!115	Archive checksum verification 15	digitization-vendor-bot	merged
2026-08-03	backup/quota-16	!116	Backup quota check pass 16	digitization-vendor-bot	merged
2026-08-03	calibration/drift-17	!117	Scanner calibration drift check 17	digitization-vendor-bot	merged
2026-08-03	dependency/sync-18	!118	Dependency lock sync batch 18	digitization-vendor-bot	merged
2026-08-03	archive/checksum-19	!119	Archive checksum verification 19	digitization-vendor-bot	merged
2026-08-03	rendering/preview-20	!120	Web rendering preview tweaks 20	digitization-vendor-bot	merged
2026-08-10	calibration/drift-21	!121	Scanner calibration drift check 21	digitization-vendor-bot	merged
2026-08-10	dependency/sync-22	!122	Dependency lock sync batch 22	digitization-vendor-bot	merged
2026-08-10	archive/checksum-23	!123	Archive checksum verification 23	digitization-vendor-bot	merged
2026-08-10	rendering/preview-24	!124	Web rendering preview tweaks 24	digitization-vendor-bot	merged
2026-08-10	digitize/batch-25	!125	OCR retry pass on archival batch 25	digitization-vendor-bot	merged
2026-08-17	dependency/sync-26	!126	Dependency lock sync batch 26	digitization-vendor-bot	merged
2026-08-17	archive/checksum-27	!127	Archive checksum verification 27	digitization-vendor-bot	merged
2026-08-17	rendering/preview-28	!128	Web rendering preview tweaks 28	digitization-vendor-bot	merged
2026-08-17	digitize/batch-29	!129	OCR retry pass on archival batch 29	digitization-vendor-bot	merged
2026-08-17	audio/normalize-pass-30	!130	Audio level normalization sweep, batch 30	digitization-vendor-bot	merged
2026-08-24	archive/checksum-31	!131	Archive checksum verification 31	digitization-vendor-bot	merged
2026-08-24	rendering/preview-32	!132	Web rendering preview tweaks 32	digitization-vendor-bot	merged
2026-08-24	digitize/batch-33	!133	OCR retry pass on archival batch 33	digitization-vendor-bot	merged
2026-08-24	audio/normalize-pass-34	!134	Audio level normalization sweep, batch 34	digitization-vendor-bot	merged
2026-08-24	metadata/cleanup-35	!135	Dublin Core metadata cleanup batch 35	digitization-vendor-bot	merged
2026-08-31	rendering/preview-36	!136	Web rendering preview tweaks 36	digitization-vendor-bot	merged
2026-08-31	digitize/batch-37	!137	OCR retry pass on archival batch 37	digitization-vendor-bot	merged
