date,daily_visitors,rolling_7_day_avg,rolling_30_day_avg,rolling_90_day_total
2026-07-01,1030,1030,1030,1030
2026-07-02,1035,1032,1032,2065
2026-07-03,1040,1035,1035,3105
2026-07-04,1365,1117,1117,4470
2026-07-05,1370,1168,1168,5840
2026-07-06,1056,1149,1149,6896
2026-07-07,1061,1136,1136,7957
2026-07-08,1066,1141,1127,9023
2026-07-09,1071,1147,1121,10094
2026-07-10,1076,1152,1117,11170
2026-07-11,1402,1157,1142,12572
2026-07-12,1407,1162,1164,13979
2026-07-13,1012,1156,1153,14991
2026-07-14,1017,1150,1143,16008
2026-07-15,842,1118,1123,16850
2026-07-16,848,1086,1106,17698
2026-07-17,853,1054,1091,18551
2026-07-18,1178,1022,1096,19729
2026-07-19,1183,990,1100,20912
2026-07-20,868,969,1089,21780
2026-07-21,934,958,1081,22714
2026-07-22,939,971,1075,23653
2026-07-23,944,985,1069,24597
2026-07-24,869,987,1061,25466
2026-07-25,1194,990,1066,26660
2026-07-26,1200,992,1071,27860
2026-07-27,885,995,1064,28745
2026-07-28,890,988,1058,29635
2026-07-29,1075,1008,1058,30710
2026-07-30,1080,1027,1059,31790
2026-07-31,1086,1058,1061,32876
2026-08-01,1411,1089,1074,34287
2026-08-02,1416,1120,1086,35703
2026-08-03,1101,1151,1077,36804
2026-08-04,1106,1182,1069,37910
2026-08-05,1032,1176,1068,38942
2026-08-06,1037,1169,1067,39979
2026-08-07,1042,1163,1066,41021
2026-08-08,1367,1157,1076,42388
2026-08-09,1372,1151,1086,43760
2026-08-10,1118,1153,1076,44878
2026-08-11,1123,1155,1067,46001
2026-08-12,948,1143,1065,46949
2026-08-13,953,1131,1063,47902
2026-08-14,958,1119,1067,48860
2026-08-15,1284,1108,1081,50144
2026-08-16,1209,1084,1093,51353
2026-08-17,894,1052,1083,52247
2026-08-18,899,1020,1074,53146
2026-08-19,904,1014,1075,54050
2026-08-20,910,1008,1074,54960
2026-08-21,915,1002,1074,55875
2026-08-22,1240,995,1083,57115
2026-08-23,1245,1001,1096,58360
2026-08-24,930,1006,1087,59290
2026-08-25,936,1011,1078,60226
2026-08-26,1121,1042,1086,61347
2026-08-27,1126,1073,1094,62473
2026-08-28,1051,1092,1093,63524
2026-08-29,1376,1112,1103,64900
2026-08-30,1442,1140,1115,66342
2026-08-31,1127,1168,1106,67469
2026-09-01,1132,1196,1096,68601
2026-09-02,1137,1198,1097,69738
2026-09-03,1142,1201,1099,70880
2026-09-04,1148,1214,1102,72028
2026-09-05,1473,1228,1117,73501
2026-09-06,1478,1233,1131,74979
2026-09-07,1163,1239,1125,76142
2026-09-08,1088,1232,1115,77230
2026-09-09,914,1200,1108,78144
2026-09-10,919,1169,1102,79063
2026-09-11,924,1137,1101,79987
2026-09-12,1249,1105,1111,81236
2026-09-13,1254,1073,1121,82490
2026-09-14,940,1041,1109,83430
2026-09-15,945,1020,1100,84375
2026-09-16,950,1025,1102,85325
2026-09-17,955,1031,1104,86280
2026-09-18,960,1036,1106,87240
2026-09-19,1266,1052,1118,88506
2026-09-20,1180,1026,1115,88751
2026-09-21,1195,1018,1125,88996
2026-09-22,1210,1056,1124,89241
2026-09-23,1225,1096,1123,89486
2026-09-24,1240,1138,1133,89731
2026-09-25,1255,1181,1144,89976
2026-09-26,1245,1221,1148,90221
2026-09-27,1230,1229,1152,90466
2026-09-28,1215,1231,1157,90711
2026-09-29,1200,1230,1151,90956
2026-09-30,1183,1224,1143,91200
