Id,Name,Description,Type,UnitPrice,IncomeAccountRef_value,IncomeAccountRef_name,Active,Taxable
1,Structural Review 0,Family/side-business service line,Service,102.30,1,Consulting Income,true,true
2,Materials 1,Family/side-business service line,Service,881.17,1,Consulting Income,true,false
3,Site Inspection 2,Family/side-business service line,Service,73.88,1,Consulting Income,true,false
4,Materials 3,Family/side-business service line,Service,332.04,1,Consulting Income,true,false
5,Structural Review 4,Family/side-business service line,Service,399.86,1,Consulting Income,true,false
6,Drafting Hours 5,Family/side-business service line,Service,717.14,1,Consulting Income,true,true
7,Structural Review 6,Family/side-business service line,Service,431.26,1,Consulting Income,true,false
8,Site Inspection 7,Family/side-business service line,Service,209.05,1,Consulting Income,true,false
9,Structural Review 8,Family/side-business service line,Service,249.28,1,Consulting Income,true,true
10,Permit Filing 9,Family/side-business service line,Service,516.84,1,Consulting Income,true,true
11,Load Calculation 10,Family/side-business service line,Service,592.77,1,Consulting Income,true,false
12,Site Inspection 11,Family/side-business service line,Service,872.35,1,Consulting Income,true,true
13,Load Calculation 12,Family/side-business service line,Service,178.26,1,Consulting Income,true,false
14,Structural Review 13,Family/side-business service line,Service,263.85,1,Consulting Income,true,false
15,Drafting Hours 14,Family/side-business service line,Service,737.83,1,Consulting Income,true,false
16,Drafting Hours 15,Family/side-business service line,Service,762.53,1,Consulting Income,true,false
17,Drafting Hours 16,Family/side-business service line,Service,173.10,1,Consulting Income,true,true
18,Structural Review 17,Family/side-business service line,Service,560.88,1,Consulting Income,true,false
19,Load Calculation 18,Family/side-business service line,Service,108.52,1,Consulting Income,true,true
20,Drafting Hours 19,Family/side-business service line,Service,52.12,1,Consulting Income,true,true
21,Materials 20,Family/side-business service line,Service,218.15,1,Consulting Income,true,true
22,Materials 21,Family/side-business service line,Service,690.59,1,Consulting Income,true,false
23,Load Calculation 22,Family/side-business service line,Service,794.44,1,Consulting Income,true,true
24,Permit Filing 23,Family/side-business service line,Service,835.58,1,Consulting Income,true,true
25,Structural Review 24,Family/side-business service line,Service,106.47,1,Consulting Income,true,true
26,Drafting Hours 25,Family/side-business service line,Service,595.26,1,Consulting Income,true,false
27,Drafting Hours 26,Family/side-business service line,Service,809.83,1,Consulting Income,true,true
28,Load Calculation 27,Family/side-business service line,Service,598.04,1,Consulting Income,true,false
29,Load Calculation 28,Family/side-business service line,Service,487.43,1,Consulting Income,true,true
30,Materials 29,Family/side-business service line,Service,817.25,1,Consulting Income,true,true
31,Permit Filing 30,Family/side-business service line,Service,420.06,1,Consulting Income,true,true
32,Drafting Hours 31,Family/side-business service line,Service,305.51,1,Consulting Income,true,false
33,Structural Review 32,Family/side-business service line,Service,465.51,1,Consulting Income,true,false
34,Load Calculation 33,Family/side-business service line,Service,387.73,1,Consulting Income,true,false
35,Load Calculation 34,Family/side-business service line,Service,565.61,1,Consulting Income,true,false
36,Load Calculation 35,Family/side-business service line,Service,158.36,1,Consulting Income,true,true
37,Materials 36,Family/side-business service line,Service,885.79,1,Consulting Income,true,true
38,Structural Review 37,Family/side-business service line,Service,475.69,1,Consulting Income,true,false
39,Structural Review 38,Family/side-business service line,Service,489.33,1,Consulting Income,true,true
40,Site Inspection 39,Family/side-business service line,Service,324.87,1,Consulting Income,true,true
41,Materials 40,Family/side-business service line,Service,157.02,1,Consulting Income,true,true
42,Drafting Hours 41,Family/side-business service line,Service,489.87,1,Consulting Income,true,false
43,Drafting Hours 42,Family/side-business service line,Service,471.22,1,Consulting Income,true,false
44,Load Calculation 43,Family/side-business service line,Service,69.00,1,Consulting Income,true,true
45,Drafting Hours 44,Family/side-business service line,Service,748.29,1,Consulting Income,true,false
46,Permit Filing 45,Family/side-business service line,Service,246.36,1,Consulting Income,true,false
47,Structural Review 46,Family/side-business service line,Service,192.96,1,Consulting Income,true,true
48,Load Calculation 47,Family/side-business service line,Service,864.82,1,Consulting Income,true,false
49,Site Inspection 48,Family/side-business service line,Service,68.10,1,Consulting Income,true,true
50,Drafting Hours 49,Family/side-business service line,Service,284.68,1,Consulting Income,true,true
