Item	Category	Spec	Vendor	Est Cost	Status
Used step van	Vehicle	2016 step van, 14ft box	Carolina Fleet Resale	26500.00	Quoted
Flat top griddle	Cooking	36in propane, 3 burner	Restaurant supply vendor	1150.00	Quoted
Trompo / vertical spit	Cooking	Gas, 3 burner al pastor	Specialty cooking equipment vendor	780.00	Researching
6 burner range	Cooking	Commercial NSF	Restaurant supply vendor	1400.00	Quoted
Reach-in refrigerator	Cold	2 door, NSF	Restaurant supply vendor	2200.00	Quoted
Sandwich prep table	Cold	48in refrigerated	Restaurant supply vendor	1300.00	Quoted
3 compartment sink	Plumbing	Stainless NSF	Restaurant supply vendor	650.00	Required by code
Hand wash sink	Plumbing	Wall mount	Restaurant supply vendor	180.00	Required by code
Fresh and grey water tanks	Plumbing	40 gal fresh, 50 gal grey	Tank supplier	420.00	Quoted
Propane system	Utility	Dual 40 lb tanks, regulator	Local gas supplier	650.00	Quoted
Generator	Utility	7000W inverter generator	Hardware store	4500.00	Researching
Fire suppression system	Safety	Ansul over griddle	Lowcountry Fire Systems	3200.00	Required by code
Ventilation hood	Safety	Type 1 with exhaust fan	Lowcountry Fire Systems	2600.00	Required by code
Wrap and graphics	Branding	Full vinyl wrap	Coastal Signs CHS	3500.00	Researching
POS system	Tech	Card terminal and stand	Card POS vendor	800.00	Planned
Smallwares package	Cooking	Pans, tongs, containers, knives	Restaurant supply warehouse	1500.00	Estimated
