name,language,category,status,body_text,header_text
family_reminder,en,UTILITY,approved,Reminder: {{1}},Family
appt_reminder_1,en_US,UTILITY,APPROVED,Reminder: your Delacroix appointment is upcoming.,Delaney Defense
appt_reminder_2,en_US,UTILITY,APPROVED,Reminder: your Boudreaux appointment is upcoming.,Delaney Defense
appt_reminder_3,en_US,UTILITY,APPROVED,Reminder: your Arceneaux appointment is upcoming.,Delaney Defense
appt_reminder_4,en_US,UTILITY,APPROVED,Reminder: your Fontaine appointment is upcoming.,Delaney Defense
appt_reminder_5,en_US,UTILITY,APPROVED,Reminder: your Guidry appointment is upcoming.,Delaney Defense
appt_reminder_6,en_US,UTILITY,APPROVED,Reminder: your Hebert appointment is upcoming.,Delaney Defense
appt_reminder_7,en_US,UTILITY,APPROVED,Reminder: your Landry appointment is upcoming.,Delaney Defense
appt_reminder_8,en_US,UTILITY,APPROVED,Reminder: your Maddox appointment is upcoming.,Delaney Defense
appt_reminder_9,en_US,UTILITY,APPROVED,Reminder: your Naquin appointment is upcoming.,Delaney Defense
appt_reminder_10,en_US,UTILITY,APPROVED,Reminder: your Ortega appointment is upcoming.,Delaney Defense
appt_reminder_11,en_US,UTILITY,APPROVED,Reminder: your Prejean appointment is upcoming.,Delaney Defense
appt_reminder_12,en_US,UTILITY,APPROVED,Reminder: your Robicheaux appointment is upcoming.,Delaney Defense
appt_reminder_13,en_US,UTILITY,APPROVED,Reminder: your Savoy appointment is upcoming.,Delaney Defense
