item_id,column_id,text,value
monday_column_values_1000,monday_column_values_1000,text_0,value_0
monday_column_values_1001,monday_column_values_1001,text_1,value_1
monday_column_values_1002,monday_column_values_1002,text_2,value_2
monday_column_values_1003,monday_column_values_1003,text_3,value_3
monday_column_values_1004,monday_column_values_1004,text_4,value_4
monday_column_values_1005,monday_column_values_1005,text_5,value_5
monday_column_values_1006,monday_column_values_1006,text_6,value_6
monday_column_values_1007,monday_column_values_1007,text_7,value_7
monday_column_values_1008,monday_column_values_1008,text_8,value_8
monday_column_values_1009,monday_column_values_1009,text_9,value_9
monday_column_values_1010,monday_column_values_1010,text_10,value_10
monday_column_values_1011,monday_column_values_1011,text_11,value_11
monday_column_values_1012,monday_column_values_1012,text_12,value_12
monday_column_values_1013,monday_column_values_1013,text_13,value_13
monday_column_values_1014,monday_column_values_1014,text_14,value_14
monday_column_values_1015,monday_column_values_1015,text_15,value_15
monday_column_values_1016,monday_column_values_1016,text_16,value_16
monday_column_values_1017,monday_column_values_1017,text_17,value_17
monday_column_values_1018,monday_column_values_1018,text_18,value_18
monday_column_values_1019,monday_column_values_1019,text_19,value_19
monday_column_values_1020,monday_column_values_1020,text_20,value_20
monday_column_values_1021,monday_column_values_1021,text_21,value_21
monday_column_values_1022,monday_column_values_1022,text_22,value_22
monday_column_values_1023,monday_column_values_1023,text_23,value_23
monday_column_values_1024,monday_column_values_1024,text_24,value_24
monday_column_values_1025,monday_column_values_1025,text_25,value_25
monday_column_values_1026,monday_column_values_1026,text_26,value_26
monday_column_values_1027,monday_column_values_1027,text_27,value_27
monday_column_values_1028,monday_column_values_1028,text_28,value_28
monday_column_values_1029,monday_column_values_1029,text_29,value_29
monday_column_values_1030,monday_column_values_1030,text_30,value_30
monday_column_values_1031,monday_column_values_1031,text_31,value_31
monday_column_values_1032,monday_column_values_1032,text_32,value_32
monday_column_values_1033,monday_column_values_1033,text_33,value_33
monday_column_values_1034,monday_column_values_1034,text_34,value_34
monday_column_values_1035,monday_column_values_1035,text_35,value_35
monday_column_values_1036,monday_column_values_1036,text_36,value_36
monday_column_values_1037,monday_column_values_1037,text_37,value_37
monday_column_values_1038,monday_column_values_1038,text_38,value_38
monday_column_values_1039,monday_column_values_1039,text_39,value_39
monday_column_values_1040,monday_column_values_1040,text_40,value_40
monday_column_values_1041,monday_column_values_1041,text_41,value_41
monday_column_values_1042,monday_column_values_1042,text_42,value_42
monday_column_values_1043,monday_column_values_1043,text_43,value_43
monday_column_values_1044,monday_column_values_1044,text_44,value_44
monday_column_values_1045,monday_column_values_1045,text_45,value_45
monday_column_values_1046,monday_column_values_1046,text_46,value_46
monday_column_values_1047,monday_column_values_1047,text_47,value_47
monday_column_values_1048,monday_column_values_1048,text_48,value_48
monday_column_values_1049,monday_column_values_1049,text_49,value_49
monday_column_values_1050,monday_column_values_1050,text_50,value_50
monday_column_values_1051,monday_column_values_1051,text_51,value_51
monday_column_values_1052,monday_column_values_1052,text_52,value_52
monday_column_values_1053,monday_column_values_1053,text_53,value_53
monday_column_values_1054,monday_column_values_1054,text_54,value_54
monday_column_values_1055,monday_column_values_1055,text_55,value_55
monday_column_values_1056,monday_column_values_1056,text_56,value_56
monday_column_values_1057,monday_column_values_1057,text_57,value_57
monday_column_values_1058,monday_column_values_1058,text_58,value_58
monday_column_values_1059,monday_column_values_1059,text_59,value_59
monday_column_values_1060,monday_column_values_1060,text_60,value_60
monday_column_values_1061,monday_column_values_1061,text_61,value_61
monday_column_values_1062,monday_column_values_1062,text_62,value_62
monday_column_values_1063,monday_column_values_1063,text_63,value_63
monday_column_values_1064,monday_column_values_1064,text_64,value_64
monday_column_values_1065,monday_column_values_1065,text_65,value_65
monday_column_values_1066,monday_column_values_1066,text_66,value_66
monday_column_values_1067,monday_column_values_1067,text_67,value_67
monday_column_values_1068,monday_column_values_1068,text_68,value_68
monday_column_values_1069,monday_column_values_1069,text_69,value_69
monday_column_values_1070,monday_column_values_1070,text_70,value_70
monday_column_values_1071,monday_column_values_1071,text_71,value_71
monday_column_values_1072,monday_column_values_1072,text_72,value_72
monday_column_values_1073,monday_column_values_1073,text_73,value_73
monday_column_values_1074,monday_column_values_1074,text_74,value_74
monday_column_values_1075,monday_column_values_1075,text_75,value_75
monday_column_values_1076,monday_column_values_1076,text_76,value_76
monday_column_values_1077,monday_column_values_1077,text_77,value_77
monday_column_values_1078,monday_column_values_1078,text_78,value_78
monday_column_values_1079,monday_column_values_1079,text_79,value_79
monday_column_values_1080,monday_column_values_1080,text_80,value_80
monday_column_values_1081,monday_column_values_1081,text_81,value_81
monday_column_values_1082,monday_column_values_1082,text_82,value_82
monday_column_values_1083,monday_column_values_1083,text_83,value_83
monday_column_values_1084,monday_column_values_1084,text_84,value_84
monday_column_values_1085,monday_column_values_1085,text_85,value_85
