board_id,workspace_id,name,description,state,board_kind
monday_boards_1000,monday_boards_1000,Monday item 0,description_0,open,board_kind_0
monday_boards_1001,monday_boards_1001,Monday item 1,description_1,open,board_kind_1
monday_boards_1002,monday_boards_1002,Monday item 2,description_2,open,board_kind_2
monday_boards_1003,monday_boards_1003,Monday item 3,description_3,active,board_kind_3
monday_boards_1004,monday_boards_1004,Monday item 4,description_4,open,board_kind_4
monday_boards_1005,monday_boards_1005,Monday item 5,description_5,active,board_kind_5
monday_boards_1006,monday_boards_1006,Monday item 6,description_6,closed,board_kind_6
monday_boards_1007,monday_boards_1007,Monday item 7,description_7,active,board_kind_7
monday_boards_1008,monday_boards_1008,Monday item 8,description_8,closed,board_kind_8
monday_boards_1009,monday_boards_1009,Monday item 9,description_9,active,board_kind_9
monday_boards_1010,monday_boards_1010,Monday item 10,description_10,open,board_kind_10
monday_boards_1011,monday_boards_1011,Monday item 11,description_11,done,board_kind_11
monday_boards_1012,monday_boards_1012,Monday item 12,description_12,closed,board_kind_12
monday_boards_1013,monday_boards_1013,Monday item 13,description_13,done,board_kind_13
monday_boards_1014,monday_boards_1014,Monday item 14,description_14,done,board_kind_14
monday_boards_1015,monday_boards_1015,Monday item 15,description_15,closed,board_kind_15
monday_boards_1016,monday_boards_1016,Monday item 16,description_16,open,board_kind_16
monday_boards_1017,monday_boards_1017,Monday item 17,description_17,active,board_kind_17
monday_boards_1018,monday_boards_1018,Monday item 18,description_18,open,board_kind_18
monday_boards_1019,monday_boards_1019,Monday item 19,description_19,active,board_kind_19
monday_boards_1020,monday_boards_1020,Monday item 20,description_20,open,board_kind_20
monday_boards_1021,monday_boards_1021,Monday item 21,description_21,done,board_kind_21
monday_boards_1022,monday_boards_1022,Monday item 22,description_22,done,board_kind_22
monday_boards_1023,monday_boards_1023,Monday item 23,description_23,done,board_kind_23
monday_boards_1024,monday_boards_1024,Monday item 24,description_24,open,board_kind_24
monday_boards_1025,monday_boards_1025,Monday item 25,description_25,active,board_kind_25
monday_boards_1026,monday_boards_1026,Monday item 26,description_26,done,board_kind_26
monday_boards_1027,monday_boards_1027,Monday item 27,description_27,open,board_kind_27
monday_boards_1028,monday_boards_1028,Monday item 28,description_28,done,board_kind_28
monday_boards_1029,monday_boards_1029,Monday item 29,description_29,closed,board_kind_29
monday_boards_1030,monday_boards_1030,Monday item 30,description_30,closed,board_kind_30
monday_boards_1031,monday_boards_1031,Monday item 31,description_31,closed,board_kind_31
monday_boards_1032,monday_boards_1032,Monday item 32,description_32,open,board_kind_32
monday_boards_1033,monday_boards_1033,Monday item 33,description_33,open,board_kind_33
monday_boards_1034,monday_boards_1034,Monday item 34,description_34,open,board_kind_34
monday_boards_1035,monday_boards_1035,Monday item 35,description_35,open,board_kind_35
monday_boards_1036,monday_boards_1036,Monday item 36,description_36,closed,board_kind_36
monday_boards_1037,monday_boards_1037,Monday item 37,description_37,active,board_kind_37
monday_boards_1038,monday_boards_1038,Monday item 38,description_38,done,board_kind_38
monday_boards_1039,monday_boards_1039,Monday item 39,description_39,open,board_kind_39
monday_boards_1040,monday_boards_1040,Monday item 40,description_40,done,board_kind_40
monday_boards_1041,monday_boards_1041,Monday item 41,description_41,closed,board_kind_41
monday_boards_1042,monday_boards_1042,Monday item 42,description_42,open,board_kind_42
monday_boards_1043,monday_boards_1043,Monday item 43,description_43,closed,board_kind_43
monday_boards_1044,monday_boards_1044,Monday item 44,description_44,active,board_kind_44
monday_boards_1045,monday_boards_1045,Monday item 45,description_45,closed,board_kind_45
monday_boards_1046,monday_boards_1046,Monday item 46,description_46,open,board_kind_46
monday_boards_1047,monday_boards_1047,Monday item 47,description_47,open,board_kind_47
monday_boards_1048,monday_boards_1048,Monday item 48,description_48,open,board_kind_48
monday_boards_1049,monday_boards_1049,Monday item 49,description_49,closed,board_kind_49
monday_boards_1050,monday_boards_1050,Monday item 50,description_50,active,board_kind_50
monday_boards_1051,monday_boards_1051,Monday item 51,description_51,active,board_kind_51
monday_boards_1052,monday_boards_1052,Monday item 52,description_52,closed,board_kind_52
monday_boards_1053,monday_boards_1053,Monday item 53,description_53,done,board_kind_53
monday_boards_1054,monday_boards_1054,Monday item 54,description_54,active,board_kind_54
monday_boards_1055,monday_boards_1055,Monday item 55,description_55,active,board_kind_55
monday_boards_1056,monday_boards_1056,Monday item 56,description_56,done,board_kind_56
monday_boards_1057,monday_boards_1057,Monday item 57,description_57,active,board_kind_57
monday_boards_1058,monday_boards_1058,Monday item 58,description_58,active,board_kind_58
monday_boards_1059,monday_boards_1059,Monday item 59,description_59,active,board_kind_59
monday_boards_1060,monday_boards_1060,Monday item 60,description_60,active,board_kind_60
monday_boards_1061,monday_boards_1061,Monday item 61,description_61,done,board_kind_61
monday_boards_1062,monday_boards_1062,Monday item 62,description_62,active,board_kind_62
monday_boards_1063,monday_boards_1063,Monday item 63,description_63,done,board_kind_63
monday_boards_1064,monday_boards_1064,Monday item 64,description_64,done,board_kind_64
monday_boards_1065,monday_boards_1065,Monday item 65,description_65,done,board_kind_65
monday_boards_1066,monday_boards_1066,Monday item 66,description_66,done,board_kind_66
monday_boards_1067,monday_boards_1067,Monday item 67,description_67,done,board_kind_67
monday_boards_1068,monday_boards_1068,Monday item 68,description_68,done,board_kind_68
monday_boards_1069,monday_boards_1069,Monday item 69,description_69,done,board_kind_69
monday_boards_1070,monday_boards_1070,Monday item 70,description_70,open,board_kind_70
monday_boards_1071,monday_boards_1071,Monday item 71,description_71,done,board_kind_71
monday_boards_1072,monday_boards_1072,Monday item 72,description_72,done,board_kind_72
monday_boards_1073,monday_boards_1073,Monday item 73,description_73,active,board_kind_73
monday_boards_1074,monday_boards_1074,Monday item 74,description_74,active,board_kind_74
