group_id,board_id,title,color,position
monday_groups_1000,monday_groups_1000,Monday item 0,color_0,position_0
monday_groups_1001,monday_groups_1001,Monday item 1,color_1,position_1
monday_groups_1002,monday_groups_1002,Monday item 2,color_2,position_2
monday_groups_1003,monday_groups_1003,Monday item 3,color_3,position_3
monday_groups_1004,monday_groups_1004,Monday item 4,color_4,position_4
monday_groups_1005,monday_groups_1005,Monday item 5,color_5,position_5
monday_groups_1006,monday_groups_1006,Monday item 6,color_6,position_6
monday_groups_1007,monday_groups_1007,Monday item 7,color_7,position_7
monday_groups_1008,monday_groups_1008,Monday item 8,color_8,position_8
monday_groups_1009,monday_groups_1009,Monday item 9,color_9,position_9
monday_groups_1010,monday_groups_1010,Monday item 10,color_10,position_10
monday_groups_1011,monday_groups_1011,Monday item 11,color_11,position_11
monday_groups_1012,monday_groups_1012,Monday item 12,color_12,position_12
monday_groups_1013,monday_groups_1013,Monday item 13,color_13,position_13
monday_groups_1014,monday_groups_1014,Monday item 14,color_14,position_14
monday_groups_1015,monday_groups_1015,Monday item 15,color_15,position_15
monday_groups_1016,monday_groups_1016,Monday item 16,color_16,position_16
monday_groups_1017,monday_groups_1017,Monday item 17,color_17,position_17
monday_groups_1018,monday_groups_1018,Monday item 18,color_18,position_18
monday_groups_1019,monday_groups_1019,Monday item 19,color_19,position_19
monday_groups_1020,monday_groups_1020,Monday item 20,color_20,position_20
monday_groups_1021,monday_groups_1021,Monday item 21,color_21,position_21
monday_groups_1022,monday_groups_1022,Monday item 22,color_22,position_22
monday_groups_1023,monday_groups_1023,Monday item 23,color_23,position_23
monday_groups_1024,monday_groups_1024,Monday item 24,color_24,position_24
monday_groups_1025,monday_groups_1025,Monday item 25,color_25,position_25
monday_groups_1026,monday_groups_1026,Monday item 26,color_26,position_26
monday_groups_1027,monday_groups_1027,Monday item 27,color_27,position_27
monday_groups_1028,monday_groups_1028,Monday item 28,color_28,position_28
monday_groups_1029,monday_groups_1029,Monday item 29,color_29,position_29
monday_groups_1030,monday_groups_1030,Monday item 30,color_30,position_30
monday_groups_1031,monday_groups_1031,Monday item 31,color_31,position_31
monday_groups_1032,monday_groups_1032,Monday item 32,color_32,position_32
monday_groups_1033,monday_groups_1033,Monday item 33,color_33,position_33
monday_groups_1034,monday_groups_1034,Monday item 34,color_34,position_34
monday_groups_1035,monday_groups_1035,Monday item 35,color_35,position_35
monday_groups_1036,monday_groups_1036,Monday item 36,color_36,position_36
monday_groups_1037,monday_groups_1037,Monday item 37,color_37,position_37
monday_groups_1038,monday_groups_1038,Monday item 38,color_38,position_38
monday_groups_1039,monday_groups_1039,Monday item 39,color_39,position_39
monday_groups_1040,monday_groups_1040,Monday item 40,color_40,position_40
monday_groups_1041,monday_groups_1041,Monday item 41,color_41,position_41
monday_groups_1042,monday_groups_1042,Monday item 42,color_42,position_42
monday_groups_1043,monday_groups_1043,Monday item 43,color_43,position_43
monday_groups_1044,monday_groups_1044,Monday item 44,color_44,position_44
monday_groups_1045,monday_groups_1045,Monday item 45,color_45,position_45
monday_groups_1046,monday_groups_1046,Monday item 46,color_46,position_46
monday_groups_1047,monday_groups_1047,Monday item 47,color_47,position_47
monday_groups_1048,monday_groups_1048,Monday item 48,color_48,position_48
monday_groups_1049,monday_groups_1049,Monday item 49,color_49,position_49
monday_groups_1050,monday_groups_1050,Monday item 50,color_50,position_50
monday_groups_1051,monday_groups_1051,Monday item 51,color_51,position_51
monday_groups_1052,monday_groups_1052,Monday item 52,color_52,position_52
monday_groups_1053,monday_groups_1053,Monday item 53,color_53,position_53
monday_groups_1054,monday_groups_1054,Monday item 54,color_54,position_54
monday_groups_1055,monday_groups_1055,Monday item 55,color_55,position_55
monday_groups_1056,monday_groups_1056,Monday item 56,color_56,position_56
monday_groups_1057,monday_groups_1057,Monday item 57,color_57,position_57
monday_groups_1058,monday_groups_1058,Monday item 58,color_58,position_58
monday_groups_1059,monday_groups_1059,Monday item 59,color_59,position_59
monday_groups_1060,monday_groups_1060,Monday item 60,color_60,position_60
monday_groups_1061,monday_groups_1061,Monday item 61,color_61,position_61
monday_groups_1062,monday_groups_1062,Monday item 62,color_62,position_62
monday_groups_1063,monday_groups_1063,Monday item 63,color_63,position_63
monday_groups_1064,monday_groups_1064,Monday item 64,color_64,position_64
monday_groups_1065,monday_groups_1065,Monday item 65,color_65,position_65
monday_groups_1066,monday_groups_1066,Monday item 66,color_66,position_66
monday_groups_1067,monday_groups_1067,Monday item 67,color_67,position_67
monday_groups_1068,monday_groups_1068,Monday item 68,color_68,position_68
monday_groups_1069,monday_groups_1069,Monday item 69,color_69,position_69
monday_groups_1070,monday_groups_1070,Monday item 70,color_70,position_70
monday_groups_1071,monday_groups_1071,Monday item 71,color_71,position_71
monday_groups_1072,monday_groups_1072,Monday item 72,color_72,position_72
monday_groups_1073,monday_groups_1073,Monday item 73,color_73,position_73
monday_groups_1074,monday_groups_1074,Monday item 74,color_74,position_74
monday_groups_1075,monday_groups_1075,Monday item 75,color_75,position_75
monday_groups_1076,monday_groups_1076,Monday item 76,color_76,position_76
monday_groups_1077,monday_groups_1077,Monday item 77,color_77,position_77
monday_groups_1078,monday_groups_1078,Monday item 78,color_78,position_78
monday_groups_1079,monday_groups_1079,Monday item 79,color_79,position_79
monday_groups_1080,monday_groups_1080,Monday item 80,color_80,position_80
monday_groups_1081,monday_groups_1081,Monday item 81,color_81,position_81
monday_groups_1082,monday_groups_1082,Monday item 82,color_82,position_82
monday_groups_1083,monday_groups_1083,Monday item 83,color_83,position_83
monday_groups_1084,monday_groups_1084,Monday item 84,color_84,position_84
monday_groups_1085,monday_groups_1085,Monday item 85,color_85,position_85
monday_groups_1086,monday_groups_1086,Monday item 86,color_86,position_86
monday_groups_1087,monday_groups_1087,Monday item 87,color_87,position_87
monday_groups_1088,monday_groups_1088,Monday item 88,color_88,position_88
monday_groups_1089,monday_groups_1089,Monday item 89,color_89,position_89
monday_groups_1090,monday_groups_1090,Monday item 90,color_90,position_90
monday_groups_1091,monday_groups_1091,Monday item 91,color_91,position_91
monday_groups_1092,monday_groups_1092,Monday item 92,color_92,position_92
monday_groups_1093,monday_groups_1093,Monday item 93,color_93,position_93
monday_groups_1094,monday_groups_1094,Monday item 94,color_94,position_94
monday_groups_1095,monday_groups_1095,Monday item 95,color_95,position_95
monday_groups_1096,monday_groups_1096,Monday item 96,color_96,position_96
monday_groups_1097,monday_groups_1097,Monday item 97,color_97,position_97
monday_groups_1098,monday_groups_1098,Monday item 98,color_98,position_98
monday_groups_1099,monday_groups_1099,Monday item 99,color_99,position_99
