media_id,impressions,reach,engagement,saves,shares,profile_visits,follows
ig_0000,3020,222,75,76,34,15,15
ig_0001,1396,396,91,85,17,10,11
ig_0002,730,302,334,58,20,9,15
ig_0003,4390,277,209,6,47,21,14
ig_0004,3852,772,42,60,10,16,17
ig_0005,3981,1396,142,92,20,15,1
ig_0006,253,681,350,37,13,9,3
ig_0007,3319,1178,313,45,40,15,6
ig_0008,2151,1525,437,39,36,22,0
ig_0009,2937,414,480,5,34,27,8
ig_0010,2714,97,62,76,17,3,16
ig_0011,3580,1982,291,24,41,24,10
ig_0012,3792,452,495,38,25,15,4
ig_0013,1289,1277,61,88,7,22,5
ig_0014,4538,1597,182,31,9,2,18
ig_0015,4659,1183,471,80,12,22,5
ig_0016,3541,1881,439,87,22,11,13
ig_0017,4416,698,402,57,41,27,7
ig_0018,3033,1700,244,15,41,18,5
ig_0019,213,1884,484,3,28,28,17
ig_0020,3042,1070,274,75,49,29,1
ig_0021,3562,630,431,9,5,0,16
ig_0022,2388,1016,75,87,15,13,7
ig_0023,564,471,87,62,11,22,3
ig_0024,4487,1075,407,30,46,5,14
ig_0025,2496,1991,420,82,22,23,5
ig_0026,3065,1909,57,41,49,16,3
ig_0027,3619,812,235,12,14,8,20
ig_0028,4611,339,323,20,9,24,10
ig_0029,2427,418,131,12,49,9,7
ig_0030,310,1447,178,73,14,6,9
ig_0031,2513,1768,100,20,3,1,19
ig_0032,1973,492,292,99,3,23,2
ig_0033,4584,668,488,26,43,28,17
ig_0034,781,78,467,42,3,24,6
ig_0035,1678,429,69,42,3,12,20
ig_0036,3638,928,500,21,24,16,5
ig_0037,3199,972,478,24,38,18,3
ig_0038,290,573,213,99,27,9,16
ig_0039,4678,291,492,69,2,26,5
ig_0040,4645,1472,356,0,30,20,5
ig_0041,3309,527,134,86,37,19,7
ig_0042,1419,112,135,100,27,2,20
ig_0043,4405,108,163,25,12,3,9
ig_0044,2805,1824,141,24,42,9,20
ig_0045,1567,327,118,16,24,13,5
ig_0046,2426,1894,165,39,35,30,14
ig_0047,2312,913,322,5,40,8,8
ig_0048,2654,1942,426,99,48,29,5
ig_0049,3270,1208,240,91,21,19,13
ig_0050,3304,856,142,10,11,1,15
ig_0051,4003,294,143,96,18,24,17
ig_0052,1172,1872,408,89,29,18,2
ig_0053,1884,153,173,54,47,16,14
ig_0054,1787,540,477,57,9,8,4
ig_0055,2363,328,44,14,50,4,16
ig_0056,408,1807,374,81,10,3,16
ig_0057,460,1253,383,11,26,21,11
ig_0058,2666,1483,376,75,6,29,16
ig_0059,949,1121,451,28,36,16,8
ig_0060,2116,189,315,5,21,11,10
ig_0061,919,1947,254,12,28,5,7
ig_0062,4116,1763,362,15,18,16,12
ig_0063,2968,1919,131,31,25,7,12
ig_0064,4072,1622,127,12,40,13,8
ig_0065,4314,677,484,89,14,26,13
ig_0066,1418,1912,415,27,12,1,10
ig_0067,2218,445,216,43,28,13,3
ig_0068,4869,466,130,5,49,19,12
ig_0069,4774,1463,391,78,48,9,9
ig_0070,1498,1733,257,46,17,30,11
ig_0071,2490,793,67,14,2,15,0
ig_0072,1555,967,37,2,22,30,17
ig_0073,3036,862,80,56,4,16,17
ig_0074,4451,1313,221,34,24,0,11
ig_0075,2533,940,322,86,37,6,6
ig_0076,1345,876,125,14,40,17,1
ig_0077,3014,54,247,71,1,25,4
ig_0078,285,910,224,82,46,20,16
ig_0079,3176,124,276,23,8,16,2
ig_0080,2553,1626,360,43,35,18,16
ig_0081,3871,1521,266,26,20,7,6
ig_0082,2561,333,423,64,15,24,4
ig_0083,4337,681,347,50,36,12,3
ig_0084,1475,993,348,1,42,3,7
ig_0085,363,1121,454,34,1,16,10
ig_0086,3645,1680,84,43,25,29,15
ig_0087,1778,1926,469,94,47,25,7
ig_0088,468,1017,135,67,18,16,12
ig_0089,2081,1602,182,16,21,28,0
ig_0090,2678,335,285,77,48,27,20
