Galerie Terre - Earth and Hand group show - M. Farmer selection
Paris. Opening Sat 17 Oct 2026. Ship by Fri 2 Oct. 8 pieces. Insured value in JPY.
Five potters in the show. Jean-Luc coordinating. My eight below, confirmed by email 20 Feb.

No.	Piece	Form	Glaze	H cm	W cm	Insured value JPY	Crate	Status
ET-1	Mountain vase, tall	Hand built vase	Wood ash natural	34	16	180000	A	Reserved from May anagama
ET-2	Mountain vase, low	Hand built vase	Ash celadon	21	22	120000	A	Reserved
ET-3	Tea bowl, pine ash	Wheel tea bowl	Wood ash natural	9	12	68000	B	Reserved
ET-4	Tea bowl, washed ash	Wheel tea bowl	Ash celadon	9	13	62000	B	Reserved
ET-5	Serving bowl, large	Wheel bowl	Mountain ash green	12	32	96000	B	Fired, ready
ET-6	Pouring jug	Wheel jug	Ash celadon	18	14	78000	C	Fired, ready
ET-7	Platter, oval	Hand built platter	Ash celadon	6	38	110000	C	From May anagama
ET-8	Lidded jar, small	Wheel jar	Tenmoku	16	14	84000	C	Fired, ready

Total insured value JPY						798000
Galerie Terre commission 50 percent. Shipping and insurance split per the agreement.
Worry: ET-1, ET-3, ET-7 all depend on the May anagama coming out well. No backup if the front stack fails.
