played_at	track	artist	playlist	ms_played
2026-01-04T07:05	Goodness of God	CeCe Winans	Sunday Morning	241000
2026-01-04T07:12	Total Praise	Richard Smallwood	Sunday Morning	305000
2026-01-05T22:48	As	Stevie Wonder	Reset	428000
2026-01-05T22:56	By Your Side	Sade	Reset	276000
2026-01-05T23:01	Wildflowers	Tom Petty	Reset	195000
2026-01-06T18:20	Dont Stop	Fleetwood Mac	Kitchen	189000
2026-01-06T18:24	Shake It Off	Taylor Swift	Kitchen	211000
2026-01-09T22:30	As	Stevie Wonder	Reset	428000
2026-01-09T22:38	Smooth Operator	Sade	Reset	258000
2026-01-11T08:02	His Eye Is on the Sparrow	Lauryn Hill	Sunday Morning	233000
2026-01-12T17:50	Learning to Fly	Tom Petty	Porch	241000
2026-01-15T19:10	Hello	Adele	Kitchen	295000
2026-01-15T19:16	Perfect	Ed Sheeran	Kitchen	263000
2026-01-18T16:40	Cherish the Day	Sade	Porch	312000
2026-01-19T22:20	As	Stevie Wonder	Reset	428000
2026-01-19T22:28	Square One	Tom Petty	Reset	231000
2026-01-22T18:05	Go Your Own Way	Fleetwood Mac	Kitchen	218000
2026-01-25T08:10	Take Me to the King	Tamela Mann	Sunday Morning	361000
2026-01-27T23:05	No Ordinary Love	Sade	Reset	428000
2026-01-27T23:13	As	Stevie Wonder	Reset	428000
2026-02-01T08:00	Goodness of God	CeCe Winans	Sunday Morning	241000
2026-02-08T17:30	Anti-Hero	Taylor Swift	Kitchen	201000
2026-02-14T19:00	Thinking Out Loud	Ed Sheeran	Kitchen	281000
2026-02-22T22:40	As	Stevie Wonder	Reset	428000
2026-11-02T07:08	Total Praise	Richard Smallwood	Sunday Morning	305000
2026-11-15T18:15	Dreams	Fleetwood Mac	Porch	257000
