id,broadcaster_id,broadcaster_name,creator_id,creator_name,game_id,title,view_count,duration,created_at,url
ClipAlpha01,40001,PixelPaladin,40004,TacticalTurtle,30003,Insane last-second parry,48200,28.5,2026-05-25T19:12:00Z,https://clips.example.com/ClipAlpha01
ClipBeta02,40003,SprintQueen,40006,CasualCartographer,30005,New world record by 0.3s,132000,15.0,2026-05-26T11:40:00Z,https://clips.example.com/ClipBeta02
ClipGamma03,40005,OrbitDev,40002,NightOwlCodes,30002,Live debugging a heisenbug,7600,42.0,2026-05-27T15:48:00Z,https://clips.example.com/ClipGamma03
ClipDelta04,40001,PixelPaladin,40003,SprintQueen,30003,Chat trolls the boss fight,21900,33.2,2026-05-24T20:05:00Z,https://clips.example.com/ClipDelta04
ClipEpsilon05,40002,NightOwlCodes,40005,OrbitDev,30002,Rust borrow checker wins again,3100,19.8,2026-05-23T22:30:00Z,https://clips.example.com/ClipEpsilon05
ClipAlpha02,40003,PixelPaladin,40005,OrbitDev,30005,Chat trolls the boss fight,18377,23.0,2025-06-26T09:24:50Z,https://clips.example.com/ClipAlpha01
ClipAlpha03,40003,PixelPaladin,40006,TacticalTurtle,30002,Insane last-second parry,9166,31.3,2025-04-08T14:58:40Z,https://clips.example.com/ClipAlpha01
ClipAlpha04,40001,NightOwlCodes,40003,SprintQueen,30005,Chat trolls the boss fight,40007,24.3,2025-08-02T18:34:17Z,https://clips.example.com/ClipEpsilon05
ClipAlpha05,40001,NightOwlCodes,40004,OrbitDev,30002,Live debugging a heisenbug,93898,16.5,2025-06-12T07:09:21Z,https://clips.example.com/ClipBeta02
ClipAlpha06,40003,SprintQueen,40003,NightOwlCodes,30002,Insane last-second parry,77998,37.8,2025-02-25T19:08:30Z,https://clips.example.com/ClipDelta04
ClipAlpha07,40005,SprintQueen,40006,TacticalTurtle,30003,New world record by 0.3s,10875,34.6,2026-10-18T18:20:54Z,https://clips.example.com/ClipBeta02
ClipAlpha08,40001,NightOwlCodes,40006,CasualCartographer,30005,Chat trolls the boss fight,96136,41.5,2025-07-12T16:46:11Z,https://clips.example.com/ClipEpsilon05
ClipAlpha09,40001,PixelPaladin,40005,SprintQueen,30003,New world record by 0.3s,62445,31.2,2026-03-20T15:48:31Z,https://clips.example.com/ClipDelta04
ClipAlpha10,40001,SprintQueen,40005,SprintQueen,30005,Live debugging a heisenbug,26913,24.8,2025-01-15T15:19:08Z,https://clips.example.com/ClipAlpha01
ClipAlpha11,40002,NightOwlCodes,40005,TacticalTurtle,30002,Insane last-second parry,26530,37.6,2025-02-11T07:39:07Z,https://clips.example.com/ClipAlpha01
ClipAlpha12,40001,NightOwlCodes,40004,TacticalTurtle,30002,Chat trolls the boss fight,30937,34.2,2026-04-08T17:28:41Z,https://clips.example.com/ClipGamma03
ClipAlpha13,40003,NightOwlCodes,40003,CasualCartographer,30002,Chat trolls the boss fight,50309,18.5,2026-04-25T10:25:28Z,https://clips.example.com/ClipDelta04
ClipAlpha14,40005,OrbitDev,40003,CasualCartographer,30002,Rust borrow checker wins again,58152,18.7,2025-10-31T14:32:47Z,https://clips.example.com/ClipDelta04
ClipAlpha15,40005,SprintQueen,40004,OrbitDev,30002,New world record by 0.3s,12653,32.4,2024-09-23T20:05:35Z,https://clips.example.com/ClipEpsilon05
ClipAlpha16,40001,OrbitDev,40002,SprintQueen,30003,Insane last-second parry,9219,25.6,2025-05-31T12:22:36Z,https://clips.example.com/ClipDelta04
ClipAlpha17,40001,SprintQueen,40006,NightOwlCodes,30005,Chat trolls the boss fight,115794,38.0,2026-11-07T11:02:11Z,https://clips.example.com/ClipAlpha01
ClipAlpha18,40001,NightOwlCodes,40006,SprintQueen,30003,Rust borrow checker wins again,7458,22.4,2025-08-31T09:51:07Z,https://clips.example.com/ClipAlpha01
ClipAlpha19,40001,SprintQueen,40006,CasualCartographer,30002,Rust borrow checker wins again,53072,25.6,2026-03-07T08:58:58Z,https://clips.example.com/ClipDelta04
ClipAlpha20,40002,OrbitDev,40004,OrbitDev,30002,New world record by 0.3s,96450,36.6,2025-01-29T15:06:31Z,https://clips.example.com/ClipGamma03
ClipAlpha21,40001,NightOwlCodes,40003,NightOwlCodes,30005,Chat trolls the boss fight,22222,29.5,2025-04-14T10:01:45Z,https://clips.example.com/ClipEpsilon05
ClipAlpha22,40001,NightOwlCodes,40003,CasualCartographer,30003,Rust borrow checker wins again,81771,30.4,2026-10-18T15:12:33Z,https://clips.example.com/ClipBeta02
ClipAlpha23,40005,PixelPaladin,40004,SprintQueen,30002,Rust borrow checker wins again,47942,20.5,2024-12-19T15:45:55Z,https://clips.example.com/ClipDelta04
ClipAlpha24,40002,PixelPaladin,40003,CasualCartographer,30002,New world record by 0.3s,62556,26.6,2024-06-06T07:48:41Z,https://clips.example.com/ClipGamma03
ClipAlpha25,40003,PixelPaladin,40005,SprintQueen,30005,New world record by 0.3s,20974,29.3,2024-07-08T10:13:08Z,https://clips.example.com/ClipDelta04
ClipAlpha26,40003,OrbitDev,40002,CasualCartographer,30003,New world record by 0.3s,112659,35.4,2024-06-04T19:09:32Z,https://clips.example.com/ClipDelta04
ClipAlpha27,40001,NightOwlCodes,40002,TacticalTurtle,30002,Insane last-second parry,126584,24.2,2025-04-16T12:08:06Z,https://clips.example.com/ClipDelta04
ClipAlpha28,40002,PixelPaladin,40002,SprintQueen,30003,New world record by 0.3s,65925,30.3,2026-08-22T09:41:36Z,https://clips.example.com/ClipBeta02
ClipAlpha29,40005,OrbitDev,40002,OrbitDev,30002,Rust borrow checker wins again,81576,27.5,2026-09-20T15:23:27Z,https://clips.example.com/ClipDelta04
ClipAlpha30,40002,SprintQueen,40005,TacticalTurtle,30003,New world record by 0.3s,56444,23.6,2025-05-13T14:17:20Z,https://clips.example.com/ClipDelta04
ClipAlpha31,40001,PixelPaladin,40006,NightOwlCodes,30002,Rust borrow checker wins again,50403,36.6,2025-04-05T09:16:07Z,https://clips.example.com/ClipBeta02
ClipAlpha32,40005,PixelPaladin,40005,CasualCartographer,30003,New world record by 0.3s,56889,32.1,2025-02-25T10:59:19Z,https://clips.example.com/ClipBeta02
ClipAlpha33,40001,PixelPaladin,40005,OrbitDev,30002,Rust borrow checker wins again,103195,36.7,2024-12-10T07:34:02Z,https://clips.example.com/ClipBeta02
ClipAlpha34,40001,SprintQueen,40004,SprintQueen,30003,New world record by 0.3s,96811,39.1,2025-03-21T15:38:46Z,https://clips.example.com/ClipGamma03
ClipAlpha35,40002,PixelPaladin,40003,CasualCartographer,30003,Chat trolls the boss fight,71702,29.6,2025-07-05T08:44:49Z,https://clips.example.com/ClipGamma03
ClipAlpha36,40001,NightOwlCodes,40002,SprintQueen,30002,New world record by 0.3s,125345,26.4,2026-08-18T09:49:27Z,https://clips.example.com/ClipBeta02
ClipAlpha37,40005,OrbitDev,40006,NightOwlCodes,30003,Rust borrow checker wins again,40113,29.8,2024-11-05T08:58:38Z,https://clips.example.com/ClipAlpha01
ClipAlpha38,40001,NightOwlCodes,40003,CasualCartographer,30002,Insane last-second parry,115380,16.5,2024-10-28T11:51:18Z,https://clips.example.com/ClipEpsilon05
