id,name,box_art_url,rank,viewer_count
30001,Just Chatting,https://static.example.com/box/justchatting.jpg,1,420000
30002,Software and Game Development,https://static.example.com/box/gamedev.jpg,2,38000
30003,Elden Ring,https://static.example.com/box/eldenring.jpg,3,156000
30004,Cities: Skylines II,https://static.example.com/box/cities2.jpg,4,21000
30005,Speedrunning,https://static.example.com/box/speedrun.jpg,5,64000
30006,Strategy,https://static.example.com/box/strategy.jpg,6,18000
30007,Software and Game Development,https://static.example.com/box/strategy.jpg,5,93034
30008,Software and Game Development,https://static.example.com/box/cities2.jpg,6,397858
30009,Elden Ring,https://static.example.com/box/eldenring.jpg,4,181290
30010,Speedrunning,https://static.example.com/box/strategy.jpg,5,236946
30011,Elden Ring,https://static.example.com/box/eldenring.jpg,1,82861
30012,Strategy,https://static.example.com/box/strategy.jpg,1,350563
30013,Cities: Skylines II,https://static.example.com/box/eldenring.jpg,5,242011
30014,Speedrunning,https://static.example.com/box/eldenring.jpg,4,41184
30015,Just Chatting,https://static.example.com/box/cities2.jpg,3,121245
30016,Just Chatting,https://static.example.com/box/cities2.jpg,5,25769
30017,Speedrunning,https://static.example.com/box/speedrun.jpg,5,373226
30018,Cities: Skylines II,https://static.example.com/box/gamedev.jpg,5,161775
30019,Just Chatting,https://static.example.com/box/speedrun.jpg,3,304108
30020,Software and Game Development,https://static.example.com/box/speedrun.jpg,3,294411
30021,Software and Game Development,https://static.example.com/box/strategy.jpg,5,336899
30022,Elden Ring,https://static.example.com/box/eldenring.jpg,6,111550
30023,Speedrunning,https://static.example.com/box/justchatting.jpg,5,165988
30024,Speedrunning,https://static.example.com/box/speedrun.jpg,6,360002
30025,Elden Ring,https://static.example.com/box/strategy.jpg,5,131466
30026,Software and Game Development,https://static.example.com/box/justchatting.jpg,5,389032
30027,Strategy,https://static.example.com/box/justchatting.jpg,2,237802
30028,Software and Game Development,https://static.example.com/box/gamedev.jpg,1,96560
30029,Strategy,https://static.example.com/box/gamedev.jpg,3,317059
30030,Software and Game Development,https://static.example.com/box/cities2.jpg,2,99158
30031,Software and Game Development,https://static.example.com/box/cities2.jpg,4,381570
30032,Just Chatting,https://static.example.com/box/eldenring.jpg,5,122103
30033,Cities: Skylines II,https://static.example.com/box/justchatting.jpg,3,319388
30034,Cities: Skylines II,https://static.example.com/box/gamedev.jpg,2,365309
30035,Speedrunning,https://static.example.com/box/gamedev.jpg,3,88483
30036,Just Chatting,https://static.example.com/box/eldenring.jpg,3,301494
30037,Elden Ring,https://static.example.com/box/strategy.jpg,2,139503
30038,Strategy,https://static.example.com/box/gamedev.jpg,3,275782
30039,Software and Game Development,https://static.example.com/box/strategy.jpg,4,320772
30040,Software and Game Development,https://static.example.com/box/gamedev.jpg,2,273628
30041,Elden Ring,https://static.example.com/box/eldenring.jpg,1,346843
30042,Speedrunning,https://static.example.com/box/cities2.jpg,6,265072
30043,Speedrunning,https://static.example.com/box/strategy.jpg,3,374109
30044,Just Chatting,https://static.example.com/box/speedrun.jpg,5,134735
30045,Just Chatting,https://static.example.com/box/eldenring.jpg,3,89871
30046,Cities: Skylines II,https://static.example.com/box/gamedev.jpg,6,184596
30047,Just Chatting,https://static.example.com/box/gamedev.jpg,2,222480
30048,Speedrunning,https://static.example.com/box/strategy.jpg,4,67543
30049,Elden Ring,https://static.example.com/box/eldenring.jpg,3,350502
30050,Software and Game Development,https://static.example.com/box/eldenring.jpg,3,339795
30051,Software and Game Development,https://static.example.com/box/gamedev.jpg,3,331427
30052,Cities: Skylines II,https://static.example.com/box/gamedev.jpg,4,242913
30053,Just Chatting,https://static.example.com/box/cities2.jpg,4,337493
30054,Strategy,https://static.example.com/box/strategy.jpg,2,129437
30055,Software and Game Development,https://static.example.com/box/gamedev.jpg,3,88272
30056,Speedrunning,https://static.example.com/box/eldenring.jpg,5,223668
30057,Strategy,https://static.example.com/box/eldenring.jpg,4,200245
30058,Speedrunning,https://static.example.com/box/justchatting.jpg,6,272337
30059,Speedrunning,https://static.example.com/box/eldenring.jpg,1,162434
30060,Just Chatting,https://static.example.com/box/gamedev.jpg,2,254877
30061,Elden Ring,https://static.example.com/box/gamedev.jpg,2,25319
30062,Strategy,https://static.example.com/box/speedrun.jpg,4,20159
30063,Strategy,https://static.example.com/box/justchatting.jpg,3,181791
30064,Speedrunning,https://static.example.com/box/cities2.jpg,5,155657
30065,Strategy,https://static.example.com/box/strategy.jpg,4,51224
30066,Strategy,https://static.example.com/box/gamedev.jpg,4,206111
30067,Cities: Skylines II,https://static.example.com/box/speedrun.jpg,6,311093
30068,Elden Ring,https://static.example.com/box/strategy.jpg,4,149033
30069,Elden Ring,https://static.example.com/box/cities2.jpg,5,107427
30070,Just Chatting,https://static.example.com/box/eldenring.jpg,6,343605
