broadcaster_id,broadcaster_login,broadcaster_name,game_id,game_name,title,broadcaster_language,tags,follower_count
40001,pixelpaladin,PixelPaladin,30003,Elden Ring,Blind Elden Ring run - no spoilers please,en,RPG;Blind;English,512000
40002,nightowlcodes,NightOwlCodes,30002,Software and Game Development,Building a roguelike in Rust - day 14,en,Coding;Rust;Gamedev,24300
40003,sprintqueen,SprintQueen,30005,Speedrunning,WR attempts all morning,en,Speedrun;Competitive,890000
40004,tacticalturtle,TacticalTurtle,30004,Cities: Skylines II,Building the perfect transit network,en,CityBuilder;Chill,14200
40005,orbit_dev,OrbitDev,30002,Software and Game Development,Orbit CLI 2.0 launch stream and live Q&A,en,Coding;DevTools,41000
40006,casualcartographer,CasualCartographer,30006,Strategy,Map making sunday,en,Strategy;Creative,6300
40007,Fenway opening day,Patriots game thread,30007,PawSox throwback,Red Sox win in extras,PawSox throwback,Coding;Rust;Gamedev,311
40008,Fenway opening day,Red Sox win in extras,30008,Patriots game thread,trade deadline chatter,PawSox throwback,CityBuilder;Chill,42
40009,Fenway opening day,Red Sox win in extras,30006,Speedrunning,Map making sunday,en,Speedrun;Competitive,238817
40010,pixelpaladin,NightOwlCodes,30006,Elden Ring,Red Sox win in extras,en,Coding;Rust;Gamedev,286175
40011,nightowlcodes,TacticalTurtle,30007,Software and Game Development,Building a roguelike in Rust - day 14,PawSox throwback,Speedrun;Competitive,64470
40012,Fenway opening day,Red Sox win in extras,30002,Strategy,Red Sox win in extras,en,Speedrun;Competitive,883103
40013,Fenway opening day,CasualCartographer,30004,Elden Ring,Building a roguelike in Rust - day 14,PawSox throwback,Speedrun;Competitive,286652
40014,tacticalturtle,PixelPaladin,30002,Elden Ring,trade deadline chatter,en,Coding;Rust;Gamedev,539298
40015,nightowlcodes,SprintQueen,30002,Cities: Skylines II,Blind Elden Ring run - no spoilers please,en,CityBuilder;Chill,792359
40016,orbit_dev,Patriots game thread,30008,PawSox throwback,Orbit CLI 2.0 launch stream and live Q&A,en,Coding;DevTools,540295
40017,orbit_dev,OrbitDev,30004,Strategy,Blind Elden Ring run - no spoilers please,en,Coding;DevTools,644494
40018,pixelpaladin,NightOwlCodes,30008,Patriots game thread,Map making sunday,en,CityBuilder;Chill,254838
40019,nightowlcodes,SprintQueen,30008,PawSox throwback,trade deadline chatter,en,Strategy;Creative,686434
40020,Fenway opening day,PixelPaladin,30006,Elden Ring,Building a roguelike in Rust - day 14,en,Strategy;Creative,28509
40021,casualcartographer,OrbitDev,30008,Cities: Skylines II,Blind Elden Ring run - no spoilers please,en,Speedrun;Competitive,450628
40022,sprintqueen,CasualCartographer,30007,Software and Game Development,Blind Elden Ring run - no spoilers please,en,CityBuilder;Chill,50314
40023,orbit_dev,SprintQueen,30002,Software and Game Development,Orbit CLI 2.0 launch stream and live Q&A,en,Coding;Rust;Gamedev,762978
40024,sprintqueen,NightOwlCodes,30005,Cities: Skylines II,Building the perfect transit network,en,Coding;DevTools,33703
40025,casualcartographer,SprintQueen,30008,PawSox throwback,trade deadline chatter,en,RPG;Blind;English,634495
40026,orbit_dev,SprintQueen,30006,Speedrunning,WR attempts all morning,en,CityBuilder;Chill,1945
40027,casualcartographer,PixelPaladin,30002,Speedrunning,Blind Elden Ring run - no spoilers please,en,Speedrun;Competitive,508543
40028,sprintqueen,Red Sox win in extras,30006,Cities: Skylines II,Building a roguelike in Rust - day 14,en,Speedrun;Competitive,658549
40029,orbit_dev,Patriots game thread,30005,Software and Game Development,Blind Elden Ring run - no spoilers please,en,Coding;Rust;Gamedev,534537
40030,casualcartographer,SprintQueen,30008,Software and Game Development,Building a roguelike in Rust - day 14,en,Coding;Rust;Gamedev,636690
40031,orbit_dev,Patriots game thread,30006,Software and Game Development,Building the perfect transit network,PawSox throwback,Coding;Rust;Gamedev,125824
40032,tacticalturtle,SprintQueen,30007,Elden Ring,Building a roguelike in Rust - day 14,en,CityBuilder;Chill,310902
40033,orbit_dev,CasualCartographer,30007,Strategy,Map making sunday,PawSox throwback,Coding;DevTools,675712
40034,orbit_dev,NightOwlCodes,30005,Patriots game thread,Orbit CLI 2.0 launch stream and live Q&A,en,Coding;DevTools,570979
40035,orbit_dev,NightOwlCodes,30008,Elden Ring,Blind Elden Ring run - no spoilers please,en,RPG;Blind;English,479362
40036,orbit_dev,OrbitDev,30004,Patriots game thread,Building the perfect transit network,en,Coding;Rust;Gamedev,110462
40037,nightowlcodes,NightOwlCodes,30002,Software and Game Development,trade deadline chatter,en,CityBuilder;Chill,100389
40038,Fenway opening day,Patriots game thread,30004,Cities: Skylines II,Orbit CLI 2.0 launch stream and live Q&A,en,CityBuilder;Chill,659612
40039,orbit_dev,Patriots game thread,30006,Cities: Skylines II,Building a roguelike in Rust - day 14,en,RPG;Blind;English,212558
40040,orbit_dev,TacticalTurtle,30003,Software and Game Development,Blind Elden Ring run - no spoilers please,en,CityBuilder;Chill,852620
40041,tacticalturtle,PixelPaladin,30007,Patriots game thread,Building a roguelike in Rust - day 14,PawSox throwback,RPG;Blind;English,351847
40042,Fenway opening day,Patriots game thread,30005,Software and Game Development,WR attempts all morning,PawSox throwback,Strategy;Creative,661364
40043,casualcartographer,Red Sox win in extras,30004,Speedrunning,WR attempts all morning,en,Coding;Rust;Gamedev,834007
40044,sprintqueen,SprintQueen,30002,Strategy,Map making sunday,en,Speedrun;Competitive,159376
40045,casualcartographer,SprintQueen,30008,PawSox throwback,WR attempts all morning,en,Speedrun;Competitive,435031
40046,nightowlcodes,NightOwlCodes,30008,Software and Game Development,trade deadline chatter,PawSox throwback,Coding;DevTools,418485
40047,tacticalturtle,Patriots game thread,30006,Strategy,Orbit CLI 2.0 launch stream and live Q&A,en,Coding;DevTools,136486
40048,nightowlcodes,Patriots game thread,30002,Speedrunning,WR attempts all morning,en,Coding;Rust;Gamedev,875880
40049,Fenway opening day,Patriots game thread,30007,Software and Game Development,Map making sunday,en,Strategy;Creative,265316
40050,Fenway opening day,NightOwlCodes,30002,PawSox throwback,Building the perfect transit network,en,CityBuilder;Chill,87220
40051,tacticalturtle,CasualCartographer,30002,Software and Game Development,Orbit CLI 2.0 launch stream and live Q&A,en,Coding;Rust;Gamedev,524880
40052,sprintqueen,Patriots game thread,30002,Patriots game thread,Orbit CLI 2.0 launch stream and live Q&A,PawSox throwback,Coding;Rust;Gamedev,169423
40053,tacticalturtle,CasualCartographer,30007,Patriots game thread,Map making sunday,en,Speedrun;Competitive,194296
40054,nightowlcodes,NightOwlCodes,30008,PawSox throwback,Building a roguelike in Rust - day 14,PawSox throwback,CityBuilder;Chill,63791
40055,nightowlcodes,NightOwlCodes,30007,Software and Game Development,Blind Elden Ring run - no spoilers please,en,Coding;Rust;Gamedev,265768
40056,sprintqueen,PixelPaladin,30002,Patriots game thread,Red Sox win in extras,PawSox throwback,RPG;Blind;English,662349
40057,sprintqueen,SprintQueen,30005,Software and Game Development,Building a roguelike in Rust - day 14,en,RPG;Blind;English,480271
40058,pixelpaladin,Red Sox win in extras,30005,Elden Ring,Orbit CLI 2.0 launch stream and live Q&A,en,RPG;Blind;English,793238
40059,Fenway opening day,PixelPaladin,30004,Speedrunning,Building the perfect transit network,PawSox throwback,Coding;Rust;Gamedev,766187
40060,casualcartographer,Patriots game thread,30002,Elden Ring,Blind Elden Ring run - no spoilers please,en,Speedrun;Competitive,584980
