id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,is_live
80001,40001,pixelpaladin,PixelPaladin,30003,Elden Ring,live,Blind Elden Ring run - no spoilers please,18400,2026-05-27T14:00:00Z,en,true
80002,40003,sprintqueen,SprintQueen,30005,Speedrunning,live,WR attempts all morning,9200,2026-05-27T13:30:00Z,en,true
80003,40005,orbit_dev,OrbitDev,30002,Software and Game Development,live,Orbit CLI 2.0 launch stream and live Q&A,2600,2026-05-27T15:00:00Z,en,true
80004,40002,nightowlcodes,NightOwlCodes,30002,Software and Game Development,,Building a roguelike in Rust - day 14,0,,en,false
80005,40004,tacticalturtle,TacticalTurtle,30004,Cities: Skylines II,,Building the perfect transit network,0,,en,false
80006,40006,casualcartographer,CasualCartographer,30006,Strategy,,Map making sunday,0,,en,false
80007,40007,PawSox throwback,Red Sox win in extras,30007,AFC East recap,live,Fenway opening day,351,2025-01-23T20:45:52Z,en,false
80008,40008,AFC East recap,Red Sox win in extras,30008,AFC East recap,live,PawSox throwback,270,2024-10-06T07:59:56Z,en,false
80009,40007,sprintqueen,Red Sox win in extras,30004,Strategy,live,Blind Elden Ring run - no spoilers please,3447,2025-03-15T12:30:06Z,en,true
80010,40003,AFC East recap,SprintQueen,30008,Software and Game Development,live,Building a roguelike in Rust - day 14,9400,2026-04-27T18:40:33Z,en,true
80011,40001,sprintqueen,Red Sox win in extras,30005,Elden Ring,live,Building the perfect transit network,10875,2025-09-05T14:54:50Z,en,true
80012,40006,pixelpaladin,TacticalTurtle,30006,Strategy,live,Blind Elden Ring run - no spoilers please,834,2026-07-31T20:49:37Z,en,true
80013,40007,nightowlcodes,Red Sox win in extras,30006,AFC East recap,live,Building a roguelike in Rust - day 14,9696,2025-09-08T13:36:44Z,en,false
80014,40006,AFC East recap,Red Sox win in extras,30006,Software and Game Development,,Fenway opening day,12424,2026-07-30T09:42:34Z,en,false
80015,40005,casualcartographer,CasualCartographer,30006,Software and Game Development,live,Map making sunday,4614,2026-04-19T15:23:07Z,en,false
