Author	Work	Genre	Owned	Rating	One line
Anne Carson	Autobiography of Red	Verse novel	Yes	5	The book I measure others against
Anne Carson	Nox	Hybrid elegy	No	5	Grief as an accordion you unfold
Ocean Vuong	Night Sky with Exit Wounds	Poetry	Yes	5	Tenderness with teeth
Lucille Clifton	The Collected Poems	Poetry	Yes	5	Small lines that hold the whole weight
Ross Gay	Catalog of Unabashed Gratitude	Poetry	Yes	4	Joy as a discipline, not a mood
Maggie Nelson	Bluets	Essay	Yes	5	240 fragments, one blue ache
Maggie Nelson	The Argonauts	Essay	No	4	Theory that bleeds
Eula Biss	On Immunity	Essay	No	4	Metaphor as public health
Claudia Rankine	Citizen	Hybrid	No	5	The second person as an accusation
Aria Aber	Hard Damage	Poetry	No	4	Exile measured in syllables
Natalie Diaz	Postcolonial Love Poem	Poetry	Yes	5	Thirst and river and body
Solmaz Sharif	Look	Poetry	No	4	The dictionary of war, repossessed
