tracking_number,status_code,status_description,carrier_code,service_name,ship_date,estimated_delivery,latest_event,latest_event_location,latest_event_time
7799180372,DL,Delivered,FDXG,FedEx Ground,2024-11-12,2024-11-12,Delivered - Amazon package,"Traverse City, MI",2024-11-12T13:12:00-05:00
7799920172,DL,Delivered,FDXG,FedEx Ground,2024-11-12,2024-11-12,Delivered - Chewy extra treats,"Traverse City, MI",2024-11-12T13:12:00-05:00
7712303309,DL,Delivered,FDXG,FedEx Ground,2024-11-15,2024-11-17,Delivered - Chewy autoship (Maple),"Traverse City, MI",2024-11-17T13:12:00-05:00
7799846752,DL,Delivered,FDXG,FedEx Ground,2024-11-25,2024-11-25,Delivered - Gift box (family),"Traverse City, MI",2024-11-25T13:12:00-05:00
7799767650,DL,Delivered,FDXG,FedEx Ground,2024-12-04,2024-12-04,Delivered - REI online,"Traverse City, MI",2024-12-04T13:12:00-05:00
7712270674,DL,Delivered,FDXG,FedEx Ground,2024-12-15,2024-12-17,Delivered - Chewy autoship (Maple),"Traverse City, MI",2024-12-17T13:12:00-05:00
7799931921,DL,Delivered,FDXG,FedEx Ground,2024-12-17,2024-12-17,Delivered - Amazon package,"Traverse City, MI",2024-12-17T13:12:00-05:00
7799587275,DL,Delivered,FDXG,FedEx Ground,2024-12-21,2024-12-21,Delivered - Chewy extra treats,"Traverse City, MI",2024-12-21T13:12:00-05:00
7799781974,DL,Delivered,FDXG,FedEx Ground,2025-01-02,2025-01-02,Delivered - Gift box (family),"Traverse City, MI",2025-01-02T13:12:00-05:00
7799290845,DL,Delivered,FDXG,FedEx Ground,2025-01-07,2025-01-07,Delivered - REI online,"Traverse City, MI",2025-01-07T13:12:00-05:00
7799301212,DL,Delivered,FDXG,FedEx Ground,2025-01-11,2025-01-11,Delivered - Amazon package,"Traverse City, MI",2025-01-11T13:12:00-05:00
7712705663,DL,Delivered,FDXG,FedEx Ground,2025-01-15,2025-01-17,Delivered - Chewy autoship (Maple),"Traverse City, MI",2025-01-17T13:12:00-05:00
7799918076,DL,Delivered,FDXG,FedEx Ground,2025-01-17,2025-01-17,Delivered - Chewy extra treats,"Traverse City, MI",2025-01-17T13:12:00-05:00
7799296043,DL,Delivered,FDXG,FedEx Ground,2025-01-24,2025-01-24,Delivered - Gift box (family),"Traverse City, MI",2025-01-24T13:12:00-05:00
7799396957,DL,Delivered,FDXG,FedEx Ground,2025-01-24,2025-01-24,Delivered - REI online,"Traverse City, MI",2025-01-24T13:12:00-05:00
7799480126,DL,Delivered,FDXG,FedEx Ground,2025-01-28,2025-01-28,Delivered - Amazon package,"Traverse City, MI",2025-01-28T13:12:00-05:00
7799438785,DL,Delivered,FDXG,FedEx Ground,2025-02-08,2025-02-08,Delivered - Chewy extra treats,"Traverse City, MI",2025-02-08T13:12:00-05:00
7799754504,DL,Delivered,FDXG,FedEx Ground,2025-02-12,2025-02-12,Delivered - Gift box (family),"Traverse City, MI",2025-02-12T13:12:00-05:00
7712619070,DL,Delivered,FDXG,FedEx Ground,2025-02-15,2025-02-17,Delivered - Chewy autoship (Maple),"Traverse City, MI",2025-02-17T13:12:00-05:00
7799338887,DL,Delivered,FDXG,FedEx Ground,2025-02-19,2025-02-19,Delivered - REI online,"Traverse City, MI",2025-02-19T13:12:00-05:00
7799683489,DL,Delivered,FDXG,FedEx Ground,2025-02-27,2025-02-27,Delivered - Amazon package,"Traverse City, MI",2025-02-27T13:12:00-05:00
7799395991,DL,Delivered,FDXG,FedEx Ground,2025-03-01,2025-03-01,Delivered - Chewy extra treats,"Traverse City, MI",2025-03-01T13:12:00-05:00
7712202656,DL,Delivered,FDXG,FedEx Ground,2025-03-15,2025-03-17,Delivered - Chewy autoship (Maple),"Traverse City, MI",2025-03-17T13:12:00-05:00
7799783494,DL,Delivered,FDXG,FedEx Ground,2025-03-24,2025-03-24,Delivered - Gift box (family),"Traverse City, MI",2025-03-24T13:12:00-05:00
7799974214,DL,Delivered,FDXG,FedEx Ground,2025-03-26,2025-03-26,Delivered - REI online,"Traverse City, MI",2025-03-26T13:12:00-05:00
