search_id,user_id,name,city,state,min_price,max_price,min_beds,min_baths,home_type,created_at
search_id_1000,user-natalie,name 0,Detroit,MI,250000,350000,0,0,home_type 0,2026-06-01T09:00:00Z
search_id_noise_500,user_id_1500,name 500,city 500,active,0,0,0,0,home_type 500,2026-06-01T09:00:00Z
search_id_noise_501,user_id_1501,name 501,city 501,active,0,0,0,0,home_type 501,2026-06-01T09:00:00Z
search_id_noise_502,user_id_1502,name 502,city 502,active,0,0,0,0,home_type 502,2026-06-01T09:00:00Z
search_id_noise_503,user_id_1503,name 503,city 503,active,0,0,0,0,home_type 503,2026-06-01T09:00:00Z
search_id_noise_504,user_id_1504,name 504,city 504,active,0,0,0,0,home_type 504,2026-06-01T09:00:00Z
search_id_noise_505,user_id_1505,name 505,city 505,active,0,0,0,0,home_type 505,2026-06-01T09:00:00Z
search_id_noise_506,user_id_1506,name 506,city 506,active,0,0,0,0,home_type 506,2026-06-01T09:00:00Z
search_id_noise_507,user_id_1507,name 507,city 507,active,0,0,0,0,home_type 507,2026-06-01T09:00:00Z
search_id_noise_508,user_id_1508,name 508,city 508,active,0,0,0,0,home_type 508,2026-06-01T09:00:00Z
