date,requests,delivered,opens,unique_opens,clicks,unique_clicks,bounces,spam_reports,unsubscribes
2026-12-01,1,1,3,0,0,0,0,0,0
2026-11-30,12,12,7,11,7,3,1,0,0
2026-11-29,12,11,22,9,11,9,0,0,0
2026-11-28,6,6,16,2,4,3,1,0,0
2026-11-27,12,12,24,7,1,5,0,0,1
2026-11-26,12,11,21,9,12,11,0,0,1
2026-11-25,1,1,3,0,0,0,0,0,0
2026-11-24,2,2,5,0,1,1,1,0,0
2026-11-23,5,4,8,2,0,1,1,0,1
2026-11-22,3,3,9,1,0,3,0,0,0
2026-11-21,0,0,0,0,0,0,0,0,0
2026-11-20,1,0,2,1,1,1,0,0,1
2026-11-19,5,4,14,4,3,0,1,0,1
2026-11-18,10,9,19,8,4,3,0,0,0
2026-11-17,0,0,0,0,0,0,1,0,1
2026-11-16,5,5,7,5,3,3,0,0,0
2026-11-15,12,11,7,10,11,8,1,0,0
2026-11-14,2,2,6,1,0,1,1,0,1
2026-11-13,11,11,11,11,11,4,1,0,0
2026-11-12,3,2,3,2,1,1,0,0,1
2026-11-11,7,6,6,5,4,2,0,0,0
2026-11-10,5,4,1,4,2,4,1,0,0
2026-11-09,9,8,4,1,7,1,1,0,0
2026-11-08,0,0,0,0,0,0,0,0,0
2026-11-07,11,11,25,5,6,7,1,0,1
2026-11-06,5,4,1,2,2,2,1,0,1
2026-11-05,8,8,5,4,2,0,0,0,0
2026-11-04,1,1,2,0,0,0,0,0,1
2026-11-03,4,3,1,2,1,2,1,0,1
2026-11-02,1,1,1,0,1,1,0,0,0
2026-11-01,3,2,2,3,3,2,0,0,1
2026-10-31,1,0,1,1,1,0,0,0,1
2026-10-30,12,12,9,7,2,12,0,0,1
2026-10-29,11,10,18,5,7,3,1,0,0
2026-10-28,1,0,1,1,1,0,1,0,0
2026-10-27,5,4,1,0,5,1,1,0,0
2026-10-26,1,1,1,0,1,1,0,0,1
2026-10-25,8,8,14,8,1,1,0,0,0
2026-10-24,4,3,5,0,2,4,0,0,1
2026-10-23,9,8,21,6,5,7,1,0,1
2026-10-22,3,2,3,2,0,0,0,0,1
2026-10-21,1,0,3,1,0,0,1,0,1
2026-10-20,6,5,5,5,5,2,0,0,0
2026-10-19,10,9,26,4,4,0,0,0,0
2026-10-18,4,3,12,1,3,0,0,0,1
2026-10-17,2,2,3,1,1,0,0,0,0
2026-10-16,0,0,0,0,0,0,1,0,0
2026-10-15,0,0,0,0,0,0,0,0,0
2026-10-14,1,0,3,0,1,0,1,0,0
2026-10-13,0,0,0,0,0,0,0,0,0
2026-10-12,8,8,9,8,0,4,1,0,0
2026-10-11,1,1,2,1,1,0,0,0,1
2026-10-10,8,8,3,0,0,8,0,0,0
2026-10-09,6,5,5,4,5,1,0,0,1
2026-10-08,12,12,18,6,12,0,0,0,0
2026-10-07,5,4,14,4,3,1,1,0,1
2026-10-06,5,5,10,2,2,2,0,0,1
2026-10-05,4,3,6,2,2,1,0,0,1
2026-10-04,4,4,3,1,1,0,0,0,1
2026-10-03,1,0,3,0,1,0,0,0,0
2026-10-02,8,7,1,4,3,5,0,0,1
2026-10-01,8,7,23,5,8,7,0,0,1
2026-09-30,5,4,0,4,2,1,1,0,0
2026-09-29,12,11,22,8,10,8,1,0,0
2026-09-28,12,11,28,9,11,3,0,0,0
2026-09-27,5,4,3,1,1,5,0,0,0
2026-09-26,12,12,10,1,1,2,0,0,1
2026-09-25,2,2,5,2,0,2,0,0,0
2026-09-24,6,6,11,5,3,1,1,0,0
2026-09-23,4,4,10,0,4,4,1,0,0
2026-09-22,12,11,7,3,2,3,0,0,1
2026-09-21,2,2,6,1,1,0,1,0,1
2026-09-20,12,11,1,4,9,8,0,0,1
2026-09-19,10,9,12,6,10,2,1,0,1
2026-09-18,4,4,7,1,2,3,1,0,0
2026-09-17,7,7,18,5,5,5,0,0,0
2026-09-16,3,3,5,0,1,2,0,0,1
2026-09-15,9,9,6,7,7,2,0,0,0
2026-09-14,2,2,2,2,1,2,0,0,1
2026-09-13,5,5,14,2,0,2,0,0,0
2026-09-12,11,11,33,9,1,9,0,0,0
2026-09-11,3,3,9,0,0,0,1,0,0
2026-09-10,11,10,9,8,3,5,0,0,0
2026-09-09,12,12,19,4,4,2,1,0,0
2026-09-08,9,8,20,1,7,3,1,0,1
2026-09-07,5,5,1,2,3,2,0,0,0
2026-09-06,4,4,5,2,2,4,1,0,0
2026-09-05,2,2,1,2,2,0,0,0,0
2026-09-04,5,4,10,5,5,0,0,0,1
2026-09-03,1,1,0,1,1,1,1,0,0
